 ,Label,Area,Mean,Min,Max
1,B10_01_1_1_Chlorophyll_A_001.tif,49.506,2621.474,832,5920
2,B10_01_1_1_Chlorophyll_A_001.tif,489.849,6984.340,800,65520
3,B10_01_1_1_Chlorophyll_A_001.tif,174.574,5059.582,784,33072
4,B10_01_1_1_Chlorophyll_A_001.tif,119.857,5091.826,832,21072
5,B10_01_1_1_Chlorophyll_A_001.tif,44.295,1649.882,800,3568
6,B10_01_1_1_Chlorophyll_A_001.tif,244.925,5043.574,784,34352
7,B10_01_1_1_Chlorophyll_A_001.tif,158.941,3466.754,784,27520
8,B10_01_1_1_Chlorophyll_A_001.tif,70.351,2423.704,800,5648
9,B10_01_1_1_Chlorophyll_A_001.tif,218.869,3634.095,784,25728
10,B10_01_1_1_Chlorophyll_A_001.tif,161.546,4859.871,784,28208
11,B10_01_1_1_Chlorophyll_A_001.tif,153.729,5274.305,800,25872
12,B10_01_1_1_Chlorophyll_A_001.tif,78.167,4155.733,800,14960
13,B10_01_1_1_Chlorophyll_A_001.tif,67.745,3998.769,784,18448
14,B10_01_1_1_Chlorophyll_A_001.tif,221.474,4430.118,784,34880
15,B10_01_1_1_Chlorophyll_A_001.tif,250.136,3586.167,784,33008
16,B10_01_1_1_Chlorophyll_A_001.tif,93.801,3919.556,832,18384
17,B10_01_1_1_Chlorophyll_A_001.tif,200.630,4157.091,784,33968
18,B10_01_1_1_Chlorophyll_A_001.tif,70.351,2725.926,784,7856
19,B10_01_1_1_Chlorophyll_A_001.tif,161.546,4347.355,816,26784
20,B10_01_1_1_Chlorophyll_A_001.tif,250.136,5017.667,800,40880
21,B10_01_1_1_Chlorophyll_A_001.tif,229.291,4070.909,784,28480
22,B10_01_1_1_Chlorophyll_A_001.tif,208.447,4603.400,784,31456
23,B10_01_1_1_Chlorophyll_A_001.tif,164.152,4318.730,784,26512
24,B10_01_1_1_Chlorophyll_A_001.tif,91.195,2709.486,784,9200
25,B10_01_1_1_Chlorophyll_A_001.tif,153.729,4294.508,784,24992
26,B10_01_1_1_Chlorophyll_A_001.tif,138.096,3372.075,784,18000
27,B10_01_1_1_Chlorophyll_A_001.tif,101.618,4033.231,784,15600
28,B10_01_1_1_Chlorophyll_A_001.tif,114.646,2840.364,784,10672
29,B10_01_1_1_Chlorophyll_A_001.tif,109.434,3827.810,784,17824
30,B10_01_1_1_Chlorophyll_A_001.tif,195.419,4455.467,784,22144
31,B10_01_1_1_Chlorophyll_A_001.tif,192.813,5254.703,800,36512
32,B10_01_1_1_Chlorophyll_A_001.tif,93.801,4313.333,784,15376
33,B10_01_1_1_Chlorophyll_A_001.tif,148.518,4110.596,784,24592
34,B10_01_1_1_Chlorophyll_A_001.tif,226.686,4923.402,800,30560
35,B10_01_1_1_Chlorophyll_A_001.tif,80.773,3876.129,816,16128
36,B10_01_1_1_Chlorophyll_A_001.tif,46.900,3303.111,944,8320
37,B10_01_1_1_Chlorophyll_A_001.tif,57.323,2514.909,816,6080
38,B10_01_1_1_Chlorophyll_A_001.tif,59.928,3348.870,800,9552
39,B10_01_1_1_Chlorophyll_A_001.tif,205.841,3508.658,784,26112
40,B10_01_1_1_Chlorophyll_A_001.tif,130.279,4573.440,784,22304
41,B10_01_1_1_Chlorophyll_A_001.tif,119.857,4840.000,800,22112
