 ,Label,Area,Mean,Min,Max
1,B6_01_1_1_Chlorophyll_A_001.tif,46.900,23890.667,12912,37536
2,B6_01_1_1_Chlorophyll_A_001.tif,33.873,23550.769,12016,38288
3,B6_01_1_1_Chlorophyll_A_001.tif,36.478,18595.429,11424,25520
4,B6_01_1_1_Chlorophyll_A_001.tif,49.506,22870.737,11344,36464
5,B6_01_1_1_Chlorophyll_A_001.tif,36.478,18442.286,11360,24064
6,B6_01_1_1_Chlorophyll_A_001.tif,36.478,19365.714,11936,26256
7,B6_01_1_1_Chlorophyll_A_001.tif,28.661,24587.636,14992,36192
8,B6_01_1_1_Chlorophyll_A_001.tif,33.873,17920.000,12128,24304
9,B6_01_1_1_Chlorophyll_A_001.tif,28.661,18794.182,12192,24176
10,B6_01_1_1_Chlorophyll_A_001.tif,41.689,22334.000,12736,35088
11,B6_01_1_1_Chlorophyll_A_001.tif,49.506,26147.368,11888,41728
12,B6_01_1_1_Chlorophyll_A_001.tif,39.084,22387.200,11824,35168
13,B6_01_1_1_Chlorophyll_A_001.tif,49.506,20573.474,12720,30256
14,B6_01_1_1_Chlorophyll_A_001.tif,33.873,19051.077,11376,27584
15,B6_01_1_1_Chlorophyll_A_001.tif,44.295,26937.412,11632,42288
16,B6_01_1_1_Chlorophyll_A_001.tif,57.323,29528.000,11328,57280
17,B6_01_1_1_Chlorophyll_A_001.tif,26.056,25323.200,11744,40032
18,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19565.091,12768,26352
19,B6_01_1_1_Chlorophyll_A_001.tif,36.478,22221.714,12768,33312
20,B6_01_1_1_Chlorophyll_A_001.tif,26.056,19204.800,11696,27424
21,B6_01_1_1_Chlorophyll_A_001.tif,28.661,18705.455,11952,27024
22,B6_01_1_1_Chlorophyll_A_001.tif,41.689,23157.000,12512,36416
23,B6_01_1_1_Chlorophyll_A_001.tif,41.689,21221.000,11696,38016
24,B6_01_1_1_Chlorophyll_A_001.tif,36.478,20510.857,13840,29648
25,B6_01_1_1_Chlorophyll_A_001.tif,54.717,24700.952,12208,45136
26,B6_01_1_1_Chlorophyll_A_001.tif,44.295,20834.824,11712,30576
27,B6_01_1_1_Chlorophyll_A_001.tif,41.689,20398.000,12160,30000
28,B6_01_1_1_Chlorophyll_A_001.tif,44.295,22767.059,11424,36352
29,B6_01_1_1_Chlorophyll_A_001.tif,41.689,21074.000,12896,33376
30,B6_01_1_1_Chlorophyll_A_001.tif,59.928,30922.435,11328,60288
31,B6_01_1_1_Chlorophyll_A_001.tif,39.084,25128.533,11488,39968
32,B6_01_1_1_Chlorophyll_A_001.tif,36.478,18021.714,11984,24496
33,B6_01_1_1_Chlorophyll_A_001.tif,36.478,24005.714,16848,34112
34,B6_01_1_1_Chlorophyll_A_001.tif,36.478,17501.714,12240,25088
35,B6_01_1_1_Chlorophyll_A_001.tif,26.056,18939.200,13088,25952
36,B6_01_1_1_Chlorophyll_A_001.tif,62.534,29217.333,11552,58160
37,B6_01_1_1_Chlorophyll_A_001.tif,39.084,17120.000,11616,23456
38,B6_01_1_1_Chlorophyll_A_001.tif,26.056,19030.400,12000,28448
39,B6_01_1_1_Chlorophyll_A_001.tif,33.873,19559.385,13760,28352
40,B6_01_1_1_Chlorophyll_A_001.tif,44.295,21641.412,14944,30720
41,B6_01_1_1_Chlorophyll_A_001.tif,31.267,22898.667,14000,37248
42,B6_01_1_1_Chlorophyll_A_001.tif,46.900,22865.778,11776,34656
43,B6_01_1_1_Chlorophyll_A_001.tif,33.873,20008.615,13792,27280
44,B6_01_1_1_Chlorophyll_A_001.tif,36.478,23460.571,12512,35488
45,B6_01_1_1_Chlorophyll_A_001.tif,26.056,16424.000,11536,21440
46,B6_01_1_1_Chlorophyll_A_001.tif,28.661,23489.455,11888,36768
47,B6_01_1_1_Chlorophyll_A_001.tif,36.478,32713.143,17120,54912
48,B6_01_1_1_Chlorophyll_A_001.tif,28.661,16510.545,11984,24192
49,B6_01_1_1_Chlorophyll_A_001.tif,49.506,23472.842,11520,36208
50,B6_01_1_1_Chlorophyll_A_001.tif,28.661,26714.182,12080,43936
51,B6_01_1_1_Chlorophyll_A_001.tif,26.056,21443.200,12944,30368
52,B6_01_1_1_Chlorophyll_A_001.tif,41.689,23137.000,12720,33312
53,B6_01_1_1_Chlorophyll_A_001.tif,39.084,27510.400,11984,51904
54,B6_01_1_1_Chlorophyll_A_001.tif,46.900,26550.222,11312,45872
55,B6_01_1_1_Chlorophyll_A_001.tif,39.084,25228.800,12032,43616
56,B6_01_1_1_Chlorophyll_A_001.tif,44.295,23760.941,11408,39280
57,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19352.727,11408,28800
58,B6_01_1_1_Chlorophyll_A_001.tif,28.661,20106.182,11584,27840
59,B6_01_1_1_Chlorophyll_A_001.tif,36.478,20392.000,12496,28752
60,B6_01_1_1_Chlorophyll_A_001.tif,31.267,20852.000,12960,32080
61,B6_01_1_1_Chlorophyll_A_001.tif,49.506,23141.053,12032,35968
62,B6_01_1_1_Chlorophyll_A_001.tif,28.661,17252.364,13024,22976
63,B6_01_1_1_Chlorophyll_A_001.tif,36.478,17856.000,11344,23888
64,B6_01_1_1_Chlorophyll_A_001.tif,46.900,27718.222,11488,50704
65,B6_01_1_1_Chlorophyll_A_001.tif,39.084,19580.800,12464,25904
66,B6_01_1_1_Chlorophyll_A_001.tif,31.267,20938.667,13680,27200
67,B6_01_1_1_Chlorophyll_A_001.tif,52.112,25509.600,11648,41840
68,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19578.182,12192,28208
69,B6_01_1_1_Chlorophyll_A_001.tif,31.267,20454.667,11456,32736
70,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19508.000,11344,30912
71,B6_01_1_1_Chlorophyll_A_001.tif,36.478,18376.000,11952,28144
72,B6_01_1_1_Chlorophyll_A_001.tif,28.661,24013.091,13344,39424
73,B6_01_1_1_Chlorophyll_A_001.tif,44.295,22527.059,12032,39552
74,B6_01_1_1_Chlorophyll_A_001.tif,33.873,18676.923,11440,25680
75,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21709.714,12176,32960
76,B6_01_1_1_Chlorophyll_A_001.tif,67.745,19795.692,11968,27952
77,B6_01_1_1_Chlorophyll_A_001.tif,36.478,22073.143,11616,35792
78,B6_01_1_1_Chlorophyll_A_001.tif,36.478,17515.429,12624,23424
79,B6_01_1_1_Chlorophyll_A_001.tif,54.717,27006.476,14032,47872
80,B6_01_1_1_Chlorophyll_A_001.tif,57.323,31370.909,11632,58496
81,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21442.286,12576,34496
82,B6_01_1_1_Chlorophyll_A_001.tif,39.084,25698.133,11488,43040
83,B6_01_1_1_Chlorophyll_A_001.tif,28.661,16247.273,11344,22256
84,B6_01_1_1_Chlorophyll_A_001.tif,31.267,17649.333,11776,26304
85,B6_01_1_1_Chlorophyll_A_001.tif,49.506,20426.947,11584,32176
86,B6_01_1_1_Chlorophyll_A_001.tif,33.873,26260.923,14864,40544
87,B6_01_1_1_Chlorophyll_A_001.tif,28.661,24065.455,14768,38096
88,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21213.714,11728,31440
89,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19982.545,13728,30528
90,B6_01_1_1_Chlorophyll_A_001.tif,39.084,24449.067,11424,38864
91,B6_01_1_1_Chlorophyll_A_001.tif,44.295,20027.294,12448,29248
92,B6_01_1_1_Chlorophyll_A_001.tif,36.478,18244.571,11760,24512
93,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19586.667,12256,28032
94,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17441.600,11904,23920
95,B6_01_1_1_Chlorophyll_A_001.tif,31.267,29536.000,11856,47216
96,B6_01_1_1_Chlorophyll_A_001.tif,46.900,21867.556,11424,34976
97,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18876.000,11584,31344
98,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19145.333,11536,29056
99,B6_01_1_1_Chlorophyll_A_001.tif,33.873,22881.231,11808,38304
100,B6_01_1_1_Chlorophyll_A_001.tif,26.056,18448.000,12160,29168
101,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17094.400,11360,22720
102,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21112.000,11360,29056
103,B6_01_1_1_Chlorophyll_A_001.tif,26.056,22715.200,12400,35200
104,B6_01_1_1_Chlorophyll_A_001.tif,44.295,25811.765,12160,44096
105,B6_01_1_1_Chlorophyll_A_001.tif,28.661,21642.182,11872,32016
106,B6_01_1_1_Chlorophyll_A_001.tif,26.056,15848.000,12112,22944
107,B6_01_1_1_Chlorophyll_A_001.tif,88.590,28714.353,13952,48416
108,B6_01_1_1_Chlorophyll_A_001.tif,26.056,23171.200,14192,35024
109,B6_01_1_1_Chlorophyll_A_001.tif,33.873,21547.077,13440,36704
110,B6_01_1_1_Chlorophyll_A_001.tif,52.112,31436.800,11872,53552
111,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17110.400,11440,22304
112,B6_01_1_1_Chlorophyll_A_001.tif,28.661,22674.909,11936,34384
113,B6_01_1_1_Chlorophyll_A_001.tif,52.112,21228.000,11440,36048
114,B6_01_1_1_Chlorophyll_A_001.tif,36.478,25152.000,11632,39232
115,B6_01_1_1_Chlorophyll_A_001.tif,26.056,23465.600,11568,38768
116,B6_01_1_1_Chlorophyll_A_001.tif,49.506,24842.105,11632,41504
117,B6_01_1_1_Chlorophyll_A_001.tif,49.506,25417.263,11328,39984
118,B6_01_1_1_Chlorophyll_A_001.tif,52.112,29212.800,11312,49888
119,B6_01_1_1_Chlorophyll_A_001.tif,44.295,23995.294,12288,37952
120,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18310.667,11392,26576
121,B6_01_1_1_Chlorophyll_A_001.tif,44.295,19256.471,11472,31216
122,B6_01_1_1_Chlorophyll_A_001.tif,28.661,16161.455,11504,21520
123,B6_01_1_1_Chlorophyll_A_001.tif,33.873,22610.462,11632,36240
124,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18656.000,11648,26480
125,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18740.000,13776,26112
126,B6_01_1_1_Chlorophyll_A_001.tif,62.534,26552.667,11744,47888
127,B6_01_1_1_Chlorophyll_A_001.tif,44.295,24533.647,12288,40688
128,B6_01_1_1_Chlorophyll_A_001.tif,49.506,35268.211,12640,54912
129,B6_01_1_1_Chlorophyll_A_001.tif,36.478,24073.143,14944,32064
130,B6_01_1_1_Chlorophyll_A_001.tif,36.478,20330.286,11520,32544
131,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21973.714,12432,36752
132,B6_01_1_1_Chlorophyll_A_001.tif,36.478,17256.000,11648,26048
133,B6_01_1_1_Chlorophyll_A_001.tif,31.267,24109.333,12368,40320
134,B6_01_1_1_Chlorophyll_A_001.tif,31.267,17704.000,12144,27024
135,B6_01_1_1_Chlorophyll_A_001.tif,46.900,26211.556,11488,44336
136,B6_01_1_1_Chlorophyll_A_001.tif,54.717,24732.952,12064,42448
137,B6_01_1_1_Chlorophyll_A_001.tif,36.478,24091.429,12016,35984
138,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19758.545,12672,28976
139,B6_01_1_1_Chlorophyll_A_001.tif,39.084,21782.400,12336,29072
140,B6_01_1_1_Chlorophyll_A_001.tif,31.267,22562.667,12160,38848
141,B6_01_1_1_Chlorophyll_A_001.tif,39.084,17638.400,11632,25392
142,B6_01_1_1_Chlorophyll_A_001.tif,46.900,22396.444,11552,35408
143,B6_01_1_1_Chlorophyll_A_001.tif,46.900,25659.556,11344,43584
144,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17139.200,11328,24816
145,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21699.429,12496,31584
146,B6_01_1_1_Chlorophyll_A_001.tif,33.873,17356.308,11568,24512
147,B6_01_1_1_Chlorophyll_A_001.tif,36.478,17801.143,12032,26448
148,B6_01_1_1_Chlorophyll_A_001.tif,54.717,21195.429,11408,43872
149,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17504.000,11536,25312
150,B6_01_1_1_Chlorophyll_A_001.tif,44.295,27335.529,11440,53760
151,B6_01_1_1_Chlorophyll_A_001.tif,26.056,18659.200,11680,26720
152,B6_01_1_1_Chlorophyll_A_001.tif,26.056,23264.000,15392,36576
153,B6_01_1_1_Chlorophyll_A_001.tif,26.056,22680.000,12528,35760
154,B6_01_1_1_Chlorophyll_A_001.tif,26.056,20974.400,11984,34640
155,B6_01_1_1_Chlorophyll_A_001.tif,28.661,18788.364,12432,26608
156,B6_01_1_1_Chlorophyll_A_001.tif,28.661,17121.455,12400,21680
157,B6_01_1_1_Chlorophyll_A_001.tif,33.873,20625.231,12608,29168
158,B6_01_1_1_Chlorophyll_A_001.tif,44.295,22112.000,11376,34080
159,B6_01_1_1_Chlorophyll_A_001.tif,33.873,22259.692,11392,33104
160,B6_01_1_1_Chlorophyll_A_001.tif,41.689,23860.000,11632,39200
161,B6_01_1_1_Chlorophyll_A_001.tif,31.267,16709.333,11456,22544
162,B6_01_1_1_Chlorophyll_A_001.tif,26.056,17905.600,11456,26384
163,B6_01_1_1_Chlorophyll_A_001.tif,28.661,20919.273,12240,29872
164,B6_01_1_1_Chlorophyll_A_001.tif,31.267,16973.333,11360,24896
165,B6_01_1_1_Chlorophyll_A_001.tif,26.056,24328.000,11328,44304
166,B6_01_1_1_Chlorophyll_A_001.tif,39.084,19971.200,11424,29680
167,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19933.333,13808,27840
168,B6_01_1_1_Chlorophyll_A_001.tif,44.295,19072.000,11344,30768
169,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18561.333,13632,25984
170,B6_01_1_1_Chlorophyll_A_001.tif,33.873,17811.692,11376,26416
171,B6_01_1_1_Chlorophyll_A_001.tif,39.084,21325.867,12400,33712
172,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19655.273,11504,27872
173,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19848.727,12688,29888
174,B6_01_1_1_Chlorophyll_A_001.tif,28.661,23617.455,13216,40064
175,B6_01_1_1_Chlorophyll_A_001.tif,39.084,19447.467,12288,26720
176,B6_01_1_1_Chlorophyll_A_001.tif,33.873,19240.615,12672,27648
177,B6_01_1_1_Chlorophyll_A_001.tif,39.084,28816.000,12672,45488
178,B6_01_1_1_Chlorophyll_A_001.tif,44.295,20509.176,12000,29280
179,B6_01_1_1_Chlorophyll_A_001.tif,33.873,19291.077,11536,30768
180,B6_01_1_1_Chlorophyll_A_001.tif,31.267,20288.000,14096,31040
181,B6_01_1_1_Chlorophyll_A_001.tif,31.267,22361.333,11424,32704
182,B6_01_1_1_Chlorophyll_A_001.tif,39.084,30905.600,16256,48016
183,B6_01_1_1_Chlorophyll_A_001.tif,44.295,28429.176,11360,53680
184,B6_01_1_1_Chlorophyll_A_001.tif,49.506,23364.211,12160,39008
185,B6_01_1_1_Chlorophyll_A_001.tif,33.873,21000.615,14368,28352
186,B6_01_1_1_Chlorophyll_A_001.tif,33.873,22777.846,11920,39888
187,B6_01_1_1_Chlorophyll_A_001.tif,41.689,25424.000,12832,36976
188,B6_01_1_1_Chlorophyll_A_001.tif,67.745,31660.923,11808,50672
189,B6_01_1_1_Chlorophyll_A_001.tif,31.267,20773.333,11376,34704
190,B6_01_1_1_Chlorophyll_A_001.tif,44.295,22964.706,11312,33584
191,B6_01_1_1_Chlorophyll_A_001.tif,39.084,26084.267,12224,38992
192,B6_01_1_1_Chlorophyll_A_001.tif,26.056,19587.200,11456,29056
193,B6_01_1_1_Chlorophyll_A_001.tif,33.873,20701.538,11328,33520
194,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19035.636,13856,25248
195,B6_01_1_1_Chlorophyll_A_001.tif,41.689,22729.000,11520,35504
196,B6_01_1_1_Chlorophyll_A_001.tif,28.661,22215.273,13024,29984
197,B6_01_1_1_Chlorophyll_A_001.tif,31.267,22874.667,12016,36176
198,B6_01_1_1_Chlorophyll_A_001.tif,31.267,24906.667,12336,40032
199,B6_01_1_1_Chlorophyll_A_001.tif,36.478,19085.714,11456,28208
200,B6_01_1_1_Chlorophyll_A_001.tif,44.295,34190.118,12368,57888
201,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19342.545,11328,32384
202,B6_01_1_1_Chlorophyll_A_001.tif,28.661,23291.636,14016,34432
203,B6_01_1_1_Chlorophyll_A_001.tif,36.478,28553.143,13120,43920
204,B6_01_1_1_Chlorophyll_A_001.tif,44.295,20098.824,11376,28480
205,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18890.667,12272,25872
206,B6_01_1_1_Chlorophyll_A_001.tif,41.689,24077.000,12624,44656
207,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19038.667,11792,27616
208,B6_01_1_1_Chlorophyll_A_001.tif,41.689,23254.000,12960,35424
209,B6_01_1_1_Chlorophyll_A_001.tif,33.873,17260.308,11456,22864
210,B6_01_1_1_Chlorophyll_A_001.tif,28.661,17072.000,11856,22288
211,B6_01_1_1_Chlorophyll_A_001.tif,41.689,18393.000,11984,27104
212,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21676.571,11920,36352
213,B6_01_1_1_Chlorophyll_A_001.tif,59.928,39707.130,12048,65520
214,B6_01_1_1_Chlorophyll_A_001.tif,39.084,22971.733,11520,37648
215,B6_01_1_1_Chlorophyll_A_001.tif,36.478,25211.429,13728,44768
216,B6_01_1_1_Chlorophyll_A_001.tif,41.689,27025.000,13504,42752
217,B6_01_1_1_Chlorophyll_A_001.tif,33.873,23937.231,12496,42368
218,B6_01_1_1_Chlorophyll_A_001.tif,62.534,19093.333,11440,38176
219,B6_01_1_1_Chlorophyll_A_001.tif,26.056,18705.600,11600,27024
220,B6_01_1_1_Chlorophyll_A_001.tif,31.267,19481.333,12256,31024
221,B6_01_1_1_Chlorophyll_A_001.tif,78.167,22748.267,11472,47696
222,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19412.364,11808,29520
223,B6_01_1_1_Chlorophyll_A_001.tif,31.267,18072.000,11504,27280
224,B6_01_1_1_Chlorophyll_A_001.tif,36.478,21329.143,11952,31456
225,B6_01_1_1_Chlorophyll_A_001.tif,39.084,20739.200,12192,31888
226,B6_01_1_1_Chlorophyll_A_001.tif,36.478,20858.286,11952,30608
227,B6_01_1_1_Chlorophyll_A_001.tif,41.689,21282.000,11488,36576
228,B6_01_1_1_Chlorophyll_A_001.tif,28.661,19268.364,11600,31632
229,B6_01_1_1_Chlorophyll_A_001.tif,39.084,18772.267,12784,26128
230,B6_01_1_1_Chlorophyll_A_001.tif,31.267,21334.667,12704,32352
231,B6_01_1_1_Chlorophyll_A_001.tif,33.873,24743.385,15392,34496
