 ,Label,Area,Mean,Min,Max
1,C2_01_1_1_Chlorophyll_A_001.tif,28.661,23928.727,12896,38752
2,C2_01_1_1_Chlorophyll_A_001.tif,44.295,26880.941,15168,48208
3,C2_01_1_1_Chlorophyll_A_001.tif,41.689,22844.000,11408,43600
4,C2_01_1_1_Chlorophyll_A_001.tif,31.267,20696.000,11968,32688
5,C2_01_1_1_Chlorophyll_A_001.tif,39.084,26109.867,13232,42256
6,C2_01_1_1_Chlorophyll_A_001.tif,33.873,17969.231,12080,29296
7,C2_01_1_1_Chlorophyll_A_001.tif,33.873,21254.154,12624,33104
8,C2_01_1_1_Chlorophyll_A_001.tif,44.295,24569.412,11424,38432
9,C2_01_1_1_Chlorophyll_A_001.tif,57.323,25181.091,11744,47344
10,C2_01_1_1_Chlorophyll_A_001.tif,156.335,20316.533,11184,36592
11,C2_01_1_1_Chlorophyll_A_001.tif,31.267,25978.667,12608,44192
12,C2_01_1_1_Chlorophyll_A_001.tif,28.661,16872.727,11200,22608
13,C2_01_1_1_Chlorophyll_A_001.tif,41.689,24421.000,14320,38944
14,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19236.000,12400,27792
15,C2_01_1_1_Chlorophyll_A_001.tif,28.661,21728.000,11776,34688
16,C2_01_1_1_Chlorophyll_A_001.tif,41.689,19994.000,11872,34272
17,C2_01_1_1_Chlorophyll_A_001.tif,26.056,16136.000,11376,22912
18,C2_01_1_1_Chlorophyll_A_001.tif,28.661,19306.182,11488,30704
19,C2_01_1_1_Chlorophyll_A_001.tif,33.873,19718.154,11376,32784
20,C2_01_1_1_Chlorophyll_A_001.tif,26.056,15948.800,12480,22416
21,C2_01_1_1_Chlorophyll_A_001.tif,36.478,22553.143,12560,36560
22,C2_01_1_1_Chlorophyll_A_001.tif,28.661,16702.545,12304,25456
23,C2_01_1_1_Chlorophyll_A_001.tif,44.295,24231.529,12464,38912
24,C2_01_1_1_Chlorophyll_A_001.tif,39.084,18501.333,11264,28832
25,C2_01_1_1_Chlorophyll_A_001.tif,33.873,19453.538,11456,29280
26,C2_01_1_1_Chlorophyll_A_001.tif,36.478,19792.000,11280,31696
27,C2_01_1_1_Chlorophyll_A_001.tif,26.056,20390.400,12784,29040
28,C2_01_1_1_Chlorophyll_A_001.tif,33.873,20072.615,13216,29664
29,C2_01_1_1_Chlorophyll_A_001.tif,36.478,17115.429,11264,26880
30,C2_01_1_1_Chlorophyll_A_001.tif,28.661,18989.091,11616,27696
31,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19888.000,12048,32528
32,C2_01_1_1_Chlorophyll_A_001.tif,33.873,18637.538,11296,28432
33,C2_01_1_1_Chlorophyll_A_001.tif,52.112,29490.400,12608,48064
34,C2_01_1_1_Chlorophyll_A_001.tif,41.689,23676.000,12368,41104
35,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19217.333,11168,27552
36,C2_01_1_1_Chlorophyll_A_001.tif,36.478,23442.286,11728,35840
37,C2_01_1_1_Chlorophyll_A_001.tif,39.084,20390.400,12832,31568
38,C2_01_1_1_Chlorophyll_A_001.tif,33.873,21422.769,11200,35920
39,C2_01_1_1_Chlorophyll_A_001.tif,31.267,17884.000,11504,26976
40,C2_01_1_1_Chlorophyll_A_001.tif,28.661,20347.636,14160,29008
41,C2_01_1_1_Chlorophyll_A_001.tif,33.873,19497.846,11760,29072
42,C2_01_1_1_Chlorophyll_A_001.tif,31.267,21252.000,11376,31824
43,C2_01_1_1_Chlorophyll_A_001.tif,26.056,16560.000,11536,22944
44,C2_01_1_1_Chlorophyll_A_001.tif,26.056,14782.400,11184,20256
45,C2_01_1_1_Chlorophyll_A_001.tif,33.873,22604.308,13440,33392
46,C2_01_1_1_Chlorophyll_A_001.tif,52.112,25320.000,12608,45776
47,C2_01_1_1_Chlorophyll_A_001.tif,28.661,22923.636,13152,37488
48,C2_01_1_1_Chlorophyll_A_001.tif,41.689,25118.000,11808,46720
49,C2_01_1_1_Chlorophyll_A_001.tif,33.873,21229.538,11808,33408
50,C2_01_1_1_Chlorophyll_A_001.tif,26.056,17096.000,12000,22400
51,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19470.667,12416,26864
52,C2_01_1_1_Chlorophyll_A_001.tif,31.267,17144.000,11840,25040
53,C2_01_1_1_Chlorophyll_A_001.tif,28.661,18322.909,11856,25264
54,C2_01_1_1_Chlorophyll_A_001.tif,33.873,19740.308,11520,29008
55,C2_01_1_1_Chlorophyll_A_001.tif,28.661,18280.727,11344,28848
56,C2_01_1_1_Chlorophyll_A_001.tif,36.478,25325.714,11360,45216
57,C2_01_1_1_Chlorophyll_A_001.tif,26.056,24620.800,11728,44720
58,C2_01_1_1_Chlorophyll_A_001.tif,26.056,22579.200,12368,37952
59,C2_01_1_1_Chlorophyll_A_001.tif,33.873,22316.308,11264,33408
60,C2_01_1_1_Chlorophyll_A_001.tif,36.478,19966.857,11888,32704
61,C2_01_1_1_Chlorophyll_A_001.tif,33.873,20770.462,13104,34096
62,C2_01_1_1_Chlorophyll_A_001.tif,41.689,18884.000,12048,31728
63,C2_01_1_1_Chlorophyll_A_001.tif,28.661,22107.636,11776,36960
64,C2_01_1_1_Chlorophyll_A_001.tif,83.379,27628.500,12960,49536
65,C2_01_1_1_Chlorophyll_A_001.tif,26.056,22520.000,12480,32112
66,C2_01_1_1_Chlorophyll_A_001.tif,31.267,21265.333,12256,30432
67,C2_01_1_1_Chlorophyll_A_001.tif,26.056,20563.200,12224,33168
68,C2_01_1_1_Chlorophyll_A_001.tif,46.900,22504.000,11248,36192
69,C2_01_1_1_Chlorophyll_A_001.tif,28.661,20641.455,11728,32000
70,C2_01_1_1_Chlorophyll_A_001.tif,36.478,20565.714,12688,34032
71,C2_01_1_1_Chlorophyll_A_001.tif,31.267,21576.000,12016,31184
72,C2_01_1_1_Chlorophyll_A_001.tif,59.928,19961.043,11232,34080
73,C2_01_1_1_Chlorophyll_A_001.tif,33.873,25115.077,16848,38208
74,C2_01_1_1_Chlorophyll_A_001.tif,46.900,26436.444,13472,46432
75,C2_01_1_1_Chlorophyll_A_001.tif,28.661,19840.000,11360,34016
76,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19717.333,12240,31424
77,C2_01_1_1_Chlorophyll_A_001.tif,46.900,35413.333,11984,59552
78,C2_01_1_1_Chlorophyll_A_001.tif,26.056,23974.400,11712,41040
79,C2_01_1_1_Chlorophyll_A_001.tif,33.873,20825.846,11584,34864
80,C2_01_1_1_Chlorophyll_A_001.tif,54.717,23134.476,11280,38448
81,C2_01_1_1_Chlorophyll_A_001.tif,28.661,18546.909,11504,26560
82,C2_01_1_1_Chlorophyll_A_001.tif,33.873,18496.000,11920,27840
83,C2_01_1_1_Chlorophyll_A_001.tif,26.056,20299.200,11168,30128
84,C2_01_1_1_Chlorophyll_A_001.tif,39.084,19210.667,12560,28112
85,C2_01_1_1_Chlorophyll_A_001.tif,26.056,20960.000,12784,31616
86,C2_01_1_1_Chlorophyll_A_001.tif,49.506,22053.895,11488,32704
87,C2_01_1_1_Chlorophyll_A_001.tif,39.084,19972.267,11792,32736
88,C2_01_1_1_Chlorophyll_A_001.tif,36.478,25251.429,11632,39744
89,C2_01_1_1_Chlorophyll_A_001.tif,33.873,21323.077,11296,35536
90,C2_01_1_1_Chlorophyll_A_001.tif,31.267,18968.000,11632,27264
91,C2_01_1_1_Chlorophyll_A_001.tif,36.478,23416.000,14528,33792
92,C2_01_1_1_Chlorophyll_A_001.tif,36.478,17737.143,11552,26816
93,C2_01_1_1_Chlorophyll_A_001.tif,26.056,22718.400,13040,34960
94,C2_01_1_1_Chlorophyll_A_001.tif,26.056,20865.600,12128,30192
95,C2_01_1_1_Chlorophyll_A_001.tif,28.661,17982.545,12304,25088
96,C2_01_1_1_Chlorophyll_A_001.tif,26.056,18252.800,12912,27504
97,C2_01_1_1_Chlorophyll_A_001.tif,31.267,19200.000,11840,26208
98,C2_01_1_1_Chlorophyll_A_001.tif,44.295,23772.235,11808,42848
99,C2_01_1_1_Chlorophyll_A_001.tif,62.534,20196.000,11248,31024
100,C2_01_1_1_Chlorophyll_A_001.tif,28.661,22834.909,15152,31680
101,C2_01_1_1_Chlorophyll_A_001.tif,59.928,25294.609,11424,44080
102,C2_01_1_1_Chlorophyll_A_001.tif,33.873,18784.000,12320,27008
103,C2_01_1_1_Chlorophyll_A_001.tif,33.873,17763.692,11760,25584
