 ,Label,Area,Mean,Min,Max
1,E11_01_1_2_Chlorophyll_A_001.tif,41.689,23125.000,13104,38592
2,E11_01_1_2_Chlorophyll_A_001.tif,39.084,24374.400,11376,41328
3,E11_01_1_2_Chlorophyll_A_001.tif,52.112,32731.200,12352,59344
4,E11_01_1_2_Chlorophyll_A_001.tif,26.056,21982.400,13584,30656
5,E11_01_1_2_Chlorophyll_A_001.tif,33.873,20578.462,14704,27904
6,E11_01_1_2_Chlorophyll_A_001.tif,49.506,24406.737,11312,40736
7,E11_01_1_2_Chlorophyll_A_001.tif,39.084,22785.067,12144,34880
8,E11_01_1_2_Chlorophyll_A_001.tif,39.084,18968.533,11568,29696
9,E11_01_1_2_Chlorophyll_A_001.tif,33.873,26940.308,15488,46640
10,E11_01_1_2_Chlorophyll_A_001.tif,26.056,18966.400,12112,28448
11,E11_01_1_2_Chlorophyll_A_001.tif,33.873,20450.462,13312,29120
12,E11_01_1_2_Chlorophyll_A_001.tif,41.689,20618.000,12096,32960
13,E11_01_1_2_Chlorophyll_A_001.tif,57.323,24800.000,11264,41728
14,E11_01_1_2_Chlorophyll_A_001.tif,33.873,20564.923,11568,32560
15,E11_01_1_2_Chlorophyll_A_001.tif,36.478,20384.000,11616,33792
16,E11_01_1_2_Chlorophyll_A_001.tif,31.267,25201.333,12480,46336
17,E11_01_1_2_Chlorophyll_A_001.tif,26.056,22174.400,13648,33024
18,E11_01_1_2_Chlorophyll_A_001.tif,26.056,21014.400,11824,30624
19,E11_01_1_2_Chlorophyll_A_001.tif,26.056,19132.800,12256,27504
20,E11_01_1_2_Chlorophyll_A_001.tif,70.351,27292.444,12608,43104
21,E11_01_1_2_Chlorophyll_A_001.tif,26.056,15497.600,12144,20784
22,E11_01_1_2_Chlorophyll_A_001.tif,26.056,21721.600,12224,35184
23,E11_01_1_2_Chlorophyll_A_001.tif,33.873,22462.769,12208,34608
24,E11_01_1_2_Chlorophyll_A_001.tif,36.478,19835.429,11392,30464
25,E11_01_1_2_Chlorophyll_A_001.tif,33.873,21400.615,12288,33872
26,E11_01_1_2_Chlorophyll_A_001.tif,31.267,17438.667,11504,27104
27,E11_01_1_2_Chlorophyll_A_001.tif,28.661,22852.364,11888,40416
28,E11_01_1_2_Chlorophyll_A_001.tif,36.478,29512.000,11264,59680
29,E11_01_1_2_Chlorophyll_A_001.tif,26.056,16531.200,11584,22592
30,E11_01_1_2_Chlorophyll_A_001.tif,36.478,19896.000,11360,32640
31,E11_01_1_2_Chlorophyll_A_001.tif,28.661,22154.182,11312,37824
32,E11_01_1_2_Chlorophyll_A_001.tif,31.267,19345.333,12080,29840
33,E11_01_1_2_Chlorophyll_A_001.tif,26.056,20800.000,12928,31488
34,E11_01_1_2_Chlorophyll_A_001.tif,26.056,23716.800,17024,35472
35,E11_01_1_2_Chlorophyll_A_001.tif,33.873,23902.769,13040,38640
36,E11_01_1_2_Chlorophyll_A_001.tif,31.267,23809.333,12784,44448
37,E11_01_1_2_Chlorophyll_A_001.tif,39.084,21436.800,11968,32048
38,E11_01_1_2_Chlorophyll_A_001.tif,41.689,21261.000,11712,31280
39,E11_01_1_2_Chlorophyll_A_001.tif,33.873,15880.615,11312,20192
40,E11_01_1_2_Chlorophyll_A_001.tif,33.873,20172.308,11824,30496
41,E11_01_1_2_Chlorophyll_A_001.tif,33.873,19421.538,11872,33776
42,E11_01_1_2_Chlorophyll_A_001.tif,59.928,21316.174,12304,32016
43,E11_01_1_2_Chlorophyll_A_001.tif,33.873,24347.077,11584,42448
44,E11_01_1_2_Chlorophyll_A_001.tif,33.873,20835.692,12288,30256
45,E11_01_1_2_Chlorophyll_A_001.tif,36.478,25189.714,14576,41264
46,E11_01_1_2_Chlorophyll_A_001.tif,31.267,29512.000,13008,53248
47,E11_01_1_2_Chlorophyll_A_001.tif,26.056,20012.800,11856,28688
48,E11_01_1_2_Chlorophyll_A_001.tif,28.661,18488.727,11632,28864
49,E11_01_1_2_Chlorophyll_A_001.tif,33.873,25238.154,11872,46368
50,E11_01_1_2_Chlorophyll_A_001.tif,44.295,28035.765,11952,50128
51,E11_01_1_2_Chlorophyll_A_001.tif,36.478,22003.429,13296,37152
52,E11_01_1_2_Chlorophyll_A_001.tif,44.295,21874.824,11456,41520
53,E11_01_1_2_Chlorophyll_A_001.tif,28.661,21911.273,11440,30864
54,E11_01_1_2_Chlorophyll_A_001.tif,28.661,21856.000,11760,37120
55,E11_01_1_2_Chlorophyll_A_001.tif,31.267,23118.667,14864,36144
56,E11_01_1_2_Chlorophyll_A_001.tif,39.084,23886.933,11744,35584
57,E11_01_1_2_Chlorophyll_A_001.tif,28.661,17646.545,11344,25264
58,E11_01_1_2_Chlorophyll_A_001.tif,31.267,17393.333,12064,23232
59,E11_01_1_2_Chlorophyll_A_001.tif,44.295,24942.118,11344,44944
60,E11_01_1_2_Chlorophyll_A_001.tif,46.900,25810.667,11952,44368
61,E11_01_1_2_Chlorophyll_A_001.tif,26.056,22950.400,11728,41584
62,E11_01_1_2_Chlorophyll_A_001.tif,26.056,21419.200,12352,34720
63,E11_01_1_2_Chlorophyll_A_001.tif,41.689,23895.000,12240,36320
64,E11_01_1_2_Chlorophyll_A_001.tif,26.056,16942.400,11312,28480
65,E11_01_1_2_Chlorophyll_A_001.tif,31.267,19454.667,12384,27072
