 ,Label,Area,Mean,Min,Max
1,E7_01_1_1_Chlorophyll_A_001.tif,26.056,19632.000,10768,31504
2,E7_01_1_1_Chlorophyll_A_001.tif,75.562,22444.690,10912,37392
3,E7_01_1_1_Chlorophyll_A_001.tif,54.717,28918.095,10640,51680
4,E7_01_1_1_Chlorophyll_A_001.tif,33.873,16688.000,12160,21936
5,E7_01_1_1_Chlorophyll_A_001.tif,44.295,16275.765,10096,22384
6,E7_01_1_1_Chlorophyll_A_001.tif,28.661,17368.727,10912,25408
7,E7_01_1_1_Chlorophyll_A_001.tif,26.056,19958.400,13872,28784
8,E7_01_1_1_Chlorophyll_A_001.tif,26.056,13720.000,10064,18640
9,E7_01_1_1_Chlorophyll_A_001.tif,36.478,21083.429,11360,33072
10,E7_01_1_1_Chlorophyll_A_001.tif,46.900,18264.000,10032,27760
11,E7_01_1_1_Chlorophyll_A_001.tif,26.056,18526.400,10224,26176
12,E7_01_1_1_Chlorophyll_A_001.tif,36.478,18482.286,10736,26640
13,E7_01_1_1_Chlorophyll_A_001.tif,33.873,19490.462,10224,29584
14,E7_01_1_1_Chlorophyll_A_001.tif,26.056,19684.800,10432,31280
15,E7_01_1_1_Chlorophyll_A_001.tif,33.873,17080.615,10352,27024
16,E7_01_1_1_Chlorophyll_A_001.tif,26.056,15793.600,10400,22768
17,E7_01_1_1_Chlorophyll_A_001.tif,31.267,17858.667,10000,27360
18,E7_01_1_1_Chlorophyll_A_001.tif,31.267,17329.333,10208,31040
19,E7_01_1_1_Chlorophyll_A_001.tif,36.478,16516.571,10048,26432
20,E7_01_1_1_Chlorophyll_A_001.tif,36.478,18758.857,10016,29552
21,E7_01_1_1_Chlorophyll_A_001.tif,28.661,15873.455,10048,25936
22,E7_01_1_1_Chlorophyll_A_001.tif,28.661,17313.455,9968,27488
23,E7_01_1_1_Chlorophyll_A_001.tif,26.056,15604.800,9920,21792
24,E7_01_1_1_Chlorophyll_A_001.tif,31.267,18361.333,11152,29232
25,E7_01_1_1_Chlorophyll_A_001.tif,36.478,18578.286,11136,29040
26,E7_01_1_1_Chlorophyll_A_001.tif,65.140,21896.320,10672,37552
27,E7_01_1_1_Chlorophyll_A_001.tif,28.661,19643.636,13040,28992
28,E7_01_1_1_Chlorophyll_A_001.tif,41.689,20059.000,10912,35760
29,E7_01_1_1_Chlorophyll_A_001.tif,31.267,17577.333,11104,25600
30,E7_01_1_1_Chlorophyll_A_001.tif,44.295,20571.294,10528,34208
31,E7_01_1_1_Chlorophyll_A_001.tif,36.478,19622.857,10528,30384
32,E7_01_1_1_Chlorophyll_A_001.tif,26.056,18163.200,11536,26064
33,E7_01_1_1_Chlorophyll_A_001.tif,28.661,16410.182,11824,23552
34,E7_01_1_1_Chlorophyll_A_001.tif,36.478,16995.429,10080,26208
35,E7_01_1_1_Chlorophyll_A_001.tif,26.056,15364.800,9952,24416
36,E7_01_1_1_Chlorophyll_A_001.tif,36.478,19529.143,10816,30816
37,E7_01_1_1_Chlorophyll_A_001.tif,33.873,17767.385,11200,26448
38,E7_01_1_1_Chlorophyll_A_001.tif,44.295,22046.118,11088,36528
39,E7_01_1_1_Chlorophyll_A_001.tif,39.084,20345.600,10960,39056
40,E7_01_1_1_Chlorophyll_A_001.tif,39.084,22326.400,11392,32112
41,E7_01_1_1_Chlorophyll_A_001.tif,54.717,25952.762,11136,50576
42,E7_01_1_1_Chlorophyll_A_001.tif,41.689,22852.000,10272,38528
43,E7_01_1_1_Chlorophyll_A_001.tif,31.267,20042.667,11296,33568
44,E7_01_1_1_Chlorophyll_A_001.tif,33.873,19025.231,13152,28064
45,E7_01_1_1_Chlorophyll_A_001.tif,36.478,19665.143,10384,31968
46,E7_01_1_1_Chlorophyll_A_001.tif,36.478,25418.286,15136,40048
47,E7_01_1_1_Chlorophyll_A_001.tif,39.084,23956.267,10528,41888
48,E7_01_1_1_Chlorophyll_A_001.tif,70.351,22765.037,10656,45456
49,E7_01_1_1_Chlorophyll_A_001.tif,36.478,16138.286,10208,23728
50,E7_01_1_1_Chlorophyll_A_001.tif,31.267,17513.333,11216,24656
51,E7_01_1_1_Chlorophyll_A_001.tif,31.267,15566.667,9920,24160
52,E7_01_1_1_Chlorophyll_A_001.tif,33.873,23347.692,13792,37696
53,E7_01_1_1_Chlorophyll_A_001.tif,28.661,15793.455,10032,23696
54,E7_01_1_1_Chlorophyll_A_001.tif,33.873,19832.615,9984,32848
55,E7_01_1_1_Chlorophyll_A_001.tif,36.478,18012.571,11584,28656
56,E7_01_1_1_Chlorophyll_A_001.tif,28.661,21019.636,11488,35040
57,E7_01_1_1_Chlorophyll_A_001.tif,26.056,20080.000,10784,33120
58,E7_01_1_1_Chlorophyll_A_001.tif,31.267,16322.667,10288,24688
59,E7_01_1_1_Chlorophyll_A_001.tif,41.689,23270.000,13584,38080
60,E7_01_1_1_Chlorophyll_A_001.tif,44.295,19725.176,9920,31808
61,E7_01_1_1_Chlorophyll_A_001.tif,36.478,22465.143,12688,37152
62,E7_01_1_1_Chlorophyll_A_001.tif,26.056,16544.000,12080,21216
63,E7_01_1_1_Chlorophyll_A_001.tif,44.295,22928.941,10400,38624
