 ,Label,Area,Mean,Min,Max
1,F5_01_1_2_Chlorophyll_A_001.tif,39.084,18293.333,10704,27664
2,F5_01_1_2_Chlorophyll_A_001.tif,39.084,18381.867,10272,27136
3,F5_01_1_2_Chlorophyll_A_001.tif,26.056,17692.800,10624,26544
4,F5_01_1_2_Chlorophyll_A_001.tif,33.873,19058.462,12112,30224
5,F5_01_1_2_Chlorophyll_A_001.tif,26.056,18112.000,11456,27168
6,F5_01_1_2_Chlorophyll_A_001.tif,31.267,17418.667,10512,24592
7,F5_01_1_2_Chlorophyll_A_001.tif,33.873,18572.308,11520,31760
8,F5_01_1_2_Chlorophyll_A_001.tif,26.056,18147.200,11616,24768
9,F5_01_1_2_Chlorophyll_A_001.tif,33.873,19184.000,11408,28112
10,F5_01_1_2_Chlorophyll_A_001.tif,31.267,23404.000,11312,42352
11,F5_01_1_2_Chlorophyll_A_001.tif,41.689,20159.000,10464,31984
12,F5_01_1_2_Chlorophyll_A_001.tif,46.900,18912.000,10064,30752
13,F5_01_1_2_Chlorophyll_A_001.tif,26.056,18361.600,9904,24480
14,F5_01_1_2_Chlorophyll_A_001.tif,36.478,18066.286,10080,27664
15,F5_01_1_2_Chlorophyll_A_001.tif,33.873,17687.385,10688,28304
16,F5_01_1_2_Chlorophyll_A_001.tif,31.267,16154.667,10304,25088
17,F5_01_1_2_Chlorophyll_A_001.tif,33.873,15995.077,10272,23120
18,F5_01_1_2_Chlorophyll_A_001.tif,33.873,19094.154,9952,27296
19,F5_01_1_2_Chlorophyll_A_001.tif,31.267,16708.000,11632,23488
20,F5_01_1_2_Chlorophyll_A_001.tif,26.056,17208.000,9936,26864
21,F5_01_1_2_Chlorophyll_A_001.tif,33.873,15611.077,10128,24000
22,F5_01_1_2_Chlorophyll_A_001.tif,31.267,18517.333,10576,30992
23,F5_01_1_2_Chlorophyll_A_001.tif,33.873,20684.308,10096,33408
24,F5_01_1_2_Chlorophyll_A_001.tif,26.056,15928.000,9936,24512
25,F5_01_1_2_Chlorophyll_A_001.tif,44.295,22187.294,10544,35424
26,F5_01_1_2_Chlorophyll_A_001.tif,26.056,18680.000,14080,25472
27,F5_01_1_2_Chlorophyll_A_001.tif,46.900,19678.222,10064,30768
28,F5_01_1_2_Chlorophyll_A_001.tif,26.056,19859.200,10304,28752
29,F5_01_1_2_Chlorophyll_A_001.tif,46.900,27240.889,11200,50176
30,F5_01_1_2_Chlorophyll_A_001.tif,44.295,15936.000,9968,26464
