 ,Label,Area,Mean,Min,Max
1,G5_01_1_2_Chlorophyll_A_001.tif,36.478,371.429,288,496
2,G5_01_1_2_Chlorophyll_A_001.tif,44.295,381.176,288,512
3,G5_01_1_2_Chlorophyll_A_001.tif,104.223,420.400,288,592
4,G5_01_1_2_Chlorophyll_A_001.tif,44.295,436.706,336,624
5,G5_01_1_2_Chlorophyll_A_001.tif,143.307,401.164,288,656
6,G5_01_1_2_Chlorophyll_A_001.tif,52.112,423.200,304,624
7,G5_01_1_2_Chlorophyll_A_001.tif,101.618,417.231,288,608
8,G5_01_1_2_Chlorophyll_A_001.tif,59.928,418.087,288,592
9,G5_01_1_2_Chlorophyll_A_001.tif,49.506,405.053,288,624
10,G5_01_1_2_Chlorophyll_A_001.tif,33.873,365.538,288,544
11,G5_01_1_2_Chlorophyll_A_001.tif,112.040,395.907,288,640
12,G5_01_1_2_Chlorophyll_A_001.tif,33.873,418.462,288,576
13,G5_01_1_2_Chlorophyll_A_001.tif,57.323,408.000,288,528
14,G5_01_1_2_Chlorophyll_A_001.tif,52.112,420.000,288,720
15,G5_01_1_2_Chlorophyll_A_001.tif,49.506,389.053,288,592
16,G5_01_1_2_Chlorophyll_A_001.tif,52.112,416.800,304,592
17,G5_01_1_2_Chlorophyll_A_001.tif,36.478,405.714,288,592
18,G5_01_1_2_Chlorophyll_A_001.tif,41.689,420.000,288,560
19,G5_01_1_2_Chlorophyll_A_001.tif,44.295,375.529,288,560
20,G5_01_1_2_Chlorophyll_A_001.tif,52.112,392.800,288,576
21,G5_01_1_2_Chlorophyll_A_001.tif,96.407,414.703,288,624
22,G5_01_1_2_Chlorophyll_A_001.tif,39.084,407.467,304,512
23,G5_01_1_2_Chlorophyll_A_001.tif,46.900,392.000,288,624
24,G5_01_1_2_Chlorophyll_A_001.tif,39.084,394.667,288,528
25,G5_01_1_2_Chlorophyll_A_001.tif,36.478,369.143,288,544
26,G5_01_1_2_Chlorophyll_A_001.tif,49.506,368.842,288,448
27,G5_01_1_2_Chlorophyll_A_001.tif,54.717,422.857,288,688
28,G5_01_1_2_Chlorophyll_A_001.tif,44.295,388.706,288,576
29,G5_01_1_2_Chlorophyll_A_001.tif,39.084,411.733,288,560
30,G5_01_1_2_Chlorophyll_A_001.tif,54.717,398.476,304,560
31,G5_01_1_2_Chlorophyll_A_001.tif,33.873,411.077,288,672
32,G5_01_1_2_Chlorophyll_A_001.tif,49.506,401.684,288,544
33,G5_01_1_2_Chlorophyll_A_001.tif,57.323,431.273,288,608
34,G5_01_1_2_Chlorophyll_A_001.tif,41.689,387.000,304,528
35,G5_01_1_2_Chlorophyll_A_001.tif,39.084,390.400,288,528
36,G5_01_1_2_Chlorophyll_A_001.tif,85.984,407.758,288,592
37,G5_01_1_2_Chlorophyll_A_001.tif,44.295,396.235,288,528
38,G5_01_1_2_Chlorophyll_A_001.tif,44.295,418.824,288,624
