 ,Area
1,77.330
2,56.958
3,34.507
4,74.004
5,69.015
6,106.848
7,29.518
8,56.126
9,39.081
10,36.170
11,43.654
12,29.518
13,33.260
14,29.934
15,52.385
16,47.396
17,51.137
18,35.755
19,47.811
20,41.991
21,49.059
22,47.811
23,39.912
24,37.418
25,32.429
26,44.901
27,33.676
28,54.048
29,52.800
30,55.295
31,36.170
32,35.755
33,53.632
34,37.418
35,51.137
36,49.474
37,60.284
38,63.194
39,52.800
40,35.755
41,48.227
42,44.901
43,34.092
44,44.070
45,31.597
46,31.181
47,41.159
48,30.350
49,26.192
50,49.059
51,34.923
52,56.542
53,32.844
54,47.396
55,36.170
56,49.890
57,44.485
58,51.553
59,27.024
60,44.901
61,75.667
62,55.711
63,58.621
64,30.766
65,44.485
66,28.687
67,44.070
68,44.901
69,48.643
70,29.934
71,44.485
72,34.507
73,43.238
74,76.082
75,37.833
76,28.271
77,66.104
78,42.822
79,31.181
80,49.890
81,31.597
82,34.507
83,39.081
84,35.755
85,70.262
86,48.643
87,35.755
88,31.181
89,40.744
90,29.518
91,46.148
92,35.755
93,30.766
94,31.181
95,30.766
96,30.350
97,39.081
98,46.564
99,48.643
100,26.608
101,32.844
102,49.890
103,47.811
104,36.586
105,37.002
106,37.418
107,26.608
108,42.822
109,44.485
110,49.059
111,50.722
112,39.081
113,29.103
114,31.597
115,42.822
116,38.665
117,27.855
118,39.496
119,37.833
120,25.361
121,27.855
122,29.934
123,35.755
124,27.024
125,51.969
126,31.597
127,33.260
128,41.991
129,32.429
130,34.507
131,45.317
132,25.361
133,47.396
134,27.024
135,29.103
136,37.002
137,32.429
138,38.665
139,29.103
140,41.575
141,41.159
142,63.610
143,32.013
144,44.901
145,49.059
146,45.733
147,40.328
148,38.249
149,29.518
150,41.575
151,33.260
152,53.632
153,44.901
154,39.496
155,37.418
156,34.092
157,32.429
158,39.496
159,37.833
160,32.013
161,25.777
162,37.833
163,32.429
164,37.002
165,32.429
166,33.676
167,45.317
168,27.440
169,84.397
170,41.991
171,37.002
172,34.092
173,40.328
174,41.575
175,31.597
176,28.271
177,33.260
178,34.092
179,40.328
180,28.271
181,27.855
182,26.192
183,54.463
184,27.440
185,29.934
186,47.811
187,27.440
188,40.328
189,29.103
190,29.934
191,28.271
192,42.407
193,27.855
194,34.923
195,37.833
196,26.608
197,64.857
198,26.608
199,44.485
200,39.496
201,28.687
202,42.407
203,38.249
204,25.777
205,36.586
206,44.070
207,37.833
208,35.755
209,48.643
210,56.958
211,35.755
212,34.923
213,46.148
214,29.518
215,27.024
216,30.350
217,35.755
218,37.833
219,46.980
220,25.777
221,25.777
222,34.507
223,32.429
224,27.024
225,36.170
226,43.238
227,48.643
228,51.553
229,30.350
230,34.507
231,37.002
232,32.013
233,38.665
234,29.518
235,55.295
236,46.980
237,32.844
238,43.238
239,61.115
240,40.328
241,34.092
242,48.643
243,42.407
244,31.597
245,53.632
246,40.328
247,38.665
248,27.440
249,27.440
250,34.507
251,47.811
252,38.665
253,34.923
254,41.575
255,29.934
256,32.844
257,64.441
258,32.013
259,29.934
260,30.766
261,35.339
262,27.855
263,27.440
264,34.092
265,36.170
266,26.192
267,30.350
268,42.407
269,27.855
270,59.868
271,37.002
272,27.440
273,28.271
274,28.271
275,39.496
276,32.429
277,37.418
278,31.597
279,42.407
280,42.407
281,29.103
282,35.755
283,28.687
284,29.934
285,32.429
286,34.923
