 ,Area
1,52.800
2,27.440
3,30.350
4,30.766
5,60.700
6,32.013
7,44.485
8,36.170
9,31.181
10,43.238
11,39.912
12,44.070
13,43.654
14,48.227
15,50.306
16,29.518
17,32.844
18,29.103
19,60.700
20,35.755
21,29.934
22,32.844
23,32.844
24,43.654
25,41.575
26,44.901
27,31.181
28,34.507
29,27.024
30,47.396
31,48.643
32,31.597
33,27.024
34,41.159
35,45.317
36,35.755
37,31.597
38,32.844
39,31.597
40,29.103
41,31.597
42,50.306
43,41.159
44,26.608
45,87.723
46,32.013
47,40.744
48,32.844
49,44.901
50,48.227
51,28.271
52,32.013
53,26.192
54,25.777
55,39.081
56,51.553
57,25.361
58,42.407
59,75.251
60,35.339
61,44.070
62,29.934
63,53.216
64,32.013
65,25.361
66,34.507
67,42.822
68,30.766
69,43.654
70,37.833
71,30.766
72,27.855
73,28.687
74,27.855
75,32.013
76,25.361
77,25.777
78,58.205
79,36.586
80,32.429
81,34.507
82,37.418
83,48.227
84,28.271
85,40.328
86,47.396
87,42.822
88,32.013
89,31.181
90,26.192
91,34.092
92,41.159
93,33.676
94,34.092
95,29.103
96,38.665
97,25.777
98,27.855
99,33.260
100,41.575
101,30.350
102,38.249
103,27.440
104,29.103
105,34.092
106,44.901
107,36.170
108,27.024
109,46.564
110,37.002
111,35.339
112,41.991
113,35.339
114,29.103
115,41.575
116,35.339
117,36.170
118,43.238
119,32.013
120,35.339
121,36.170
122,56.958
123,25.361
124,44.901
125,35.339
126,26.192
127,25.361
128,36.170
129,35.755
130,66.520
131,26.608
132,32.844
133,50.306
134,27.440
135,30.350
136,27.855
137,32.013
138,43.238
139,59.037
140,28.271
141,26.192
142,29.518
143,31.181
144,30.766
145,29.518
146,26.192
147,42.822
148,51.969
149,30.766
150,27.024
151,27.024
152,39.912
153,32.429
154,51.553
155,51.137
156,31.181
157,31.597
158,27.855
159,29.934
160,25.361
161,36.170
162,40.328
163,29.518
164,31.181
165,27.855
166,33.260
167,33.260
168,39.496
169,77.330
170,44.901
171,31.181
172,40.744
173,35.755
174,103.522
175,35.339
176,40.744
177,27.024
178,28.687
179,32.429
180,29.934
181,44.485
182,26.192
183,43.238
184,26.608
185,46.148
186,39.081
187,51.137
188,34.923
189,36.586
190,39.081
191,45.733
192,26.608
193,37.833
194,31.181
195,48.227
196,36.586
197,51.137
198,25.777
199,27.024
200,58.621
201,32.844
202,36.170
203,38.249
204,27.024
205,25.777
206,46.148
207,39.912
208,35.339
209,40.328
210,39.081
211,29.934
212,27.440
213,27.855
214,38.665
215,28.687
216,37.002
217,29.934
218,40.328
219,46.148
220,27.024
221,25.777
222,46.980
223,37.002
224,25.777
225,35.755
226,25.777
227,31.181
228,40.328
229,26.192
230,38.665
231,25.777
232,34.507
233,25.777
234,65.273
235,30.350
236,27.855
237,28.687
238,32.013
239,29.103
240,32.844
241,41.991
242,26.192
243,26.192
244,28.687
245,28.271
246,37.002
247,26.608
248,31.181
249,27.855
250,34.923
251,25.361
252,39.081
253,37.418
254,44.901
255,32.844
256,38.249
257,28.687
258,32.429
259,27.024
260,32.013
261,27.440
262,51.553
263,35.755
264,26.608
265,32.429
266,28.271
267,41.575
268,59.452
269,41.159
270,27.855
271,28.271
272,33.676
273,28.271
274,40.744
275,25.777
276,27.024
277,35.755
278,29.103
279,29.934
280,29.518
281,26.192
282,25.777
