 ,Area
1,38.249
2,42.407
3,45.317
4,29.518
5,40.328
6,39.081
7,41.991
8,44.485
9,34.923
10,29.518
11,39.496
12,26.192
13,32.429
14,39.912
15,44.901
16,42.822
17,45.317
18,30.350
19,33.260
20,37.833
21,27.855
22,31.597
23,27.440
24,39.081
25,27.440
26,27.024
27,37.002
28,33.676
29,33.676
30,43.654
31,29.518
32,37.418
33,34.507
34,35.755
35,40.744
36,40.328
37,32.844
38,41.991
39,33.676
40,48.227
41,25.361
42,34.923
43,26.608
44,43.654
45,29.934
46,25.361
47,33.676
48,32.429
49,38.249
50,54.879
51,36.170
52,32.844
53,29.103
54,26.608
55,27.440
56,33.676
57,34.507
58,32.013
59,29.934
60,31.181
61,27.855
62,37.833
63,38.249
64,29.934
65,35.339
66,51.969
67,27.024
68,33.260
69,35.339
70,36.170
71,34.092
72,53.216
73,37.418
74,40.744
75,35.339
76,43.654
77,30.350
78,28.271
79,33.260
80,29.934
81,33.676
82,36.586
83,45.733
84,32.844
85,36.170
86,36.586
87,35.755
88,40.744
89,36.586
90,34.507
91,27.855
92,35.339
93,28.687
94,38.665
95,27.440
96,45.733
97,29.103
98,45.317
99,35.339
100,46.148
101,38.249
102,44.485
103,44.070
104,33.676
105,34.092
106,32.429
107,35.755
108,27.855
109,47.811
110,31.597
111,39.912
112,30.766
113,27.855
114,40.744
115,36.170
116,48.227
117,25.777
118,29.934
119,39.496
120,32.429
121,56.126
122,39.912
123,39.496
124,32.429
125,50.306
126,29.518
127,32.013
128,38.249
129,41.159
130,35.755
131,26.608
132,37.002
133,41.575
134,30.766
135,31.597
136,56.542
137,28.271
138,49.059
139,32.844
140,32.844
141,34.923
142,36.586
143,37.833
144,29.518
145,26.608
146,44.485
147,47.396
148,42.822
149,32.844
150,36.586
151,44.485
152,33.260
153,38.249
154,36.586
155,34.507
156,40.328
157,39.081
158,32.429
159,46.564
160,27.024
161,46.980
162,26.192
163,29.934
164,31.597
165,27.024
166,37.002
167,42.822
168,32.013
169,28.271
170,37.002
171,42.407
172,42.407
173,43.238
174,33.676
175,42.407
176,48.227
177,31.181
178,34.923
179,36.170
180,29.934
181,39.081
182,41.575
183,37.002
184,32.013
185,47.811
186,47.396
187,52.385
188,37.002
189,48.643
190,37.418
191,31.181
192,35.755
193,34.507
194,35.755
195,36.170
196,39.081
197,38.665
198,27.024
199,31.181
200,40.328
201,29.934
202,46.564
203,29.103
204,39.081
205,29.103
206,48.643
207,32.013
208,36.586
209,25.361
210,26.608
211,39.912
212,42.822
213,30.350
214,50.722
215,43.654
216,41.991
217,42.822
218,53.216
219,51.969
220,42.822
221,42.822
222,45.733
223,29.518
224,34.923
225,41.159
226,56.126
227,34.923
228,28.687
229,27.024
230,57.374
231,53.632
232,33.260
233,41.575
234,44.901
235,30.350
236,41.991
237,31.597
238,26.192
239,39.496
240,27.440
241,31.181
242,28.687
243,49.890
244,36.170
245,30.766
246,31.181
247,40.328
248,41.575
249,31.181
250,27.440
251,28.687
252,33.676
253,31.181
254,35.755
255,28.271
256,43.238
257,27.024
258,42.407
259,39.496
260,46.148
261,44.485
262,49.474
263,34.092
264,41.991
265,47.811
266,38.249
267,29.103
268,52.385
269,51.137
270,52.385
271,41.991
272,42.822
273,49.474
274,48.227
275,41.159
276,36.170
277,28.687
278,47.396
279,32.844
280,46.980
281,38.249
282,41.991
283,36.170
284,29.518
285,43.238
286,39.496
287,47.396
288,32.429
289,48.643
290,36.170
291,30.350
292,41.159
293,34.092
294,37.002
295,51.553
296,26.608
297,26.192
298,40.744
299,39.496
300,40.744
301,54.879
302,37.002
303,62.778
304,49.890
305,39.496
306,60.284
307,34.507
308,41.159
309,31.597
310,56.542
311,41.991
312,35.755
313,33.676
314,27.440
315,41.991
316,36.586
317,33.676
318,38.665
319,37.002
320,43.238
321,44.901
322,39.496
323,50.306
324,26.608
325,33.676
326,38.249
327,51.969
328,28.271
329,37.418
330,42.822
331,29.103
332,41.159
333,59.037
334,49.890
335,50.306
336,27.024
337,43.238
338,39.912
339,54.879
340,25.777
341,44.485
