 ,Area
1,43.238
2,32.844
3,38.665
4,47.396
5,40.328
6,44.485
7,40.744
8,41.575
9,32.844
10,41.991
11,79.408
12,30.350
13,53.216
14,44.485
15,49.890
16,51.553
17,45.317
18,42.822
19,48.643
20,59.037
21,45.317
22,26.608
23,39.496
24,41.575
25,25.777
26,50.306
27,38.249
28,31.597
29,29.103
30,47.811
31,30.350
32,25.777
33,44.485
34,29.934
35,59.037
36,40.744
37,45.317
38,46.564
39,46.564
40,26.608
41,64.026
42,34.507
43,55.711
44,34.507
45,37.418
46,34.923
47,36.170
48,32.844
49,43.654
50,47.396
51,62.363
52,74.419
53,50.722
54,33.260
55,44.070
56,58.205
57,42.407
58,51.969
59,40.744
60,32.429
61,40.744
62,35.755
63,48.227
64,38.249
65,33.260
66,54.879
67,48.643
68,39.496
69,43.238
70,30.350
71,30.766
72,35.755
73,27.855
74,28.687
75,32.429
76,40.744
77,26.608
78,54.048
79,45.317
80,43.654
81,45.317
82,28.687
83,30.766
84,35.339
85,32.429
86,49.890
87,27.024
88,40.328
89,42.407
90,29.934
91,43.654
92,42.407
93,29.518
94,34.507
95,46.980
96,39.496
97,31.597
98,27.440
99,49.890
100,47.396
101,61.531
102,30.350
103,45.317
104,29.934
105,31.597
106,29.518
107,35.339
108,41.991
109,27.440
110,32.013
111,41.991
112,26.192
113,54.879
114,32.844
115,42.822
116,47.396
117,31.181
118,38.665
119,37.002
120,44.901
121,51.553
122,29.518
123,35.755
124,47.396
125,27.024
126,29.934
127,26.608
128,38.665
129,32.429
130,28.687
131,25.777
132,33.260
133,42.822
134,37.002
135,44.070
136,46.564
137,35.755
138,46.564
139,34.092
140,44.070
141,34.092
142,37.002
143,44.901
144,27.440
145,27.855
146,27.855
147,40.744
148,25.777
149,38.249
150,37.002
151,31.181
152,42.822
153,30.350
154,26.608
155,35.339
156,40.744
157,33.676
158,32.844
159,38.249
160,44.485
161,25.361
162,35.339
163,36.586
164,44.485
165,39.912
166,27.855
167,26.192
168,40.328
169,42.407
170,39.081
171,32.013
172,38.665
173,41.575
174,51.969
175,32.013
176,39.081
177,28.687
178,31.181
179,41.159
180,43.654
181,36.586
182,32.844
183,52.385
184,26.192
185,39.081
186,34.092
187,31.597
188,34.923
189,41.159
190,33.260
191,31.181
192,36.170
193,38.665
194,29.518
195,46.564
196,47.811
197,44.485
198,44.070
199,41.159
200,36.170
201,37.418
202,32.013
203,36.586
204,35.755
205,52.800
206,34.092
207,44.070
208,36.170
209,28.687
210,36.586
211,26.192
212,32.844
213,32.429
214,27.024
215,38.249
216,27.440
217,46.148
218,32.844
219,39.912
220,25.777
221,28.271
222,39.912
223,30.766
224,32.429
225,43.654
226,39.081
227,35.339
228,47.811
229,39.912
230,33.676
231,28.687
232,59.868
233,43.654
234,25.777
235,27.440
236,34.923
237,25.361
238,34.092
239,34.092
240,54.879
241,37.002
242,29.518
243,27.855
244,28.687
245,30.350
246,30.350
247,28.687
248,50.722
249,44.901
250,29.934
251,28.687
252,33.260
253,39.912
254,38.249
255,28.271
256,32.013
257,29.518
258,46.980
259,44.901
260,29.934
261,77.745
262,31.597
263,45.733
264,27.024
265,46.148
266,30.350
267,28.687
268,29.103
269,29.518
270,35.339
271,54.048
272,28.271
273,32.429
274,34.092
275,37.833
276,42.822
277,49.474
278,39.081
279,29.103
280,41.159
281,59.868
282,35.339
283,31.597
284,27.440
285,41.991
286,52.800
287,38.665
288,33.676
289,30.350
290,53.632
291,46.148
292,33.676
293,38.249
294,43.238
295,50.306
296,30.350
297,44.070
298,40.744
299,48.227
300,28.271
301,25.361
302,49.059
303,41.991
304,42.822
305,29.518
306,34.507
307,32.844
308,36.586
309,47.396
310,37.418
311,38.665
312,52.800
313,48.227
314,38.665
315,51.969
316,41.991
317,33.260
318,30.350
319,40.744
320,40.328
321,44.901
322,41.575
323,32.844
324,27.024
325,32.429
326,42.407
327,32.429
328,38.249
329,33.676
330,28.687
331,32.844
332,36.586
333,58.205
334,32.429
335,34.092
336,26.608
337,34.092
338,43.654
339,27.024
340,25.777
341,43.238
342,25.361
343,49.059
344,39.912
345,28.687
346,42.407
347,38.665
348,43.654
349,28.271
350,40.328
351,28.271
352,35.755
353,29.103
354,32.429
355,27.855
356,36.586
357,29.103
358,30.766
359,28.271
360,32.429
361,29.934
362,45.317
363,29.103
364,28.687
365,35.339
366,31.181
367,28.687
368,36.586
369,37.833
370,47.396
371,48.643
372,41.159
373,37.002
374,41.991
375,50.722
376,30.350
377,41.159
378,28.271
379,43.238
380,35.339
381,32.844
382,45.733
383,51.137
384,43.654
385,27.855
386,33.260
387,39.496
388,33.676
