 ,Area
1,34.923
2,31.181
3,34.507
4,27.024
5,29.103
6,31.181
7,43.654
8,32.429
9,44.485
10,43.238
11,30.350
12,39.496
13,28.687
14,29.103
15,37.833
16,40.744
17,25.361
18,36.170
19,35.339
20,44.485
21,34.092
22,25.361
23,38.665
24,38.249
25,33.260
26,28.687
27,31.181
28,39.912
29,38.665
30,27.440
31,40.328
32,32.013
33,35.339
34,25.361
35,43.654
36,35.339
37,42.822
38,40.328
39,29.103
40,33.676
41,35.755
42,31.181
43,47.811
44,28.687
45,41.991
46,25.361
47,39.496
48,36.170
49,51.969
50,34.507
51,27.855
52,25.361
53,41.159
54,38.249
55,34.507
56,34.092
57,29.934
58,28.271
59,30.766
60,41.159
61,26.192
62,33.676
63,28.687
64,25.777
65,49.059
66,40.744
67,27.440
68,32.844
69,42.407
70,35.339
71,39.912
72,25.777
73,29.934
74,37.002
75,36.170
76,37.002
77,41.159
78,52.800
79,32.013
80,57.374
81,29.934
82,25.777
83,51.553
84,33.676
85,33.260
86,37.833
87,36.170
88,25.361
89,74.419
90,39.081
91,25.777
92,37.418
93,25.777
94,31.597
95,31.597
96,38.665
97,47.811
98,29.103
99,34.507
100,33.676
101,41.991
102,39.912
103,30.350
104,51.137
105,25.361
106,32.429
107,28.271
108,26.608
109,39.081
110,35.339
111,40.744
112,27.024
113,33.676
114,28.687
115,30.350
116,31.597
117,41.575
118,35.339
119,52.800
120,39.081
121,49.474
122,32.844
123,28.687
124,29.934
125,50.722
126,38.249
127,36.586
128,43.238
129,37.002
130,28.687
131,34.092
132,39.496
133,46.148
134,49.890
135,31.597
136,48.227
137,44.485
138,30.766
139,42.822
140,32.013
141,37.418
142,45.317
143,53.632
144,32.429
145,41.159
146,26.192
147,44.901
148,45.733
149,49.890
150,39.496
151,33.260
152,42.407
153,27.855
154,35.755
155,40.744
156,32.013
157,39.912
158,34.092
159,47.811
160,26.608
161,26.192
162,26.192
163,30.766
164,27.855
165,60.284
166,36.170
167,44.485
168,51.137
169,41.159
170,31.181
171,46.564
172,29.934
173,52.800
174,47.811
175,32.429
176,34.923
177,34.092
178,39.912
179,57.374
180,32.844
181,34.092
182,28.271
183,28.687
184,58.621
185,46.980
186,44.485
187,37.418
188,25.361
189,39.912
190,48.643
191,48.227
192,39.496
193,25.777
194,27.855
195,30.350
196,44.485
197,48.227
198,45.317
199,49.059
200,34.507
201,31.597
202,49.474
203,38.665
204,42.407
205,39.912
206,31.181
207,43.654
208,37.002
209,41.575
210,49.474
211,41.159
212,40.328
213,44.901
214,46.564
215,47.396
216,36.170
217,38.665
218,31.181
219,30.766
220,38.665
221,34.923
222,41.575
223,27.855
224,26.608
225,52.800
226,34.092
227,42.407
228,44.901
229,55.711
230,28.687
231,44.070
232,37.833
233,25.361
234,52.800
235,47.396
236,42.407
237,36.170
238,43.654
239,106.848
240,29.518
241,46.564
242,44.901
243,52.800
244,38.665
245,45.317
246,39.496
247,148.007
248,26.608
249,25.361
250,57.789
251,39.081
252,46.148
253,29.934
254,59.452
255,46.564
256,35.339
257,57.789
258,49.474
259,47.811
260,37.002
261,59.452
262,39.496
263,34.507
264,39.912
265,46.564
266,86.060
267,44.485
268,38.249
269,53.632
270,70.262
271,50.722
272,53.632
273,63.610
274,55.295
275,46.564
276,40.744
277,26.192
278,44.485
279,41.991
280,55.711
281,41.575
282,43.238
283,57.374
284,39.912
285,39.496
286,51.137
