 ,Label,Area,Mean,Min,Max
1,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,25016.471,13472,39632
2,D2_01_1_1_Chlorophyll_plate_28.tif,52.112,24608.800,14560,36448
3,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,27528.000,12976,46288
4,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,20720.000,13472,31712
5,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,21745.600,12768,30544
6,D2_01_1_1_Chlorophyll_plate_28.tif,52.112,31941.600,12944,52672
7,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,24113.143,12960,39072
8,D2_01_1_1_Chlorophyll_plate_28.tif,28.661,21736.727,13792,31136
9,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,21895.529,13744,33088
10,D2_01_1_1_Chlorophyll_plate_28.tif,41.689,27904.000,14992,43168
11,D2_01_1_1_Chlorophyll_plate_28.tif,70.351,34880.593,13264,55792
12,D2_01_1_1_Chlorophyll_plate_28.tif,28.661,17752.727,13120,23968
13,D2_01_1_1_Chlorophyll_plate_28.tif,33.873,23731.692,12928,37936
14,D2_01_1_1_Chlorophyll_plate_28.tif,39.084,29732.267,12848,49904
15,D2_01_1_1_Chlorophyll_plate_28.tif,46.900,24807.111,12800,41664
16,D2_01_1_1_Chlorophyll_plate_28.tif,33.873,23005.538,14480,34064
17,D2_01_1_1_Chlorophyll_plate_28.tif,31.267,23101.333,13440,37104
18,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,25919.059,13408,43440
19,D2_01_1_1_Chlorophyll_plate_28.tif,46.900,19228.444,12864,26080
20,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,25045.714,13600,45264
21,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,18520.000,13600,25072
22,D2_01_1_1_Chlorophyll_plate_28.tif,52.112,35794.400,12624,65520
23,D2_01_1_1_Chlorophyll_plate_28.tif,49.506,26478.316,12624,44352
24,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,30407.529,14224,49104
25,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,22097.143,13728,32272
26,D2_01_1_1_Chlorophyll_plate_28.tif,70.351,27450.074,13168,46160
27,D2_01_1_1_Chlorophyll_plate_28.tif,31.267,22898.667,12944,33472
28,D2_01_1_1_Chlorophyll_plate_28.tif,49.506,30996.211,14656,49376
29,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,21333.714,13360,33248
30,D2_01_1_1_Chlorophyll_plate_28.tif,31.267,22314.667,14752,35968
31,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,26816.000,14160,45952
32,D2_01_1_1_Chlorophyll_plate_28.tif,52.112,25760.800,14000,39056
33,D2_01_1_1_Chlorophyll_plate_28.tif,31.267,23718.667,13072,37168
34,D2_01_1_1_Chlorophyll_plate_28.tif,31.267,21269.333,14256,33616
35,D2_01_1_1_Chlorophyll_plate_28.tif,28.661,18314.182,12832,26576
36,D2_01_1_1_Chlorophyll_plate_28.tif,39.084,23900.800,12672,38432
37,D2_01_1_1_Chlorophyll_plate_28.tif,33.873,24648.615,13808,41008
38,D2_01_1_1_Chlorophyll_plate_28.tif,49.506,29296.842,12624,53104
39,D2_01_1_1_Chlorophyll_plate_28.tif,41.689,23438.000,14048,35440
40,D2_01_1_1_Chlorophyll_plate_28.tif,28.661,25885.091,14032,43856
41,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,18833.600,12992,27136
42,D2_01_1_1_Chlorophyll_plate_28.tif,39.084,20610.133,12800,29824
43,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,21144.000,13808,31600
44,D2_01_1_1_Chlorophyll_plate_28.tif,70.351,27751.704,12800,55248
45,D2_01_1_1_Chlorophyll_plate_28.tif,28.661,18925.091,12992,25088
46,D2_01_1_1_Chlorophyll_plate_28.tif,26.056,21449.600,15344,31024
47,D2_01_1_1_Chlorophyll_plate_28.tif,36.478,24923.429,13504,36720
48,D2_01_1_1_Chlorophyll_plate_28.tif,39.084,22452.267,12720,34912
49,D2_01_1_1_Chlorophyll_plate_28.tif,44.295,27707.294,14336,45536
