 ,Label,Area,Mean,Min,Max
1,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,20462.857,12736,31088
2,E5_01_1_2_Chlorophyll_plate_28.tif,39.084,22414.933,10880,41072
3,E5_01_1_2_Chlorophyll_plate_28.tif,57.323,25271.273,10784,43952
4,E5_01_1_2_Chlorophyll_plate_28.tif,49.506,18801.684,11136,29184
5,E5_01_1_2_Chlorophyll_plate_28.tif,44.295,22258.824,11328,33168
6,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,21480.000,10752,35472
7,E5_01_1_2_Chlorophyll_plate_28.tif,28.661,16651.636,11168,23248
8,E5_01_1_2_Chlorophyll_plate_28.tif,31.267,20825.333,11888,33248
9,E5_01_1_2_Chlorophyll_plate_28.tif,52.112,23644.800,10944,41984
10,E5_01_1_2_Chlorophyll_plate_28.tif,46.900,19856.889,11920,39520
11,E5_01_1_2_Chlorophyll_plate_28.tif,26.056,19203.200,10688,30944
12,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,20611.429,11056,31312
13,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,19819.429,11136,28112
14,E5_01_1_2_Chlorophyll_plate_28.tif,26.056,19976.000,12928,32080
15,E5_01_1_2_Chlorophyll_plate_28.tif,46.900,26604.444,10880,44400
16,E5_01_1_2_Chlorophyll_plate_28.tif,26.056,16638.400,10880,26016
17,E5_01_1_2_Chlorophyll_plate_28.tif,46.900,22301.333,10928,37392
18,E5_01_1_2_Chlorophyll_plate_28.tif,31.267,17597.333,10928,26208
19,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,20384.000,11280,34688
20,E5_01_1_2_Chlorophyll_plate_28.tif,70.351,27373.037,11712,60384
21,E5_01_1_2_Chlorophyll_plate_28.tif,33.873,24486.154,10896,41136
22,E5_01_1_2_Chlorophyll_plate_28.tif,39.084,24466.133,12272,45232
23,E5_01_1_2_Chlorophyll_plate_28.tif,41.689,21523.000,11168,34304
24,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,25526.857,10896,44144
25,E5_01_1_2_Chlorophyll_plate_28.tif,36.478,22950.857,10944,41648
26,E5_01_1_2_Chlorophyll_plate_28.tif,28.661,18561.455,12176,26480
27,E5_01_1_2_Chlorophyll_plate_28.tif,70.351,32232.296,11680,58688
28,E5_01_1_2_Chlorophyll_plate_28.tif,28.661,19418.182,10880,29664
29,E5_01_1_2_Chlorophyll_plate_28.tif,33.873,17531.077,10704,25120
30,E5_01_1_2_Chlorophyll_plate_28.tif,39.084,19557.333,10928,27488
31,E5_01_1_2_Chlorophyll_plate_28.tif,31.267,22494.667,12416,36032
32,E5_01_1_2_Chlorophyll_plate_28.tif,26.056,17075.200,10960,23664
33,E5_01_1_2_Chlorophyll_plate_28.tif,31.267,17946.667,11200,32704
34,E5_01_1_2_Chlorophyll_plate_28.tif,33.873,18957.538,10800,27696
35,E5_01_1_2_Chlorophyll_plate_28.tif,33.873,19084.308,11296,28320
36,E5_01_1_2_Chlorophyll_plate_28.tif,31.267,22968.000,13824,38480
37,E5_01_1_2_Chlorophyll_plate_28.tif,44.295,25453.176,10800,47600
