 ,Label,Area,Mean,Min,Max
1,F8_01_1_2_Chlorophyll_plate_28.tif,148.518,4328.421,1520,15888
2,F8_01_1_2_Chlorophyll_plate_28.tif,125.068,3461.667,1520,14080
3,F8_01_1_2_Chlorophyll_plate_28.tif,218.869,6033.905,1536,34416
4,F8_01_1_2_Chlorophyll_plate_28.tif,171.968,4319.030,1520,27280
5,F8_01_1_2_Chlorophyll_plate_28.tif,130.279,2648.640,1520,5392
6,F8_01_1_2_Chlorophyll_plate_28.tif,65.140,2885.120,1568,7008
7,F8_01_1_2_Chlorophyll_plate_28.tif,109.434,3761.524,1536,9456
8,F8_01_1_2_Chlorophyll_plate_28.tif,218.869,6404.571,1536,37296
9,F8_01_1_2_Chlorophyll_plate_28.tif,224.080,6789.767,1536,41536
10,F8_01_1_2_Chlorophyll_plate_28.tif,130.279,5139.840,1520,24960
11,F8_01_1_2_Chlorophyll_plate_28.tif,284.008,5364.697,1520,25184
12,F8_01_1_2_Chlorophyll_plate_28.tif,187.602,5430.000,1536,32224
13,F8_01_1_2_Chlorophyll_plate_28.tif,140.701,4989.037,1520,21072
14,F8_01_1_2_Chlorophyll_plate_28.tif,216.263,5171.855,1520,31152
15,F8_01_1_2_Chlorophyll_plate_28.tif,221.474,5352.471,1552,38016
16,F8_01_1_2_Chlorophyll_plate_28.tif,174.574,3827.104,1536,19168
17,F8_01_1_2_Chlorophyll_plate_28.tif,177.180,4932.235,1520,25520
18,F8_01_1_2_Chlorophyll_plate_28.tif,263.164,7146.455,1536,56336
19,F8_01_1_2_Chlorophyll_plate_28.tif,127.674,4469.224,1520,21776
20,F8_01_1_2_Chlorophyll_plate_28.tif,143.307,5207.273,1536,22048
21,F8_01_1_2_Chlorophyll_plate_28.tif,182.391,5108.571,1520,26640
22,F8_01_1_2_Chlorophyll_plate_28.tif,127.674,4934.204,1520,26304
23,F8_01_1_2_Chlorophyll_plate_28.tif,190.208,5088.438,1536,26912
24,F8_01_1_2_Chlorophyll_plate_28.tif,208.447,4906.600,1520,35792
25,F8_01_1_2_Chlorophyll_plate_28.tif,195.419,4165.547,1520,25312
26,F8_01_1_2_Chlorophyll_plate_28.tif,179.785,4330.435,1520,22880
27,F8_01_1_2_Chlorophyll_plate_28.tif,158.941,5651.410,1520,20608
28,F8_01_1_2_Chlorophyll_plate_28.tif,101.618,3863.795,1520,9984
29,F8_01_1_2_Chlorophyll_plate_28.tif,145.913,2987.429,1520,11104
30,F8_01_1_2_Chlorophyll_plate_28.tif,158.941,5459.672,1552,30112
31,F8_01_1_2_Chlorophyll_plate_28.tif,158.941,4904.393,1552,20320
32,F8_01_1_2_Chlorophyll_plate_28.tif,140.701,4249.481,1584,20992
33,F8_01_1_2_Chlorophyll_plate_28.tif,171.968,4864.970,1520,23696
34,F8_01_1_2_Chlorophyll_plate_28.tif,192.813,4900.108,1520,28720
35,F8_01_1_2_Chlorophyll_plate_28.tif,148.518,4616.702,1520,23216
36,F8_01_1_2_Chlorophyll_plate_28.tif,164.152,5556.317,1536,24416
