 ,Label,Area,Mean,Min,Max
1,B11_01_1_2_Chlorophyll_plate_19.tif,184.996,5916.169,2240,36256
2,B11_01_1_2_Chlorophyll_plate_19.tif,231.897,5203.775,2240,28960
3,B11_01_1_2_Chlorophyll_plate_19.tif,135.490,5599.692,2240,24480
4,B11_01_1_2_Chlorophyll_plate_19.tif,226.686,6537.931,2240,43232
5,B11_01_1_2_Chlorophyll_plate_19.tif,182.391,6850.057,2272,41504
6,B11_01_1_2_Chlorophyll_plate_19.tif,229.291,5407.273,2240,34240
7,B11_01_1_2_Chlorophyll_plate_19.tif,273.586,8635.429,2240,54944
8,B11_01_1_2_Chlorophyll_plate_19.tif,161.546,6635.355,2288,25584
9,B11_01_1_2_Chlorophyll_plate_19.tif,244.925,4527.489,2240,32976
10,B11_01_1_2_Chlorophyll_plate_19.tif,164.152,6233.651,2256,29952
11,B11_01_1_2_Chlorophyll_plate_19.tif,297.036,7887.789,2240,47808
12,B11_01_1_2_Chlorophyll_plate_19.tif,26.056,2427.200,2288,2688
13,B11_01_1_2_Chlorophyll_plate_19.tif,187.602,5822.889,2240,36704
14,B11_01_1_2_Chlorophyll_plate_19.tif,138.096,5687.245,2240,29808
15,B11_01_1_2_Chlorophyll_plate_19.tif,234.502,7141.867,2240,48000
16,B11_01_1_2_Chlorophyll_plate_19.tif,208.447,6647.200,2240,37760
17,B11_01_1_2_Chlorophyll_plate_19.tif,161.546,6074.839,2240,37824
18,B11_01_1_2_Chlorophyll_plate_19.tif,284.008,6105.982,2272,48752
19,B11_01_1_2_Chlorophyll_plate_19.tif,234.502,6352.356,2240,36304
20,B11_01_1_2_Chlorophyll_plate_19.tif,39.084,2538.667,2256,3280
21,B11_01_1_2_Chlorophyll_plate_19.tif,179.785,7052.754,2240,37120
22,B11_01_1_2_Chlorophyll_plate_19.tif,177.180,6182.353,2240,33120
23,B11_01_1_2_Chlorophyll_plate_19.tif,192.813,4917.189,2240,27456
24,B11_01_1_2_Chlorophyll_plate_19.tif,205.841,6342.076,2240,36416
25,B11_01_1_2_Chlorophyll_plate_19.tif,190.208,6726.575,2240,43872
26,B11_01_1_2_Chlorophyll_plate_19.tif,151.124,6256.828,2240,31104
27,B11_01_1_2_Chlorophyll_plate_19.tif,177.180,5240.706,2272,34448
28,B11_01_1_2_Chlorophyll_plate_19.tif,192.813,6426.595,2256,46976
29,B11_01_1_2_Chlorophyll_plate_19.tif,179.785,6498.551,2240,44880
30,B11_01_1_2_Chlorophyll_plate_19.tif,226.686,6924.690,2240,52928
31,B11_01_1_2_Chlorophyll_plate_19.tif,33.873,2439.385,2240,3072
32,B11_01_1_2_Chlorophyll_plate_19.tif,208.447,6275.400,2240,37824
33,B11_01_1_2_Chlorophyll_plate_19.tif,200.630,5584.208,2240,32528
34,B11_01_1_2_Chlorophyll_plate_19.tif,281.403,6721.037,2240,48064
35,B11_01_1_2_Chlorophyll_plate_19.tif,57.323,2747.636,2272,3872
36,B11_01_1_2_Chlorophyll_plate_19.tif,523.722,6789.333,2240,35584
37,B11_01_1_2_Chlorophyll_plate_19.tif,28.661,2315.636,2240,2656
38,B11_01_1_2_Chlorophyll_plate_19.tif,156.335,6154.667,2272,32928
39,B11_01_1_2_Chlorophyll_plate_19.tif,80.773,3740.903,2272,7120
40,B11_01_1_2_Chlorophyll_plate_19.tif,182.391,5986.971,2288,28304
41,B11_01_1_2_Chlorophyll_plate_19.tif,195.419,5984.427,2240,41568
42,B11_01_1_2_Chlorophyll_plate_19.tif,203.235,6455.179,2240,40400
43,B11_01_1_2_Chlorophyll_plate_19.tif,39.084,2362.667,2256,2576
44,B11_01_1_2_Chlorophyll_plate_19.tif,255.347,7413.388,2256,42032
45,B11_01_1_2_Chlorophyll_plate_19.tif,161.546,6539.613,2240,33920
