 ,Label,Area,Mean,Min,Max
1,C11_01_1_2_Chlorophyll_plate_19.tif,54.717,23444.571,12624,37216
2,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,22902.857,13744,34480
3,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,27842.909,12848,51696
4,C11_01_1_2_Chlorophyll_plate_19.tif,49.506,25493.895,12768,39584
5,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,25457.333,13232,37968
6,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,24937.600,14480,39440
7,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,25633.455,12688,41392
8,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,21277.714,13984,31392
9,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,26196.364,12688,45200
10,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,23517.714,14192,34752
11,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,20434.667,12672,32128
12,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,27860.364,13232,42752
13,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,29678.400,13280,47664
14,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,20414.400,13040,28320
15,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,24022.400,13040,41728
16,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,25218.286,14112,41712
17,C11_01_1_2_Chlorophyll_plate_19.tif,44.295,25194.353,12992,38416
18,C11_01_1_2_Chlorophyll_plate_19.tif,46.900,26821.333,13280,43968
19,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,21627.200,13008,34512
20,C11_01_1_2_Chlorophyll_plate_19.tif,54.717,28645.333,13088,45552
21,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,20782.857,12896,31184
22,C11_01_1_2_Chlorophyll_plate_19.tif,46.900,25883.556,12624,42288
23,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,23659.636,12848,39696
24,C11_01_1_2_Chlorophyll_plate_19.tif,44.295,27794.824,14832,43696
25,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,23344.000,12704,35264
26,C11_01_1_2_Chlorophyll_plate_19.tif,52.112,26048.000,13248,40848
27,C11_01_1_2_Chlorophyll_plate_19.tif,39.084,28289.067,13072,51136
28,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,21984.000,12816,32928
29,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,22366.400,13088,33008
30,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,22264.000,14336,31824
31,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,20339.692,12704,29664
32,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,31688.727,14336,54016
33,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,22212.364,14400,32064
34,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,25065.333,13488,40848
35,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,23684.923,12720,40192
36,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,22732.000,13648,34992
37,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,20353.455,12704,28912
38,C11_01_1_2_Chlorophyll_plate_19.tif,41.689,21698.000,14304,29536
39,C11_01_1_2_Chlorophyll_plate_19.tif,39.084,30402.133,17552,45792
40,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,28584.000,16816,41376
41,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,22227.200,12640,32656
42,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,28565.818,15136,44016
43,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,23214.857,14480,33184
44,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,28129.333,12720,52288
45,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,24638.545,13456,38304
46,C11_01_1_2_Chlorophyll_plate_19.tif,80.773,25023.484,13296,47088
47,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,27246.545,15216,42944
48,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,23155.429,12944,35600
49,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,24073.333,12672,34944
50,C11_01_1_2_Chlorophyll_plate_19.tif,59.928,25295.304,12800,46592
51,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,23477.818,12656,36016
52,C11_01_1_2_Chlorophyll_plate_19.tif,49.506,27683.368,13440,46288
53,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,27024.000,13664,46000
54,C11_01_1_2_Chlorophyll_plate_19.tif,41.689,28292.000,12944,46080
55,C11_01_1_2_Chlorophyll_plate_19.tif,46.900,27728.889,12784,45600
56,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,19158.400,12752,28800
57,C11_01_1_2_Chlorophyll_plate_19.tif,41.689,26113.000,13056,44400
58,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,27523.692,12864,51312
59,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,22204.000,14528,32512
60,C11_01_1_2_Chlorophyll_plate_19.tif,41.689,26364.000,14240,44960
61,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,20694.400,12880,30240
62,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,22859.200,15536,34096
63,C11_01_1_2_Chlorophyll_plate_19.tif,41.689,32379.000,14496,55040
64,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,22986.667,14064,36640
65,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,29704.000,14640,55472
66,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,23912.615,13024,37024
67,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,22891.636,12624,35600
68,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,24956.308,12800,39424
69,C11_01_1_2_Chlorophyll_plate_19.tif,44.295,29247.059,12768,47248
70,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,21719.273,13184,31248
71,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,23716.364,14784,35120
72,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,24144.000,13392,39264
73,C11_01_1_2_Chlorophyll_plate_19.tif,36.478,25710.857,14112,42592
74,C11_01_1_2_Chlorophyll_plate_19.tif,39.084,26846.933,12736,41648
75,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,25697.455,12912,44000
76,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,20278.400,12832,26192
77,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,23076.800,15296,38320
78,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,18572.800,14112,25328
79,C11_01_1_2_Chlorophyll_plate_19.tif,33.873,21566.769,14400,28960
80,C11_01_1_2_Chlorophyll_plate_19.tif,52.112,23572.000,13904,39344
81,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,27227.200,13120,42640
82,C11_01_1_2_Chlorophyll_plate_19.tif,44.295,22032.941,12656,34160
83,C11_01_1_2_Chlorophyll_plate_19.tif,28.661,28573.091,13392,50064
84,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,22112.000,12944,33184
85,C11_01_1_2_Chlorophyll_plate_19.tif,31.267,22257.333,13504,36768
86,C11_01_1_2_Chlorophyll_plate_19.tif,26.056,23054.400,13312,35632
