 ,Label,Area,Mean,Min,Max
1,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,31938.462,16272,54736
2,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,27629.091,15232,47936
3,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,28036.000,18096,44688
4,D3_01_1_2_Chlorophyll_plate_19.tif,46.900,42720.000,15216,65520
5,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,26648.615,15424,43696
6,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,28504.000,16656,45040
7,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,28283.636,15888,46512
8,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,26336.000,18160,40656
9,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,29643.636,16496,45760
10,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,34386.462,15392,61088
11,D3_01_1_2_Chlorophyll_plate_19.tif,49.506,42383.158,15744,65520
12,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,29809.455,15392,49632
13,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,34952.000,20496,56368
14,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,28205.538,15968,51792
15,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,30361.846,15248,49520
16,D3_01_1_2_Chlorophyll_plate_19.tif,59.928,38403.478,18592,63152
17,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,26601.333,15408,45056
18,D3_01_1_2_Chlorophyll_plate_19.tif,57.323,30087.273,17008,54608
19,D3_01_1_2_Chlorophyll_plate_19.tif,54.717,35587.048,15408,59632
20,D3_01_1_2_Chlorophyll_plate_19.tif,65.140,30826.240,15280,56032
21,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,36830.857,17888,64688
22,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,30452.800,15440,46688
23,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,37787.429,16000,64128
24,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,34836.571,15264,61440
25,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,21451.636,16896,29008
26,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,33489.000,16416,61200
27,D3_01_1_2_Chlorophyll_plate_19.tif,54.717,32092.952,15968,56784
28,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,29686.154,15680,44832
29,D3_01_1_2_Chlorophyll_plate_19.tif,49.506,24987.789,15152,44528
30,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,34252.800,15360,57680
31,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,35110.400,18128,57632
32,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,27617.600,15152,46432
33,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,27502.545,15424,43008
34,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,23020.800,16112,38512
35,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,36323.692,17888,57136
36,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,30364.800,17200,50240
37,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,29051.733,16080,51968
38,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,29696.000,17728,46720
39,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,38057.846,16512,65520
40,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,36809.333,15840,65520
41,D3_01_1_2_Chlorophyll_plate_19.tif,49.506,24650.947,15296,39584
42,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,25670.400,15168,40352
43,D3_01_1_2_Chlorophyll_plate_19.tif,44.295,27690.353,16336,50080
44,D3_01_1_2_Chlorophyll_plate_19.tif,59.928,31278.609,15248,58704
45,D3_01_1_2_Chlorophyll_plate_19.tif,88.590,34395.294,15152,65520
46,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,29684.000,15760,44016
47,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,33130.182,17232,53760
48,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,39124.571,16944,65520
49,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,41192.615,20624,64096
50,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,26915.692,15440,39440
51,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,28902.154,15728,50480
52,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,19062.857,15456,25200
53,D3_01_1_2_Chlorophyll_plate_19.tif,83.379,38856.000,16048,65520
54,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,24221.333,16208,36912
55,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,25331.200,15856,40528
56,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,26216.000,15632,41184
57,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,25657.333,15392,44704
58,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,40842.286,20688,65520
59,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,39938.000,18000,65136
60,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,36870.400,15728,65520
61,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,27346.909,16448,42912
62,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,26430.400,16160,41840
63,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,35509.818,15216,59424
64,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,22856.533,16752,31840
65,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,26897.455,15824,40192
66,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,26764.000,16064,38384
67,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,36605.000,17472,58576
68,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,33896.000,15248,62416
69,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,33480.727,19152,55632
70,D3_01_1_2_Chlorophyll_plate_19.tif,44.295,42144.941,15440,65520
71,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,38553.000,16000,65520
72,D3_01_1_2_Chlorophyll_plate_19.tif,44.295,36240.000,17936,64560
73,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,24163.692,15312,42528
74,D3_01_1_2_Chlorophyll_plate_19.tif,36.478,32064.000,15488,54064
75,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,29851.200,15472,48832
76,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,30632.727,15968,47968
77,D3_01_1_2_Chlorophyll_plate_19.tif,31.267,31552.000,16384,47120
78,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,42871.000,17712,65520
79,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,38609.231,15712,65520
80,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,29220.800,17984,47840
81,D3_01_1_2_Chlorophyll_plate_19.tif,28.661,29710.545,17744,45728
82,D3_01_1_2_Chlorophyll_plate_19.tif,41.689,28002.000,15296,46752
83,D3_01_1_2_Chlorophyll_plate_19.tif,39.084,30785.067,16480,48368
84,D3_01_1_2_Chlorophyll_plate_19.tif,33.873,32888.615,18432,52032
85,D3_01_1_2_Chlorophyll_plate_19.tif,26.056,29203.200,16064,47808
86,D3_01_1_2_Chlorophyll_plate_19.tif,70.351,36717.630,16736,65520
