 ,Label,Area,Mean,Min,Max
1,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2292.364,2144,2528
2,E11_01_1_2_Chlorophyll_plate_19.tif,46.900,2324.444,2144,2640
3,E11_01_1_2_Chlorophyll_plate_19.tif,221.474,5036.988,2144,30304
4,E11_01_1_2_Chlorophyll_plate_19.tif,278.797,5193.121,2144,43408
5,E11_01_1_2_Chlorophyll_plate_19.tif,198.024,5295.158,2144,34752
6,E11_01_1_2_Chlorophyll_plate_19.tif,242.319,4270.452,2144,23472
7,E11_01_1_2_Chlorophyll_plate_19.tif,224.080,5207.442,2144,38224
8,E11_01_1_2_Chlorophyll_plate_19.tif,284.008,6551.193,2144,52192
9,E11_01_1_2_Chlorophyll_plate_19.tif,46.900,2584.000,2192,3344
10,E11_01_1_2_Chlorophyll_plate_19.tif,26.056,2212.800,2144,2352
11,E11_01_1_2_Chlorophyll_plate_19.tif,211.052,5011.556,2144,23344
12,E11_01_1_2_Chlorophyll_plate_19.tif,26.056,2278.400,2144,2576
13,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2296.727,2144,2752
14,E11_01_1_2_Chlorophyll_plate_19.tif,312.670,6065.867,2144,42528
15,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2270.545,2144,2400
16,E11_01_1_2_Chlorophyll_plate_19.tif,190.208,4932.603,2160,32576
17,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2257.455,2144,2416
18,E11_01_1_2_Chlorophyll_plate_19.tif,31.267,2233.333,2144,2368
19,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2352.000,2144,2592
20,E11_01_1_2_Chlorophyll_plate_19.tif,192.813,4734.919,2192,23168
21,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2218.182,2144,2512
22,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2267.636,2144,2416
23,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2224.000,2144,2464
24,E11_01_1_2_Chlorophyll_plate_19.tif,218.869,6584.952,2144,45104
25,E11_01_1_2_Chlorophyll_plate_19.tif,239.714,4973.739,2144,29648
26,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2295.273,2144,2640
27,E11_01_1_2_Chlorophyll_plate_19.tif,26.056,2217.600,2144,2416
28,E11_01_1_2_Chlorophyll_plate_19.tif,234.502,7389.867,2144,49568
29,E11_01_1_2_Chlorophyll_plate_19.tif,218.869,4685.143,2144,32736
30,E11_01_1_2_Chlorophyll_plate_19.tif,255.347,7075.429,2176,42800
31,E11_01_1_2_Chlorophyll_plate_19.tif,148.518,5630.596,2144,31712
32,E11_01_1_2_Chlorophyll_plate_19.tif,26.056,2304.000,2160,2416
33,E11_01_1_2_Chlorophyll_plate_19.tif,317.881,7347.803,2144,42144
34,E11_01_1_2_Chlorophyll_plate_19.tif,218.869,5986.286,2144,43504
35,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2272.000,2144,2528
36,E11_01_1_2_Chlorophyll_plate_19.tif,216.263,5533.301,2144,36832
37,E11_01_1_2_Chlorophyll_plate_19.tif,26.056,2251.200,2144,2432
38,E11_01_1_2_Chlorophyll_plate_19.tif,281.403,7076.296,2144,60288
39,E11_01_1_2_Chlorophyll_plate_19.tif,187.602,5192.667,2160,30640
40,E11_01_1_2_Chlorophyll_plate_19.tif,218.869,5550.667,2144,34000
41,E11_01_1_2_Chlorophyll_plate_19.tif,200.630,5360.000,2144,36080
42,E11_01_1_2_Chlorophyll_plate_19.tif,156.335,6201.600,2144,32304
43,E11_01_1_2_Chlorophyll_plate_19.tif,140.701,5716.444,2192,24688
44,E11_01_1_2_Chlorophyll_plate_19.tif,250.136,6663.500,2144,38704
45,E11_01_1_2_Chlorophyll_plate_19.tif,362.176,6079.424,2144,39392
46,E11_01_1_2_Chlorophyll_plate_19.tif,161.546,5375.742,2144,30672
47,E11_01_1_2_Chlorophyll_plate_19.tif,125.068,5259.000,2144,27344
48,E11_01_1_2_Chlorophyll_plate_19.tif,125.068,5773.000,2224,24272
49,E11_01_1_2_Chlorophyll_plate_19.tif,213.658,5102.049,2144,34736
50,E11_01_1_2_Chlorophyll_plate_19.tif,234.502,7883.556,2144,48416
51,E11_01_1_2_Chlorophyll_plate_19.tif,255.347,7331.918,2160,38304
52,E11_01_1_2_Chlorophyll_plate_19.tif,385.626,6017.622,2144,52800
53,E11_01_1_2_Chlorophyll_plate_19.tif,28.661,2459.636,2160,3152
54,E11_01_1_2_Chlorophyll_plate_19.tif,216.263,4819.277,2144,39728
55,E11_01_1_2_Chlorophyll_plate_19.tif,237.108,6525.890,2144,42528
56,E11_01_1_2_Chlorophyll_plate_19.tif,169.363,6161.477,2144,33472
57,E11_01_1_2_Chlorophyll_plate_19.tif,203.235,5828.718,2144,36272
58,E11_01_1_2_Chlorophyll_plate_19.tif,195.419,6524.373,2160,45472
59,E11_01_1_2_Chlorophyll_plate_19.tif,208.447,6777.800,2144,31168
60,E11_01_1_2_Chlorophyll_plate_19.tif,156.335,6162.400,2144,33072
61,E11_01_1_2_Chlorophyll_plate_19.tif,161.546,6500.645,2144,44816
62,E11_01_1_2_Chlorophyll_plate_19.tif,192.813,6494.703,2160,37232
63,E11_01_1_2_Chlorophyll_plate_19.tif,166.757,8308.750,2176,38736
64,E11_01_1_2_Chlorophyll_plate_19.tif,211.052,7601.580,2160,48016
65,E11_01_1_2_Chlorophyll_plate_19.tif,200.630,6214.442,2160,34736
66,E11_01_1_2_Chlorophyll_plate_19.tif,242.319,6201.806,2160,40544
67,E11_01_1_2_Chlorophyll_plate_19.tif,166.757,5650.500,2144,27456
68,E11_01_1_2_Chlorophyll_plate_19.tif,234.502,6275.556,2144,42752
69,E11_01_1_2_Chlorophyll_plate_19.tif,276.192,6538.868,2144,58048
70,E11_01_1_2_Chlorophyll_plate_19.tif,140.701,6991.111,2144,35568
71,E11_01_1_2_Chlorophyll_plate_19.tif,119.857,5925.565,2144,23264
72,E11_01_1_2_Chlorophyll_plate_19.tif,156.335,5687.467,2144,39104
73,E11_01_1_2_Chlorophyll_plate_19.tif,195.419,7494.187,2144,58704
74,E11_01_1_2_Chlorophyll_plate_19.tif,281.403,7086.815,2144,51968
75,E11_01_1_2_Chlorophyll_plate_19.tif,250.136,6708.333,2144,50656
76,E11_01_1_2_Chlorophyll_plate_19.tif,169.363,5797.415,2144,34032
77,E11_01_1_2_Chlorophyll_plate_19.tif,289.220,7463.063,2144,47904
78,E11_01_1_2_Chlorophyll_plate_19.tif,487.244,6539.893,2144,46144
79,E11_01_1_2_Chlorophyll_plate_19.tif,224.080,8046.326,2144,47072
80,E11_01_1_2_Chlorophyll_plate_19.tif,112.040,7881.302,2176,45280
81,E11_01_1_2_Chlorophyll_plate_19.tif,330.909,8107.465,2144,44976
82,E11_01_1_2_Chlorophyll_plate_19.tif,205.841,6774.886,2160,36640
83,E11_01_1_2_Chlorophyll_plate_19.tif,192.813,8705.081,2160,48528
84,E11_01_1_2_Chlorophyll_plate_19.tif,237.108,10133.275,2144,56496
85,E11_01_1_2_Chlorophyll_plate_19.tif,164.152,6651.937,2144,39584
86,E11_01_1_2_Chlorophyll_plate_19.tif,125.068,5567.667,2160,23600
87,E11_01_1_2_Chlorophyll_plate_19.tif,239.714,6395.478,2160,31200
