 ,Label,Area,Mean,Min,Max
1,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,31544.000,19184,50848
2,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,27664.000,15440,42336
3,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,24946.462,14688,36032
4,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,22516.000,14480,34208
5,F5_01_1_1_Chlorophyll_plate_19.tif,72.956,31834.286,16384,55648
6,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,27113.333,15520,49712
7,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,25938.286,16848,35456
8,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,22317.091,14912,32928
9,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,26596.000,16224,42848
10,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,27621.000,13936,41776
11,F5_01_1_1_Chlorophyll_plate_19.tif,46.900,28824.889,15024,44400
12,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,34768.000,16080,62080
13,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,24570.182,15184,35280
14,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,25026.133,16208,33360
15,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,25916.800,14448,45632
16,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,24670.933,14672,38464
17,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,29166.769,17632,43952
18,F5_01_1_1_Chlorophyll_plate_19.tif,49.506,34654.316,15696,59760
19,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,26027.200,13904,42304
20,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,27225.143,15776,42704
21,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,23067.636,15744,34464
22,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,27150.400,14832,47424
23,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,27932.571,13984,45312
24,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,24185.600,15312,34896
25,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,29117.091,14976,47760
26,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,22920.000,13984,33568
27,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,27276.800,15536,43184
28,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,20578.667,13888,30368
29,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,27949.538,18112,41392
30,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,29280.000,17296,43664
31,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,26963.200,14544,43456
32,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,30603.636,15952,51840
33,F5_01_1_1_Chlorophyll_plate_19.tif,59.928,23880.348,13936,33456
34,F5_01_1_1_Chlorophyll_plate_19.tif,54.717,25568.000,14528,40160
35,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,25257.600,16016,43360
36,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,20875.200,14176,33536
37,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,33782.857,18016,54912
38,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,30587.200,14112,47488
39,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,24675.000,14480,38352
40,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,21755.733,14000,33600
41,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,23981.091,14384,40608
42,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,23949.333,16592,30768
43,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,25753.000,14944,36160
44,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,23776.000,16336,34480
45,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,32451.000,14544,52576
46,F5_01_1_1_Chlorophyll_plate_19.tif,49.506,28577.684,14880,49152
47,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,23735.385,15024,35520
48,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,27817.600,14160,47648
49,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,28016.000,14096,42768
50,F5_01_1_1_Chlorophyll_plate_19.tif,44.295,32260.706,14848,60048
51,F5_01_1_1_Chlorophyll_plate_19.tif,80.773,28883.097,14176,47712
52,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,27669.818,14752,42976
53,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,21896.000,14048,34736
54,F5_01_1_1_Chlorophyll_plate_19.tif,44.295,24907.294,14608,38144
55,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,25336.727,14832,42016
56,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,27082.286,14240,41392
57,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,23139.200,14784,36464
58,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,29308.800,15728,43392
59,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,29055.000,14112,46976
60,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,29550.857,14704,48624
61,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,26417.000,16320,38544
62,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,24747.077,13984,37296
63,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,26430.667,15040,37936
64,F5_01_1_1_Chlorophyll_plate_19.tif,52.112,28123.200,15152,47504
65,F5_01_1_1_Chlorophyll_plate_19.tif,101.618,31902.769,14304,59280
66,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,25437.333,14976,38672
67,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,28079.000,14368,45760
68,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,24544.000,14288,36400
69,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,24171.200,15216,36736
70,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,27470.000,14576,41184
71,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,21048.000,14160,32384
72,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,30499.200,14528,50176
73,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,24603.000,15088,35952
74,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,26077.714,14160,39584
75,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,27771.200,15104,47776
76,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,28868.000,17520,45072
77,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,24668.000,15040,39008
78,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,27302.400,14000,43232
79,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,27153.231,14912,44576
80,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,24811.200,16064,34832
81,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,28254.667,14096,50304
82,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,27442.667,16496,43536
83,F5_01_1_1_Chlorophyll_plate_19.tif,67.745,30068.308,14224,53984
84,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,26934.400,17200,39696
85,F5_01_1_1_Chlorophyll_plate_19.tif,49.506,27033.263,14368,41072
86,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,27467.000,15040,42736
87,F5_01_1_1_Chlorophyll_plate_19.tif,54.717,28007.619,15072,43264
88,F5_01_1_1_Chlorophyll_plate_19.tif,46.900,33002.667,14592,51680
89,F5_01_1_1_Chlorophyll_plate_19.tif,57.323,28169.455,15728,40272
90,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,26395.077,15040,37792
91,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,29089.067,13904,47136
92,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,26751.000,14352,42608
93,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,26292.800,14880,40336
94,F5_01_1_1_Chlorophyll_plate_19.tif,39.084,26699.733,15360,39904
95,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,31487.000,14528,51920
96,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,25884.800,16848,43376
97,F5_01_1_1_Chlorophyll_plate_19.tif,52.112,25367.200,14672,38000
98,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,24075.636,14896,37808
99,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,24776.000,14032,39008
100,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,35958.000,16368,57936
101,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,38977.231,21440,65520
102,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,23321.600,15712,31712
103,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,26604.000,15456,41040
104,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,25726.769,16544,40848
105,F5_01_1_1_Chlorophyll_plate_19.tif,54.717,41412.571,14816,65520
106,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,23685.818,14992,35152
107,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,26984.000,14496,38768
108,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,26196.571,15136,41280
109,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,30147.000,16496,49728
110,F5_01_1_1_Chlorophyll_plate_19.tif,54.717,32600.381,14576,49856
111,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,24336.000,14640,35840
112,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,25988.571,17584,37056
113,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,23724.571,15888,33696
114,F5_01_1_1_Chlorophyll_plate_19.tif,26.056,28033.600,15728,42192
115,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,30792.727,14336,57520
116,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,36789.818,15552,65520
117,F5_01_1_1_Chlorophyll_plate_19.tif,31.267,22593.333,14208,35616
118,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,32480.000,16656,55648
119,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,25495.385,16384,36240
120,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,24256.000,15472,36384
121,F5_01_1_1_Chlorophyll_plate_19.tif,49.506,35445.053,16832,59840
122,F5_01_1_1_Chlorophyll_plate_19.tif,41.689,27532.000,16416,39776
123,F5_01_1_1_Chlorophyll_plate_19.tif,67.745,26374.154,14048,42784
124,F5_01_1_1_Chlorophyll_plate_19.tif,33.873,25411.692,15136,38064
125,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,31787.429,14896,49696
126,F5_01_1_1_Chlorophyll_plate_19.tif,44.295,30179.765,17104,46176
127,F5_01_1_1_Chlorophyll_plate_19.tif,28.661,24759.273,14960,40992
128,F5_01_1_1_Chlorophyll_plate_19.tif,36.478,23833.143,15088,32096
