 ,Label,Area,Mean,Min,Max
1,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,34548.923,17120,60784
2,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,26714.667,15088,36688
3,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,30238.857,14224,51344
4,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,26026.286,14944,38576
5,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,29059.429,14240,47936
6,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,23678.545,14208,37168
7,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,27984.000,14272,38992
8,G3_01_1_2_Chlorophyll_plate_19.tif,52.112,24111.200,14912,38976
9,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,26758.400,15792,44768
10,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,24014.769,16048,37856
11,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,30425.143,14528,50048
12,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,28325.818,14976,40576
13,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,25019.636,13984,41760
14,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,30617.600,16176,54080
15,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,23721.600,15072,35248
16,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,26610.133,15152,41920
17,G3_01_1_2_Chlorophyll_plate_19.tif,44.295,32373.647,14240,52240
18,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,29881.600,14176,46896
19,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,24425.600,14752,34960
20,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,27329.333,16672,41008
21,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,20484.800,14624,29184
22,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,32012.000,15280,56640
23,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,21619.200,14256,35120
24,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,27936.000,15184,39760
25,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,27428.364,14464,46752
26,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,23665.455,15392,39408
27,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,29746.286,14752,43568
28,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,31873.455,15648,50144
29,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,32182.400,15344,58512
30,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,26506.667,14160,44704
31,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,23752.000,14192,33360
32,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,30189.867,14848,50848
33,G3_01_1_2_Chlorophyll_plate_19.tif,44.295,31061.647,16720,52368
34,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,24923.636,16192,33728
35,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,26949.333,14528,43040
36,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,29958.154,18384,47088
37,G3_01_1_2_Chlorophyll_plate_19.tif,44.295,29296.941,15424,43984
38,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,19786.667,14544,30288
39,G3_01_1_2_Chlorophyll_plate_19.tif,52.112,30984.000,14144,53360
40,G3_01_1_2_Chlorophyll_plate_19.tif,41.689,37358.000,16272,62576
41,G3_01_1_2_Chlorophyll_plate_19.tif,52.112,28237.600,14832,44832
42,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,32075.733,14128,46512
43,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,23525.333,15168,36720
44,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,33545.600,15888,56944
45,G3_01_1_2_Chlorophyll_plate_19.tif,54.717,36772.571,17712,65520
46,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,32371.692,15552,52112
47,G3_01_1_2_Chlorophyll_plate_19.tif,41.689,35873.000,15552,54288
48,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,31877.714,14592,48048
49,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,22099.200,14112,34208
50,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,27510.667,14384,48912
51,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,23131.200,14176,37552
52,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,31092.364,14352,49088
53,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,25820.800,14048,40464
54,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,29349.818,16464,49056
55,G3_01_1_2_Chlorophyll_plate_19.tif,93.801,32640.444,14512,65520
56,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,28707.692,14160,53456
57,G3_01_1_2_Chlorophyll_plate_19.tif,44.295,32610.824,14256,50464
58,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,19988.800,14368,30128
59,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,27963.200,14912,50464
60,G3_01_1_2_Chlorophyll_plate_19.tif,44.295,28872.471,16352,46560
61,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,32876.571,14560,53664
62,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,23062.667,15040,33088
63,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,27578.667,16720,41344
64,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,27310.400,16944,40320
65,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,29264.000,14352,48688
66,G3_01_1_2_Chlorophyll_plate_19.tif,39.084,26697.600,14048,41184
67,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,29236.000,15280,44752
68,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,26268.000,17408,37728
69,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,29931.636,15072,49200
70,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,25989.818,15184,39056
71,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,26489.846,16144,39504
72,G3_01_1_2_Chlorophyll_plate_19.tif,33.873,33296.000,18848,59408
73,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,28739.429,15296,42368
74,G3_01_1_2_Chlorophyll_plate_19.tif,36.478,27418.286,16816,41632
75,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,25026.909,14320,45024
76,G3_01_1_2_Chlorophyll_plate_19.tif,49.506,24258.526,14144,36592
77,G3_01_1_2_Chlorophyll_plate_19.tif,28.661,29992.727,14688,55168
78,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,24036.800,14512,38112
79,G3_01_1_2_Chlorophyll_plate_19.tif,26.056,25067.200,16528,35808
80,G3_01_1_2_Chlorophyll_plate_19.tif,70.351,29423.407,14832,49216
81,G3_01_1_2_Chlorophyll_plate_19.tif,41.689,30546.000,15408,43856
82,G3_01_1_2_Chlorophyll_plate_19.tif,31.267,25309.333,15568,37776
83,G3_01_1_2_Chlorophyll_plate_19.tif,41.689,28345.000,14048,44816
84,G3_01_1_2_Chlorophyll_plate_19.tif,65.140,29056.000,15344,43408
