 ,Area
1,106.848
2,162.143
3,167.547
4,91.049
5,107.264
6,119.320
7,117.657
8,141.355
9,107.679
10,188.751
11,129.714
12,154.243
13,130.546
14,137.198
15,138.445
16,123.062
17,125.141
18,139.276
19,112.253
20,134.703
21,151.749
22,131.377
23,121.815
24,120.152
25,97.701
26,140.939
27,108.095
28,161.727
29,135.535
30,103.106
31,137.198
32,117.242
33,115.994
34,157.154
35,149.670
36,120.568
37,132.209
38,149.254
39,111.421
40,162.143
41,93.544
42,96.454
43,143.434
44,121.815
45,143.018
46,126.804
47,114.331
48,86.476
49,120.983
50,113.916
51,126.804
52,101.859
53,128.467
54,180.851
55,123.894
56,231.573
57,124.725
58,87.723
59,158.401
60,88.555
61,130.961
62,114.747
63,104.353
64,134.287
65,212.448
66,131.377
67,133.040
68,134.703
69,99.780
70,95.207
71,179.188
72,170.042
73,135.535
74,92.712
75,86.476
76,152.165
77,111.005
78,137.613
79,108.095
80,269.822
81,155.075
82,140.524
83,97.701
84,184.177
85,133.872
86,102.275
87,80.240
88,103.938
89,135.535
90,182.099
91,114.747
92,181.683
93,109.342
94,125.972
95,138.029
96,131.793
97,188.751
98,130.546
99,74.004
100,71.925
101,123.894
102,121.815
103,184.593
104,188.335
105,102.275
106,190.414
107,168.795
108,100.612
109,128.883
110,98.117
111,134.287
112,162.558
113,145.928
114,125.141
115,146.344
116,266.912
117,133.456
118,102.690
119,170.873
120,249.034
121,75.667
122,134.287
123,124.309
124,121.815
