 ,Area
1,103.106
2,123.062
3,165.053
4,113.084
5,135.535
6,214.111
7,128.467
8,125.141
9,127.220
10,115.994
11,108.511
12,114.747
13,95.207
14,105.185
15,130.546
16,128.051
17,130.961
18,132.624
19,82.319
20,120.152
21,210.785
22,106.016
23,98.117
24,99.364
25,134.703
26,138.861
27,134.287
28,155.075
29,148.423
30,157.985
31,179.188
32,139.276
33,151.749
34,219.516
35,133.456
36,115.163
37,131.793
38,147.176
39,140.108
40,120.568
41,130.961
42,99.780
43,94.791
44,175.031
45,115.994
46,103.522
47,148.007
48,145.513
49,77.745
50,187.503
51,113.084
52,111.837
53,151.333
54,129.298
55,101.859
56,133.456
57,91.465
58,138.029
59,100.196
60,230.326
61,140.524
62,119.320
63,135.535
64,95.623
65,119.736
66,121.815
67,114.331
68,133.456
69,242.382
70,101.859
71,142.187
72,146.760
73,91.881
74,106.432
75,210.785
76,113.500
77,106.432
78,135.950
79,157.154
80,141.771
81,102.275
82,88.555
83,143.434
84,176.278
85,117.657
86,118.905
87,113.084
88,102.690
89,114.747
90,189.998
91,135.950
92,189.166
93,106.016
94,152.996
95,190.829
96,125.141
97,173.784
98,116.826
99,142.602
100,131.377
101,137.613
102,111.837
103,92.297
104,157.154
105,122.646
106,98.117
107,120.568
108,160.895
109,130.130
110,149.254
111,139.276
112,175.447
113,175.447
114,153.412
115,120.152
116,91.881
117,124.725
118,134.287
119,110.174
120,115.163
121,97.286
122,117.242
123,160.480
124,183.762
125,176.278
126,129.298
127,131.377
128,88.555
129,131.793
130,88.971
131,124.309
132,217.853
133,119.736
134,129.298
135,93.128
136,109.342
137,144.265
138,118.489
139,100.612
140,148.423
141,114.331
142,115.579
143,178.773
144,100.612
145,182.930
146,116.410
147,158.401
148,172.536
149,93.960
150,141.355
151,104.769
152,151.333
153,108.927
154,102.690
155,94.375
156,88.139
157,123.062
158,93.544
