 ,Area
1,93.544
2,158.401
3,102.690
4,196.234
5,105.601
6,63.610
7,318.880
8,121.815
9,233.652
10,101.027
11,188.335
12,140.939
13,102.690
14,68.183
15,291.025
16,100.196
17,242.798
18,100.612
19,89.386
20,161.727
21,146.344
22,191.661
23,211.201
24,132.209
25,138.029
26,142.602
27,207.875
28,74.419
29,122.646
30,155.491
31,64.441
32,92.712
33,84.397
34,111.421
35,227.831
36,145.928
37,229.494
38,125.972
39,141.355
40,126.388
41,143.850
42,67.767
43,94.791
44,73.588
45,71.925
46,239.056
47,103.106
48,208.707
49,211.201
50,160.480
51,127.220
52,116.826
53,174.615
