 ,Area
1,87.723
2,117.657
3,122.231
4,91.465
5,107.679
6,88.139
7,89.802
8,269.406
9,77.745
10,111.421
11,82.734
12,93.544
13,107.679
14,107.679
15,117.242
16,81.487
17,93.544
18,101.443
19,98.117
20,88.555
21,115.163
22,106.016
23,106.848
24,98.117
25,94.791
26,148.007
27,88.555
28,97.701
29,87.308
30,126.804
31,83.150
32,93.960
33,133.040
34,96.870
35,95.207
36,89.386
37,118.905
38,117.657
39,64.441
40,93.544
41,98.949
42,113.500
43,80.656
44,74.835
45,70.262
46,74.004
47,60.700
48,91.881
49,98.949
50,103.938
51,71.925
52,121.815
53,81.071
54,99.780
55,85.645
56,85.645
57,130.130
58,78.577
59,70.678
60,110.590
61,88.555
62,73.588
63,107.264
64,110.174
65,92.297
66,66.936
67,72.756
68,81.487
69,103.106
70,87.723
71,63.610
72,128.051
73,92.297
74,81.071
75,96.454
76,91.049
77,67.352
78,81.071
79,109.342
80,78.161
81,114.747
82,100.612
83,105.601
84,103.106
85,86.476
86,119.320
87,103.938
88,72.756
89,128.467
90,93.544
91,116.826
92,139.276
93,115.994
94,87.308
95,111.837
96,97.701
97,144.265
98,120.152
99,107.264
100,88.555
101,91.465
102,101.027
103,89.386
104,100.612
105,114.747
106,88.555
107,194.155
108,97.701
109,78.993
110,97.286
111,106.848
112,91.881
113,106.432
114,98.949
115,88.139
116,65.273
117,145.097
118,120.568
119,89.802
120,111.005
121,89.802
122,79.824
123,115.579
124,122.646
125,106.432
126,114.331
127,96.038
128,77.330
129,120.152
130,99.780
131,70.262
132,109.758
133,103.522
134,110.590
135,133.040
136,138.445
137,123.062
138,71.925
139,104.769
140,71.509
141,99.364
142,164.637
143,95.207
144,97.701
145,89.802
146,94.791
147,88.139
