 ,Area
1,277.721
2,270.653
3,140.524
4,120.568
5,103.106
6,143.018
7,157.154
8,172.121
9,89.802
10,106.016
11,113.916
12,137.198
13,109.758
14,154.243
15,149.670
16,119.736
17,159.648
18,168.795
19,88.139
20,88.139
21,92.712
22,90.634
23,99.780
24,298.093
25,210.370
26,78.161
27,153.412
28,165.053
29,161.727
30,236.146
31,199.976
32,124.725
33,253.192
34,212.448
35,250.697
36,141.771
37,80.656
38,150.917
39,196.234
40,132.209
41,160.480
42,170.458
43,111.421
44,123.478
45,188.751
46,162.558
47,115.994
48,124.309
49,150.502
50,196.650
51,84.397
52,152.996
53,193.324
