 ,Area
1,224.921
2,184.593
3,220.763
4,182.099
5,168.795
6,160.895
7,165.469
8,236.562
9,199.560
10,187.088
11,270.653
12,171.289
13,164.637
14,253.608
15,388.726
16,162.974
17,336.758
18,210.370
19,246.956
20,145.513
21,224.505
22,176.278
23,222.426
24,143.434
25,146.760
26,204.965
27,157.154
28,175.862
29,138.029
30,153.828
31,165.469
32,138.029
33,193.740
34,445.268
35,150.502
36,155.491
37,163.806
38,209.122
39,142.602
40,216.190
41,155.906
42,432.796
43,195.818
44,122.231
45,176.694
46,291.441
47,217.437
48,354.635
49,148.007
50,229.494
51,164.221
52,149.254
53,362.118
54,229.494
55,155.491
56,172.121
57,191.245
58,189.998
59,150.502
60,149.254
61,139.692
62,412.840
63,171.705
64,151.333
65,189.998
66,125.972
67,350.477
68,156.322
69,174.615
70,208.291
71,228.663
72,266.912
73,341.747
74,222.842
75,238.225
76,184.593
77,331.353
78,125.557
79,376.670
80,287.699
81,216.606
82,180.436
83,281.463
84,220.348
85,212.033
86,226.168
87,286.036
88,196.650
89,224.505
90,370.018
91,211.201
92,238.225
93,257.349
94,270.653
95,247.371
96,334.679
97,436.538
98,150.086
99,142.602
100,236.978
101,281.463
102,388.311
103,183.346
104,160.895
