 ,Area
1,85.229
2,100.612
3,104.769
4,114.331
5,89.802
6,131.377
7,130.961
8,106.432
9,170.458
10,145.928
11,92.297
12,160.895
13,105.601
14,71.925
15,92.712
16,205.796
17,138.445
18,94.791
19,101.443
20,84.813
21,157.985
22,109.342
23,76.082
24,181.683
25,86.892
26,103.938
27,123.478
28,134.703
29,85.229
30,134.287
31,128.051
32,96.038
33,113.084
34,82.319
35,83.150
36,127.220
37,175.447
38,187.088
39,130.130
40,113.084
41,136.366
42,117.657
43,94.791
44,124.309
45,96.038
46,115.579
47,160.895
48,167.547
49,85.229
50,119.320
51,194.571
52,118.489
53,75.667
54,62.363
55,150.086
56,128.883
57,108.927
58,154.243
59,109.758
60,105.185
61,91.465
62,97.286
63,136.782
64,122.231
65,124.309
66,160.480
67,113.500
68,91.049
69,111.005
70,137.198
71,86.060
72,111.421
73,103.938
74,194.155
75,137.613
76,144.265
77,130.961
78,132.209
79,103.106
80,110.590
81,175.031
82,91.049
83,135.535
