 ,Area
1,102.690
2,71.509
3,87.308
4,81.071
5,192.077
6,147.591
7,99.780
8,115.994
9,157.154
10,121.399
11,112.668
12,76.914
13,133.456
14,173.368
15,86.060
16,78.161
17,153.828
18,95.207
19,93.960
20,125.141
21,111.421
22,172.536
23,127.635
24,135.950
25,170.042
26,123.478
27,186.256
28,92.297
29,149.254
30,100.196
31,103.106
32,91.881
33,130.130
34,121.399
35,180.020
36,134.287
37,116.410
38,141.771
39,118.905
40,100.612
41,106.016
42,177.110
43,135.119
44,133.456
45,262.754
46,78.993
47,105.185
48,76.498
49,99.364
50,75.251
51,122.231
52,127.635
53,110.590
54,173.368
55,116.410
56,96.454
57,61.947
58,185.840
59,87.723
60,96.454
