 ,Area
1,150.086
2,82.734
3,83.982
4,113.500
5,125.141
6,167.547
7,89.802
8,121.399
9,125.141
10,95.623
11,105.185
12,138.445
13,135.119
14,113.916
15,117.657
16,106.016
17,117.657
18,99.780
19,90.634
20,155.906
21,89.802
22,108.095
23,111.837
24,140.524
25,172.536
26,100.612
27,87.308
28,141.355
29,106.848
30,91.049
31,88.139
32,93.128
33,99.780
34,158.401
35,115.579
36,114.747
37,154.659
38,88.139
39,212.448
40,166.300
41,258.597
42,115.579
43,79.824
44,121.399
45,152.580
46,143.850
47,113.500
48,159.232
49,113.916
50,138.029
51,93.128
52,187.919
53,146.760
54,121.399
55,152.996
56,94.791
57,105.601
58,135.535
59,118.489
60,154.243
61,99.780
62,116.410
63,210.370
64,88.139
65,113.916
66,136.366
67,120.152
68,118.905
69,117.242
70,101.443
71,123.894
72,85.645
73,154.659
74,101.859
75,83.150
76,138.861
77,206.628
78,128.051
79,81.903
80,125.557
81,83.150
82,124.725
