 ,Area
1,193.324
2,166.300
3,91.049
4,88.555
5,102.275
6,101.443
7,214.943
8,133.872
9,139.692
10,312.644
11,107.679
12,118.073
13,118.905
14,104.353
15,130.546
16,156.322
17,89.802
18,138.861
19,142.602
20,101.859
21,108.511
22,102.690
23,74.004
24,62.363
25,69.430
26,91.465
27,108.927
28,102.275
29,133.872
30,121.399
31,130.961
32,96.038
33,135.119
34,107.264
35,190.414
36,135.535
37,85.229
38,100.612
39,115.994
40,93.544
41,303.082
42,88.555
43,220.348
44,135.535
45,108.511
46,130.961
47,96.454
48,82.319
49,407.019
50,114.747
51,115.994
52,92.712
53,176.278
