 ,Area
1,156.322
2,103.106
3,82.734
4,166.300
5,120.568
6,92.712
7,154.659
8,104.769
9,83.982
10,117.657
11,134.287
12,172.121
13,84.813
14,144.265
15,127.635
16,91.049
17,100.612
18,140.524
19,187.919
20,89.386
21,118.073
22,140.108
23,154.659
24,107.264
25,76.498
26,150.502
27,96.038
28,206.212
29,143.018
30,96.454
31,75.251
32,105.185
33,113.500
34,218.685
35,102.275
36,141.771
37,116.410
38,98.117
39,115.579
40,103.522
41,98.533
42,110.590
43,105.601
44,93.128
45,118.073
46,89.802
47,99.780
48,110.590
49,138.445
50,106.848
51,130.961
52,137.198
53,136.782
54,99.780
55,89.802
56,147.176
57,139.276
58,112.668
59,81.071
60,128.051
61,118.489
62,111.005
63,229.078
64,104.353
