 ,Area
1,77.330
2,88.971
3,105.601
4,251.945
5,76.498
6,162.974
7,77.745
8,120.568
9,191.661
10,246.956
11,102.275
12,96.454
13,125.141
14,171.289
15,86.892
16,82.734
17,108.511
18,146.344
19,142.602
20,124.309
21,136.366
22,122.231
23,156.322
24,100.196
25,96.870
26,81.903
27,111.005
28,109.342
29,93.960
30,98.117
31,85.645
32,187.919
33,123.894
34,152.165
35,194.987
36,113.500
37,109.342
38,81.071
39,150.917
40,96.038
41,202.055
42,75.667
43,150.502
44,110.174
45,107.264
46,102.275
47,216.190
48,97.286
49,88.139
50,118.489
51,129.298
52,120.568
53,190.414
54,171.705
55,92.712
56,108.511
57,98.949
58,86.060
59,147.591
