 ,Area
1,31.597
2,25.777
3,41.991
4,29.103
5,32.429
6,39.912
7,25.777
8,36.586
9,27.855
10,44.901
11,37.418
12,27.024
13,26.608
14,31.597
15,35.755
16,25.361
17,28.271
18,34.507
19,29.934
20,39.912
21,31.597
22,26.608
23,27.855
24,33.260
25,48.227
26,33.260
27,26.192
28,29.934
29,25.777
30,28.687
31,30.350
32,26.192
33,33.676
34,33.676
35,43.238
36,33.260
37,43.238
38,60.700
39,31.181
40,36.170
41,29.934
42,28.687
43,29.518
44,44.070
45,35.755
46,42.822
47,37.002
48,27.440
49,61.531
50,42.407
51,28.687
52,27.855
53,29.103
54,27.855
55,26.608
56,51.553
57,33.260
58,33.676
59,28.687
60,45.317
61,49.059
62,47.811
63,27.440
64,30.766
65,28.687
66,33.676
67,25.777
68,26.192
69,37.002
70,26.192
71,29.934
72,27.440
