 ,Area
1,29.103
2,56.126
3,130.130
4,27.440
5,31.181
6,134.287
7,31.181
8,85.645
9,28.271
10,30.350
11,28.271
12,98.533
13,34.507
14,118.073
15,35.339
16,25.361
17,113.084
18,32.844
19,236.978
20,27.024
21,25.777
22,49.474
23,163.390
24,182.930
25,36.170
26,117.242
27,62.363
28,59.868
29,40.744
30,133.456
31,25.361
32,26.608
33,34.092
34,30.766
35,78.161
36,58.621
37,93.544
38,144.265
39,224.921
40,32.844
41,46.564
42,30.350
43,124.725
44,151.333
45,27.855
46,205.381
47,102.275
48,110.590
49,55.295
50,147.591
51,29.518
52,30.766
53,35.339
54,219.516
55,29.934
56,184.593
57,46.564
58,36.586
59,38.249
60,38.249
61,162.558
62,98.949
63,33.676
64,30.350
65,251.529
66,177.525
67,29.934
68,25.361
69,27.024
70,186.256
71,39.496
72,27.024
73,31.181
74,105.601
75,199.976
76,102.690
77,59.868
78,42.407
79,29.934
80,85.229
81,125.557
82,105.185
83,110.590
84,32.429
85,27.024
86,38.249
87,36.586
88,33.260
89,27.855
90,60.284
91,167.132
92,35.339
93,123.062
94,41.159
95,65.689
96,30.350
97,189.998
98,81.487
99,42.822
100,179.188
101,243.214
102,50.722
103,147.176
104,125.141
105,157.569
106,229.910
107,175.862
108,184.593
109,114.331
110,116.410
111,44.485
112,42.407
113,96.454
114,28.687
115,32.429
116,140.939
117,37.002
118,34.923
119,55.711
120,145.513
121,30.766
122,145.928
123,118.489
124,38.665
125,27.024
126,25.777
127,26.608
128,124.725
129,29.518
130,100.196
131,45.733
132,244.461
133,88.139
134,70.262
135,42.407
136,64.026
137,39.912
138,70.262
139,49.890
140,91.465
141,35.755
142,25.361
143,28.687
144,180.436
145,27.855
146,152.165
147,106.432
148,37.833
149,80.240
150,58.621
151,32.013
152,126.804
153,49.890
154,105.601
155,143.850
156,25.777
157,167.963
158,39.912
159,117.657
160,60.700
161,41.991
162,68.183
163,153.412
164,165.884
165,28.271
166,46.564
167,36.586
168,26.192
169,114.331
170,32.844
171,136.782
172,113.916
173,177.525
174,42.822
175,127.220
176,171.289
177,25.777
178,172.536
179,40.744
180,127.635
181,33.676
182,31.181
183,28.687
184,199.976
185,156.738
186,141.355
187,25.777
188,31.597
189,57.374
190,166.300
191,27.855
192,35.339
193,45.317
194,41.991
195,29.518
196,41.159
197,160.064
198,25.777
199,181.267
200,34.923
201,25.361
202,126.388
203,30.350
204,120.152
205,34.092
206,118.489
207,37.833
208,224.921
209,110.590
210,148.423
211,31.597
212,42.407
213,26.192
214,25.777
215,152.580
216,54.879
217,34.507
218,133.456
219,43.654
220,36.586
221,25.777
222,29.518
223,77.745
224,44.070
225,106.432
226,113.084
227,171.289
228,27.440
229,51.553
230,40.744
231,36.170
232,31.181
233,32.844
234,34.507
235,29.103
236,32.844
237,36.170
238,40.328
239,236.146
240,35.339
241,34.092
242,25.777
243,28.687
244,29.103
245,29.103
246,118.073
247,34.923
248,36.586
249,25.361
250,146.760
251,44.901
252,34.923
253,124.309
254,32.429
255,35.755
256,103.106
257,59.868
258,36.586
259,123.478
260,27.440
261,35.755
262,27.024
