 ,Area
1,155.075
2,171.705
3,25.777
4,26.608
5,51.137
6,50.306
7,28.271
8,48.227
9,25.361
10,29.518
11,29.518
12,30.350
13,27.855
14,29.518
15,28.687
16,44.901
17,27.024
18,30.350
19,29.934
20,32.013
21,25.361
22,30.350
23,42.822
24,38.665
25,25.777
26,67.352
27,26.192
28,30.350
29,27.024
30,30.350
31,25.361
32,34.507
33,29.103
34,52.800
35,41.575
36,30.350
37,26.608
38,41.575
39,34.092
40,25.361
41,38.665
42,33.260
43,41.991
44,30.766
45,39.912
46,33.260
47,35.755
48,26.192
49,39.081
50,29.103
51,25.777
52,46.980
53,26.608
54,27.024
55,43.238
56,38.249
57,31.597
58,46.148
59,26.608
60,34.092
61,41.159
62,29.518
63,32.844
64,39.912
65,25.777
66,30.350
67,51.969
68,59.868
69,33.676
70,29.103
71,30.766
72,29.103
73,29.103
74,29.518
75,34.507
76,28.271
77,27.440
78,30.350
79,27.855
80,44.901
81,29.103
82,44.070
83,32.013
84,41.575
85,41.159
86,31.597
87,26.192
88,29.934
