 ,Area
1,31.597
2,83.150
3,151.749
4,27.855
5,115.163
6,103.106
7,199.144
8,93.128
9,143.018
10,82.319
11,83.982
12,32.844
13,87.308
14,143.018
15,47.396
16,88.971
17,96.454
18,76.082
19,89.802
20,111.837
21,64.441
22,39.496
23,48.227
24,73.172
25,111.421
26,26.608
27,32.429
28,76.082
29,125.141
30,119.736
31,25.361
32,113.916
33,211.617
34,95.623
35,84.813
36,102.690
37,56.126
38,86.476
39,38.665
40,119.320
41,33.676
42,66.520
43,168.795
44,95.207
45,83.150
46,43.654
47,121.399
48,107.264
49,25.777
50,26.192
51,28.687
52,100.196
53,111.005
54,123.062
55,113.916
56,62.778
57,59.868
58,26.608
59,108.095
60,82.319
61,191.661
62,87.308
63,97.701
64,34.923
65,96.870
66,111.005
67,83.566
68,33.260
69,29.103
70,93.544
71,29.518
72,27.440
73,98.117
74,28.271
75,165.884
76,34.923
77,207.875
78,28.271
79,94.791
80,99.364
81,32.844
82,27.024
83,31.181
84,182.930
85,110.174
86,33.260
87,45.733
88,131.377
89,75.251
90,81.487
91,121.815
92,42.822
93,131.793
94,37.002
95,25.361
96,39.912
97,141.355
98,172.121
99,134.287
100,68.599
101,124.725
102,27.855
103,25.777
104,113.084
105,81.487
106,26.192
107,28.687
108,66.936
109,106.848
110,109.342
111,32.013
112,121.399
113,78.993
114,80.656
115,29.934
116,109.342
117,120.983
118,74.835
119,155.075
120,88.555
121,94.375
122,101.443
123,99.364
124,28.271
125,64.026
126,84.813
127,29.518
128,31.181
129,91.049
130,91.049
131,93.128
132,115.163
133,74.835
134,100.612
135,199.144
136,76.914
137,134.287
138,103.522
139,132.209
140,106.432
141,56.542
142,85.229
143,56.126
144,37.418
145,27.440
146,34.507
147,28.687
148,111.005
149,157.154
150,107.679
151,101.859
152,111.005
153,75.667
154,41.575
155,78.993
156,51.969
157,83.150
158,32.429
159,29.103
160,79.408
161,34.923
162,63.610
163,64.857
164,39.081
165,25.361
166,52.385
167,77.330
168,190.414
169,111.005
170,115.579
171,29.934
172,62.778
173,125.972
174,116.826
175,116.410
176,94.791
177,75.251
178,99.780
179,90.634
180,68.183
181,38.249
182,139.276
183,25.361
184,81.903
185,96.454
186,209.122
187,42.822
188,37.833
189,107.264
190,33.676
191,129.714
192,31.597
193,53.632
194,92.712
195,84.397
196,34.092
197,170.042
198,37.418
199,28.271
200,35.755
201,111.421
202,26.192
203,202.886
204,88.555
205,28.271
206,117.657
207,122.646
208,81.487
209,25.361
210,182.099
211,29.518
212,27.855
213,100.612
214,166.300
215,86.060
216,82.319
217,62.363
218,58.621
219,92.297
220,27.024
221,112.253
222,33.260
223,108.927
224,40.744
225,31.597
226,59.452
227,25.777
228,205.796
229,26.192
230,31.181
231,29.934
232,77.330
233,25.777
234,34.092
235,25.361
236,32.013
237,92.297
238,82.734
239,31.597
240,32.844
241,27.855
242,29.103
243,97.701
244,141.771
245,32.429
246,139.692
247,204.965
248,124.309
249,49.474
250,29.103
251,58.205
252,29.518
253,26.192
254,115.994
255,29.518
256,49.890
257,157.569
258,56.958
259,33.676
260,139.692
261,76.498
262,34.923
263,29.518
264,26.608
265,34.507
266,32.429
267,189.998
268,97.286
269,25.777
270,53.632
271,28.271
272,96.870
273,29.934
274,57.789
275,47.811
276,91.049
277,39.912
278,89.802
279,32.429
280,110.590
281,27.855
282,51.969
283,93.128
284,26.608
285,88.139
286,74.004
287,98.533
288,157.569
289,29.103
290,126.388
291,26.192
292,29.934
293,48.227
294,34.092
295,29.934
296,53.216
297,44.485
298,33.260
299,89.386
300,39.912
301,31.597
302,29.103
303,31.181
304,44.485
305,26.608
306,48.227
307,108.927
308,127.635
309,130.961
310,35.755
311,49.059
312,36.586
313,92.297
314,79.824
315,30.766
316,138.861
317,72.756
318,52.800
319,28.271
320,114.331
321,32.429
322,33.676
323,30.350
324,50.722
325,28.271
326,129.298
327,27.440
328,164.221
329,133.456
330,27.440
331,26.192
332,39.081
333,100.196
334,128.051
335,27.855
336,30.350
337,29.934
338,45.317
339,38.249
340,37.833
341,31.181
342,26.608
343,26.608
344,25.361
345,32.013
346,35.339
347,25.361
348,44.901
349,28.271
350,56.542
351,31.597
352,35.755
353,26.192
354,92.297
355,40.328
356,33.260
357,130.546
358,139.692
359,43.238
360,26.608
361,36.170
362,35.755
363,45.733
364,28.687
365,41.575
366,43.238
367,34.092
368,116.410
369,97.701
370,25.777
371,167.963
372,27.024
373,27.024
374,27.440
375,29.934
376,28.687
