 ,Area
1,159.232
2,83.566
3,80.656
4,138.861
5,93.960
6,101.443
7,122.231
8,150.502
9,111.421
10,154.243
11,141.355
12,96.870
13,156.322
14,197.481
15,82.734
16,26.608
17,87.723
18,116.410
19,118.489
20,111.005
21,117.242
22,118.073
23,172.536
24,97.701
25,115.994
26,141.771
27,134.703
28,110.174
29,139.692
30,163.806
31,29.518
32,113.084
33,93.960
34,313.476
35,125.557
36,135.535
37,217.022
38,39.081
39,114.331
40,31.181
41,92.297
42,155.491
43,177.941
44,96.038
45,118.905
46,181.267
47,172.121
48,136.782
49,193.740
50,122.231
51,110.590
52,237.809
53,74.419
54,118.073
55,187.503
56,183.762
57,27.024
58,89.386
59,288.115
60,173.368
61,161.727
62,136.366
63,224.089
64,118.073
65,118.905
66,78.161
67,72.341
68,108.095
69,32.429
70,120.983
71,160.480
72,34.092
73,108.927
74,96.454
75,89.802
76,157.569
77,103.106
78,176.694
79,129.714
80,96.454
81,90.634
82,125.557
83,78.577
84,174.199
85,81.487
86,157.154
87,180.851
88,258.597
89,128.467
90,27.024
91,132.209
92,134.287
93,27.024
94,120.568
95,36.170
96,127.635
97,144.681
98,75.251
99,124.309
100,217.022
101,158.817
102,199.560
103,39.081
104,146.344
105,58.205
106,104.769
107,101.859
108,151.749
109,126.388
110,107.679
111,90.634
112,131.793
113,186.256
114,103.106
115,77.745
116,27.440
117,188.751
118,44.901
119,121.815
120,138.029
121,114.331
122,139.276
123,43.654
124,40.744
125,65.689
126,232.404
127,149.254
128,25.777
129,139.276
130,59.452
131,60.700
132,28.271
133,225.337
134,57.789
135,210.370
136,119.736
137,27.024
138,113.500
139,76.914
140,124.725
141,92.712
142,160.480
143,138.029
144,111.837
145,54.048
146,214.943
147,134.703
148,92.712
149,99.780
150,205.381
151,33.676
152,158.401
153,128.883
154,30.350
155,26.608
156,190.829
157,27.855
158,36.586
159,124.309
160,36.170
161,39.496
162,106.016
163,144.265
164,55.295
165,142.187
166,227.831
167,81.903
168,43.654
169,239.472
170,99.780
171,25.777
172,167.132
173,123.062
174,149.670
175,157.154
176,41.575
177,96.454
178,144.681
179,34.507
180,158.401
181,158.401
182,54.463
183,144.265
184,122.646
185,25.361
186,78.993
187,123.062
188,163.390
189,196.234
190,26.192
191,91.049
192,25.777
193,164.221
194,104.769
195,109.758
196,122.646
197,83.982
198,107.679
199,27.024
200,27.855
201,124.725
202,77.745
203,29.934
