 ,Area
1,163.390
2,111.005
3,174.199
4,103.938
5,205.381
6,144.681
7,162.558
8,120.152
9,198.313
10,108.927
11,126.804
12,126.388
13,121.815
14,213.280
15,162.974
16,128.883
17,113.916
18,164.221
19,268.575
20,165.469
21,164.637
22,156.738
23,142.187
24,173.368
25,158.817
26,117.242
27,150.502
28,118.905
29,90.218
30,108.927
31,137.613
32,148.007
33,194.987
34,117.242
35,119.320
36,320.959
37,127.220
38,165.053
39,168.795
40,121.815
41,140.524
42,106.848
43,239.888
44,104.353
45,249.866
46,136.782
47,188.335
48,108.095
49,128.883
50,120.152
51,181.267
