 ,Area
1,163.806
2,139.692
3,128.051
4,77.330
5,113.916
6,140.108
7,198.729
8,77.330
9,89.386
10,84.813
11,178.773
12,149.254
13,113.916
14,149.254
15,81.071
16,75.667
17,246.956
18,77.330
19,91.465
20,142.602
21,81.903
22,87.308
23,171.705
24,199.976
25,115.994
26,78.161
27,80.240
28,100.612
29,78.161
30,101.859
31,81.487
32,199.144
33,101.443
34,80.656
35,175.031
36,105.601
37,101.027
38,80.240
39,101.859
40,88.555
41,92.297
42,92.297
43,111.421
44,76.914
45,161.727
46,113.500
47,186.256
48,192.492
49,140.108
50,145.097
51,78.993
52,77.745
53,91.465
54,187.503
55,84.813
56,101.027
57,111.005
58,99.780
59,106.848
60,246.956
61,190.414
62,79.408
63,93.544
64,90.634
65,143.018
66,115.579
67,89.386
68,145.513
69,94.375
70,75.667
71,78.993
72,87.723
73,155.075
74,107.264
75,184.177
76,75.667
77,256.518
78,86.060
79,182.514
80,96.454
81,110.174
82,99.364
83,85.229
84,78.577
85,76.914
86,88.139
87,89.802
88,76.914
89,91.465
90,83.566
91,117.657
92,78.993
93,105.185
94,128.467
95,128.883
96,94.375
97,83.150
98,190.414
99,97.701
100,115.994
101,98.949
102,101.443
103,86.892
104,128.883
105,207.875
106,81.903
107,79.408
108,125.972
109,97.701
110,78.577
111,105.185
112,150.086
113,83.150
114,172.121
115,76.498
116,84.397
117,86.476
118,120.152
119,86.060
120,95.623
121,96.870
122,94.375
123,180.436
124,170.873
125,94.375
126,80.240
127,129.714
128,95.623
129,138.861
130,101.859
131,113.916
132,77.330
133,240.304
134,167.547
135,86.060
136,152.165
137,105.601
138,95.207
139,85.229
140,120.983
141,77.745
142,94.375
143,83.150
144,83.982
145,164.637
146,78.993
147,86.476
148,75.251
149,83.566
150,165.469
151,79.408
152,95.207
153,103.106
154,79.824
155,120.568
156,109.342
157,81.903
158,87.723
159,90.218
160,78.577
