 ,Area
1,148.423
2,248.619
3,333.847
4,172.952
5,184.593
6,236.146
7,132.624
8,177.941
9,258.597
10,193.740
11,140.939
12,175.862
13,213.696
14,187.088
15,258.181
16,238.641
17,186.256
18,247.371
19,254.439
20,224.089
21,187.503
22,255.271
23,187.919
24,177.525
25,201.223
26,242.382
27,179.188
28,181.267
29,333.847
30,167.547
31,249.450
32,215.359
33,269.822
34,182.930
35,411.593
36,149.254
37,186.672
38,303.498
39,178.773
40,256.102
41,191.661
42,166.300
43,174.199
44,203.718
45,188.751
46,174.615
47,130.130
48,209.954
49,81.487
50,175.862
51,187.919
52,214.111
53,225.337
54,232.820
55,202.055
56,194.155
57,237.809
