 ,Area
1,124.309
2,117.657
3,135.535
4,88.139
5,123.478
6,91.049
7,241.551
8,82.319
9,152.165
10,91.465
11,80.656
12,96.870
13,105.601
14,85.645
15,138.861
16,81.487
17,78.993
18,89.802
19,93.128
20,82.734
21,86.060
22,92.297
23,76.082
24,123.478
25,87.308
26,101.443
27,81.487
28,80.240
29,193.324
30,90.634
31,83.150
32,91.465
33,76.914
34,152.580
35,202.055
36,125.557
37,76.082
38,122.231
39,178.773
40,111.005
41,84.397
42,92.297
43,106.016
44,151.333
45,86.892
46,81.487
47,78.993
48,78.577
49,82.734
50,82.319
51,167.963
52,183.346
53,133.456
