 ,Area
1,172.536
2,177.110
3,192.077
4,167.132
5,138.861
6,183.346
7,184.177
8,236.978
9,100.612
10,177.941
11,203.302
12,109.758
13,133.040
14,206.212
15,186.672
16,130.546
17,195.403
18,130.961
19,232.404
20,163.390
21,161.311
22,221.179
23,101.859
24,197.481
25,105.601
26,167.132
27,165.884
28,144.681
29,157.985
30,125.141
31,98.117
32,174.615
33,166.300
34,143.850
35,76.082
36,195.403
37,123.894
38,198.729
39,174.199
40,162.143
41,150.502
42,173.784
43,232.820
44,162.974
45,225.337
46,103.938
47,110.590
48,95.623
49,125.141
50,162.974
51,267.743
52,103.106
53,131.377
54,189.582
55,137.613
56,137.613
57,224.505
