 ,Area
1,130.130
2,145.928
3,177.110
4,128.467
5,113.084
6,199.560
7,125.972
8,122.231
9,217.437
10,116.410
11,138.445
12,83.150
13,125.557
14,234.899
15,249.034
16,122.231
17,106.016
18,251.529
19,107.264
20,153.828
21,158.817
22,96.038
23,128.051
24,123.478
25,194.987
26,253.192
27,120.568
28,243.630
29,145.513
30,177.525
31,92.297
32,152.996
33,131.793
34,98.117
35,189.582
36,224.505
37,100.612
38,197.481
39,137.613
40,208.291
41,156.738
42,93.128
43,165.469
44,120.568
45,155.491
46,236.978
47,81.487
48,155.075
49,119.320
50,186.256
51,119.320
52,204.965
53,154.659
54,135.535
55,90.218
56,83.982
57,173.368
58,142.602
59,175.447
60,244.045
61,207.459
62,105.601
63,113.916
64,90.218
65,111.837
66,190.829
67,136.366
