 ,Label,Area,Mean,Min,Max
1,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,10,1016.000,896,1152
2,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,960.000,960,960
3,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,15,969.600,896,1072
4,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,2,1032.000,896,1168
5,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,23,981.565,896,1072
6,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,928.000,928,928
7,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,11,997.818,896,1216
8,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,2,968.000,896,1040
9,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,47,988.596,896,1152
10,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,5,924.800,896,992
11,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,13,956.308,896,1120
12,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,4,932.000,912,944
13,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,3,976.000,928,1024
14,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,928.000,928,928
15,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,928.000,928,928
16,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,896.000,896,896
17,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,175,1724.800,896,19296
18,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,1184.000,1184,1184
19,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,2,920.000,896,944
20,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,912.000,912,912
21,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,5,995.200,896,1152
22,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,944.000,944,944
23,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,912.000,912,912
24,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,3,960.000,912,992
25,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,912.000,912,912
26,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,944.000,944,944
27,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,22,1002.909,896,1264
28,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,59,972.475,896,1216
29,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,960.000,960,960
30,B6_01_1_2_Chlorophyll_A_001_phosphate_plate7.tif,1,1008.000,1008,1008
