 ,Label,Area,Mean,Min,Max
1,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,784.000,784,784
2,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,18,880.889,784,1056
3,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,13,855.385,784,960
4,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,73,889.863,784,1072
5,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,4,952.000,832,1104
6,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,1184.000,1184,1184
7,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,896.000,896,896
8,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,12,852.000,784,992
9,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,800.000,800,800
10,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,9,888.889,800,1104
11,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,960.000,960,960
12,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,1008.000,1008,1008
13,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,880.000,880,880
14,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,6,826.667,784,912
15,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,3,848.000,800,912
16,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,2,808.000,784,832
17,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,2,888.000,816,960
18,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,2,808.000,800,816
19,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,3,826.667,784,896
20,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,2,848.000,800,896
21,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,2,800.000,784,816
22,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,6,864.000,800,928
23,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,832.000,832,832
24,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,4,836.000,800,864
25,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,896.000,896,896
26,C7_01_1_2_Chlorophyll_A_001_phosphate_plate3.tif,1,896.000,896,896
