 ,Label,Area,Mean,Min,Max
1,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,800.000,800,800
2,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,832.000,832,832
3,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,9,881.778,800,1120
4,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,9,880.000,800,976
5,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,3,832.000,832,832
6,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,8,850.000,800,928
7,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,11,871.273,800,1040
8,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,960.000,960,960
9,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,7,854.857,800,992
10,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,4,872.000,816,1008
11,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,1152.000,1152,1152
12,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,848.000,848,848
13,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,7,829.714,800,880
14,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,1056.000,1056,1056
15,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,880.000,880,880
16,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,864.000,800,928
17,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,6,909.333,816,1248
18,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,824.000,800,848
19,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,4,888.000,832,944
20,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,800.000,800,800
21,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,816.000,816,816
22,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,896.000,896,896
23,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,864.000,816,912
24,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,23,889.739,800,1024
25,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,880.000,880,880
26,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,7,852.571,800,912
27,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,800.000,800,800
28,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,920.000,912,928
29,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,16,889.000,800,1088
30,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,1024.000,1024,1024
31,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,86,909.395,800,1152
32,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,28,876.571,800,1072
33,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,880.000,880,880
34,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,9,904.889,832,976
35,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,952.000,880,1024
36,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,3,890.667,864,912
37,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,960.000,960,960
38,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,888.000,816,960
39,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,6,954.667,800,1072
40,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,864.000,864,864
41,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,800.000,800,800
42,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,3,842.667,816,896
43,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,816.000,816,816
44,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,2,872.000,832,912
45,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,816.000,816,816
46,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,832.000,832,832
47,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,816.000,816,816
48,E3_01_1_2_Chlorophyll_A_001_phosphate_plate2.tif,1,848.000,848,848
