 ,Label,Area,Mean,Min,Max
1,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,6,10922.667,8944,13696
2,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,11,15581.091,10336,22912
3,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,5,11219.200,9120,15408
4,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,20,13190.400,9040,18032
5,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,26,24127.385,9024,40096
6,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,19325.714,11232,28624
7,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,12,16832.000,9376,26528
8,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,17985.143,9328,29904
9,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,6,12368.000,9264,15584
10,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,8,11140.000,9808,13408
11,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,16,17749.000,10112,30848
12,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,15,14449.067,9424,20496
13,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,6,14586.667,9728,18080
14,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,13,15566.769,9872,21760
15,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,24,13972.000,9056,20064
16,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,21,15913.905,9248,21536
17,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,15,18786.133,8960,32768
18,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,16,16570.000,9264,27440
19,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,10,12518.400,9104,15616
20,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,18160.000,9056,28320
21,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,15,18958.933,8976,32544
22,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,28,18576.571,9344,29008
23,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,30,16941.333,10304,23840
24,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,18,18448.889,9200,33824
25,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,15,16542.933,9536,27136
26,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,20,17259.200,9312,28528
27,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,18,16227.556,9072,27664
28,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,19,16387.368,10400,26112
29,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,18,14705.778,9184,20176
30,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,7,11817.143,9232,13904
31,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,8,12176.000,9376,17472
32,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,62,23489.548,9008,41776
33,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,13045.714,9712,15664
34,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,8,12262.000,9728,16480
35,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,2,10048.000,9328,10768
36,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,17048.000,9216,23280
37,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,23,21103.304,11248,35792
38,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,12,16148.000,11408,24480
39,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,7,12448.000,9648,16080
40,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,19,16752.000,9216,25280
41,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,13,13929.846,9072,20160
42,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,19,13400.421,8976,18784
43,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,14,12915.429,9664,18592
44,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,16,15890.000,8992,20448
45,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,11,21630.545,13472,36688
46,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,9,13772.444,9280,21456
47,F4_01_1_1_Chlorophyll_A_001_phosphate_plate7.tif,8,11802.000,9968,14672
