 ,Label,Area,Mean,Min,Max
1,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,344.000,288,400
2,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,432.000,304,560
3,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,4,312.000,272,352
4,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,256.000,256,256
5,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,256.000,256,256
6,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,10,304.000,256,400
7,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,5,355.200,272,432
8,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,10,305.600,256,400
9,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,3,394.667,368,416
10,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,6,325.333,272,400
11,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,328.000,320,336
12,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,3,314.667,256,368
13,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,448.000,448,448
14,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,304.000,304,304
15,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,328.000,256,400
16,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,6,336.000,256,432
17,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,3,309.333,272,368
18,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,312.000,288,336
19,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,3,330.667,288,368
20,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,264.000,256,272
21,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,256.000,256,256
22,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,384.000,384,384
23,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,288.000,272,304
24,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,4,308.000,256,384
25,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,304.000,304,304
26,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,272.000,272,272
27,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,368.000,368,368
28,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,448.000,448,448
29,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,6,298.667,256,368
30,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,48,383.333,256,656
31,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,29,360.276,256,480
32,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,2,312.000,272,352
33,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,12,342.667,256,560
34,G11_01_1_1_Chlorophyll_A_001_phosphate_plate4.tif,1,512.000,512,512
