 ,Area
1,67.767
2,65.273
3,96.038
4,127.220
5,125.972
6,157.154
7,86.476
8,76.082
9,77.330
10,65.273
11,89.386
12,59.037
13,60.284
14,123.062
15,67.352
16,90.634
17,104.769
18,107.264
19,77.330
20,143.434
21,39.912
22,136.782
23,74.004
24,68.183
25,47.396
26,66.520
27,122.646
28,103.522
29,58.205
30,60.700
31,114.747
32,44.070
33,38.665
34,94.791
35,73.588
36,70.262
37,68.599
38,78.577
39,41.159
40,92.712
41,56.542
42,47.396
43,61.947
44,99.364
45,73.588
46,88.139
47,32.844
48,93.544
49,68.183
50,117.657
51,71.925
52,61.947
53,78.577
54,82.734
55,34.923
56,56.542
57,29.934
58,92.712
59,152.165
60,41.991
61,71.509
62,100.196
63,127.220
64,144.681
65,118.489
66,77.330
67,65.273
68,79.408
69,81.903
70,62.778
71,34.092
72,56.126
73,42.407
