 ,Area
1,88.555
2,55.711
3,53.216
4,80.656
5,88.971
6,34.507
7,61.115
8,69.015
9,42.407
10,65.689
11,74.419
12,111.421
13,82.734
14,69.015
15,82.734
16,106.016
17,70.262
18,66.104
19,110.174
20,80.656
21,69.430
22,76.082
23,63.194
24,71.925
25,36.170
26,47.396
27,90.218
28,67.352
29,112.253
30,60.700
31,106.432
32,37.833
33,114.331
34,118.073
35,48.227
36,119.736
37,48.227
38,91.465
39,74.004
40,96.870
41,107.264
42,108.511
43,99.364
44,43.238
45,115.163
46,118.073
47,64.857
48,61.115
49,78.993
50,86.476
51,92.297
52,129.714
53,85.645
54,28.271
55,67.767
56,114.331
57,47.396
58,70.262
59,56.542
60,82.734
61,51.137
62,89.386
63,76.498
64,51.969
65,51.969
66,88.971
67,56.126
68,49.890
69,41.159
70,34.923
71,109.758
72,68.183
73,69.430
74,52.385
75,52.800
76,30.350
77,60.700
78,105.185
79,53.216
80,104.353
81,95.207
82,80.656
83,76.082
84,103.522
