 ,Area
1,29.518
2,34.092
3,32.013
4,39.912
5,26.608
6,53.632
7,28.687
8,32.429
9,44.901
10,32.844
11,40.328
12,41.159
13,46.564
14,46.980
15,45.317
16,45.317
17,30.766
18,36.586
19,34.092
20,38.665
21,67.352
22,32.013
23,76.082
24,51.553
25,72.341
26,32.844
27,27.855
28,59.037
29,46.980
30,42.822
31,37.833
32,44.070
33,41.159
34,51.553
35,27.855
36,29.934
37,55.295
38,37.002
39,32.013
40,64.026
41,48.643
42,42.822
43,59.452
44,39.081
45,47.811
46,37.002
47,34.507
48,44.485
49,47.396
50,32.013
51,44.901
52,29.518
53,44.901
54,41.159
55,34.923
56,44.070
57,48.227
58,54.048
59,49.474
60,28.271
61,31.181
62,47.811
63,45.317
64,46.564
65,50.722
66,26.192
67,34.507
68,41.991
69,44.485
70,32.429
71,33.260
72,25.777
73,27.440
74,46.980
75,43.238
76,41.159
77,30.350
78,49.474
79,52.800
80,39.081
81,30.766
82,31.597
83,27.024
84,40.744
85,43.238
86,42.407
87,26.192
88,34.092
89,49.059
90,32.844
91,33.260
92,43.654
93,33.676
94,37.002
95,56.958
96,50.306
97,63.194
98,34.092
99,30.350
100,54.463
101,27.440
102,46.564
103,51.969
104,38.665
105,46.148
106,29.103
107,40.328
108,51.137
109,46.564
110,28.271
111,27.024
112,28.687
113,36.586
114,35.339
115,50.722
116,32.844
117,36.586
118,30.766
119,39.081
120,31.181
121,32.844
122,48.643
123,46.148
124,26.192
125,58.621
126,34.507
127,33.676
128,48.227
129,27.440
130,39.081
131,41.991
132,56.126
133,60.284
134,34.923
135,34.092
136,28.687
137,32.429
138,54.879
139,37.833
140,36.586
141,44.485
142,25.777
143,46.980
144,43.238
145,26.608
146,36.586
147,40.744
148,44.070
149,49.474
150,46.564
151,26.192
152,49.890
153,25.777
154,48.643
155,33.260
156,33.260
157,27.855
158,48.643
159,31.597
160,35.755
161,43.238
162,46.564
163,51.553
164,29.518
165,40.744
166,37.418
167,44.070
168,33.260
169,27.024
170,25.777
171,45.733
172,47.396
173,39.081
174,38.249
175,27.855
176,32.429
177,45.733
178,34.507
179,38.665
180,36.586
181,36.170
182,53.216
183,40.744
184,43.238
185,47.811
186,40.744
187,57.374
188,28.687
189,36.170
190,41.575
191,51.137
192,38.249
193,53.632
194,27.024
195,54.048
196,41.159
197,53.632
198,38.249
199,27.855
200,36.170
201,44.070
202,45.733
203,34.092
204,54.463
205,47.396
206,39.912
207,29.103
208,32.844
209,37.833
210,32.013
211,38.249
212,49.059
213,33.260
214,28.687
215,25.361
216,70.262
217,37.002
218,58.205
219,41.991
220,37.418
221,32.429
222,29.934
223,46.564
224,27.440
225,36.586
226,38.249
227,49.059
228,39.912
229,45.733
230,46.148
231,33.260
232,30.350
233,29.518
234,39.081
235,38.665
236,27.855
237,40.744
238,31.597
239,29.103
240,32.013
241,46.980
242,47.396
243,27.855
244,32.429
245,39.496
246,35.339
247,26.192
248,31.597
249,34.507
250,40.744
251,46.148
252,39.081
253,50.722
254,31.597
255,34.923
256,32.013
257,34.092
258,49.059
259,41.575
260,26.192
261,43.238
262,44.901
263,44.901
264,25.777
265,38.249
266,41.575
267,35.339
268,27.024
269,47.811
270,27.855
271,44.901
272,29.934
273,25.777
274,43.238
275,35.755
276,37.833
277,51.137
278,40.744
279,45.733
280,32.429
281,34.092
282,33.260
283,45.733
284,38.249
285,41.159
286,50.722
287,44.485
288,49.059
289,32.013
290,33.676
291,25.361
292,32.429
293,29.934
294,27.440
295,29.103
296,32.013
297,27.440
298,25.361
299,35.339
300,39.912
301,30.350
302,25.777
303,40.744
304,57.789
305,44.070
306,40.328
307,28.271
308,25.361
309,45.317
310,36.586
311,26.608
312,31.597
313,27.855
314,47.811
315,35.755
316,27.855
317,25.777
318,34.923
319,41.575
320,41.159
321,37.002
322,44.070
323,41.991
324,29.934
325,47.811
326,49.890
327,47.396
328,44.901
329,29.518
330,61.115
331,46.148
332,31.597
333,27.440
334,44.485
335,39.081
336,26.608
337,25.777
338,32.013
339,41.991
340,42.822
341,37.002
342,49.059
343,35.755
344,37.833
345,47.396
346,35.755
347,36.586
348,29.934
349,31.181
350,37.002
351,34.923
352,35.339
353,38.249
354,32.013
355,28.271
356,37.833
357,40.328
358,43.654
359,29.103
360,46.148
361,31.181
362,26.192
363,41.991
364,33.260
365,36.586
366,31.597
367,39.496
368,29.518
369,45.317
370,26.192
371,31.597
372,41.575
373,41.991
374,28.687
375,32.844
376,55.295
377,25.361
378,32.013
379,41.159
380,27.440
381,32.013
382,27.855
383,36.170
384,39.912
385,34.092
386,27.440
387,41.575
388,30.350
389,39.912
390,49.059
391,41.575
392,37.833
