 ,Area
1,40.744
2,26.192
3,39.081
4,34.923
5,30.766
6,29.518
7,26.608
8,37.002
9,56.958
10,33.676
11,44.901
12,37.418
13,27.440
14,27.440
15,30.766
16,42.822
17,39.496
18,26.608
19,30.766
20,27.855
21,27.024
22,29.103
23,32.429
24,32.429
25,36.586
26,36.586
27,26.192
28,41.159
29,35.755
30,31.181
31,34.923
32,25.777
33,41.575
34,32.013
35,37.002
36,43.654
37,27.440
38,29.934
39,39.081
40,28.687
41,31.181
42,32.844
43,29.103
44,35.339
45,44.901
46,29.103
47,33.260
48,29.103
49,32.013
50,30.766
51,31.597
52,33.260
53,35.339
54,27.440
55,47.811
56,25.777
57,38.249
58,30.766
59,75.667
60,31.181
61,34.923
62,54.048
63,26.608
64,40.744
65,36.586
66,39.081
67,48.643
68,31.181
69,27.024
70,29.934
71,29.518
72,30.350
73,31.597
74,34.923
75,51.137
76,51.137
77,39.496
78,41.159
79,35.755
80,26.608
81,32.844
82,25.777
83,29.518
84,25.361
85,43.238
86,44.070
87,36.586
88,49.059
89,34.092
90,53.632
91,44.485
92,25.361
93,36.170
94,32.429
95,31.597
96,41.991
97,27.855
98,41.575
99,40.744
100,30.766
101,39.081
102,28.687
103,39.912
104,28.271
105,33.260
106,37.418
107,47.811
108,33.676
109,28.271
110,45.317
111,34.507
112,42.822
113,30.766
114,42.822
115,32.429
116,26.608
117,38.249
118,41.159
119,36.586
120,26.608
121,34.507
122,28.271
123,50.306
124,39.912
125,33.260
126,25.361
127,43.238
128,28.687
129,27.024
130,51.969
131,27.855
132,29.518
133,32.429
134,32.013
135,26.192
136,32.844
137,33.260
138,36.586
139,39.081
140,34.923
141,44.901
142,34.092
143,27.440
144,40.744
145,30.766
146,29.103
147,29.934
148,39.912
149,28.271
150,34.507
151,26.192
152,33.676
153,29.518
154,37.833
155,28.271
156,37.418
157,32.013
158,32.844
159,35.755
160,31.181
161,39.081
162,27.855
163,32.844
164,45.733
165,39.081
166,43.654
167,37.833
168,38.249
169,26.608
170,27.440
171,33.676
172,36.170
173,31.597
174,27.024
175,34.092
176,28.271
177,37.002
178,30.766
179,37.002
180,32.013
181,29.103
182,34.507
183,32.429
184,35.755
185,32.013
186,39.081
187,34.092
188,30.766
189,38.665
190,30.766
191,41.159
192,39.912
193,39.912
194,40.328
195,32.844
196,38.249
197,30.766
198,33.676
199,34.923
200,31.181
201,38.249
202,60.284
203,37.418
204,26.192
205,37.002
206,40.328
207,41.159
208,64.857
209,42.407
210,30.350
211,36.586
212,28.271
213,29.934
214,44.901
215,31.597
216,49.890
217,27.440
218,41.159
219,41.991
220,32.844
221,31.597
222,30.766
223,29.518
224,49.890
225,41.159
226,33.676
227,39.496
228,26.608
229,41.159
230,29.103
231,57.789
232,36.586
233,39.912
234,27.855
235,44.485
236,32.844
237,42.407
238,43.238
239,33.260
240,27.855
241,46.564
242,44.901
243,50.306
244,27.855
245,41.159
246,42.822
247,31.597
248,26.608
249,31.181
250,40.744
251,53.632
252,43.654
253,44.485
254,42.407
255,43.238
256,35.339
257,26.608
258,39.496
259,32.429
260,41.575
261,44.485
262,34.507
263,41.159
264,34.507
265,37.418
266,41.991
267,27.440
268,29.103
269,29.934
270,38.249
271,46.980
272,42.407
273,37.002
274,47.811
275,37.418
276,42.822
277,45.317
278,58.205
279,49.059
280,27.024
281,28.687
282,39.081
