 ,Area
1,39.496
2,32.013
3,49.890
4,59.037
5,84.397
6,41.991
7,28.271
8,48.227
9,36.586
10,28.271
11,27.024
12,42.407
13,37.002
14,27.024
15,39.081
16,27.024
17,49.890
18,25.777
19,34.092
20,37.418
21,27.440
22,30.350
23,37.418
24,37.002
25,95.623
26,29.103
27,29.518
28,52.800
29,45.733
30,31.181
31,43.654
32,55.711
33,25.361
34,33.676
35,37.418
36,26.608
37,41.575
38,32.013
39,43.654
40,28.271
41,25.777
42,32.013
43,49.474
44,33.260
45,29.103
46,26.192
47,27.024
48,45.733
49,28.687
50,45.733
51,38.665
52,27.440
53,30.766
54,28.687
55,32.429
56,31.181
57,32.013
58,34.507
59,43.654
60,31.181
61,32.429
62,28.687
63,32.844
64,29.934
65,36.170
66,26.192
67,27.024
68,31.181
69,29.934
70,30.766
71,25.777
72,30.350
73,25.361
74,27.024
75,43.654
76,38.665
77,51.137
78,36.170
79,29.934
80,29.518
81,29.518
82,60.284
83,50.306
84,42.407
85,34.092
86,55.711
87,33.676
88,39.912
89,43.238
90,38.249
91,29.103
92,25.777
93,26.608
94,28.271
95,51.553
96,34.092
97,25.777
98,29.518
99,27.855
100,26.608
101,32.013
102,37.833
103,27.440
104,30.766
105,41.159
106,32.844
107,30.350
108,36.586
109,34.507
110,37.002
111,32.013
112,28.271
113,26.608
114,40.744
115,62.363
116,47.396
117,37.002
118,48.227
119,27.024
120,26.608
121,34.923
122,39.912
123,49.059
124,29.103
125,31.181
126,31.597
127,37.418
128,46.980
129,37.002
130,28.687
131,32.429
132,25.361
133,43.238
134,32.429
135,39.496
136,60.700
137,26.192
138,41.991
139,34.507
140,26.608
141,27.024
142,45.317
143,28.271
144,25.777
145,42.407
146,30.350
147,27.440
148,26.192
149,33.260
150,41.575
151,29.518
152,29.518
153,27.855
154,25.777
155,35.339
156,29.934
157,35.339
158,28.271
159,33.260
160,25.777
161,36.586
162,31.181
163,56.958
164,32.013
165,31.181
166,33.676
167,25.361
168,29.518
169,28.271
170,35.339
171,36.586
172,35.339
173,45.733
174,34.923
175,35.755
176,28.687
177,25.361
178,29.934
179,32.013
180,29.934
181,55.295
182,33.676
183,28.687
184,33.260
185,31.181
186,29.103
187,36.170
188,45.733
189,26.608
190,31.181
191,32.429
192,37.418
193,33.260
194,25.361
195,28.271
196,27.024
197,33.676
198,35.339
199,28.271
200,30.766
201,31.597
202,25.777
203,31.181
204,49.474
205,48.643
206,25.361
207,29.103
208,41.991
209,31.597
210,26.192
211,41.575
212,34.923
213,42.407
214,28.271
215,36.586
216,32.844
217,29.103
218,31.597
219,27.855
220,50.306
221,25.777
222,30.766
223,33.676
224,54.463
225,25.777
226,34.507
227,31.181
228,32.013
229,51.553
230,37.002
231,36.586
232,25.361
233,34.923
234,40.328
235,32.844
236,27.855
237,32.429
238,26.608
239,51.137
240,29.103
241,44.485
242,25.777
