 ,Area
1,37.833
2,27.855
3,45.317
4,32.429
5,49.474
6,30.766
7,35.339
8,38.665
9,34.092
10,51.969
11,27.855
12,56.958
13,60.284
14,38.249
15,33.260
16,41.159
17,32.844
18,39.496
19,40.328
20,44.901
21,65.273
22,59.037
23,44.485
24,41.991
25,52.385
26,44.070
27,26.608
28,34.923
29,26.192
30,51.137
31,43.238
32,40.744
33,41.991
34,37.002
35,49.890
36,34.092
37,56.126
38,42.407
39,41.575
40,36.586
41,42.407
42,39.496
43,28.271
44,27.440
45,34.092
46,27.024
47,34.923
48,31.597
49,30.766
50,46.980
51,26.192
52,78.161
53,35.339
54,48.643
55,46.980
56,39.496
57,29.518
58,27.024
59,25.777
60,41.991
61,28.271
62,32.429
63,44.070
64,37.002
65,34.923
66,81.903
67,51.553
68,38.665
69,42.822
70,28.271
71,42.407
72,46.564
73,43.654
74,33.676
75,25.361
76,55.711
77,46.148
78,33.676
79,29.934
80,32.013
81,29.934
82,25.361
83,25.361
84,31.181
85,54.048
86,40.328
87,32.844
88,28.271
89,25.777
90,28.687
91,45.733
92,26.608
93,27.440
94,38.249
95,25.361
96,25.777
97,57.789
98,35.755
99,40.328
100,37.833
101,44.485
102,36.586
103,55.711
104,35.755
105,37.418
106,27.855
107,45.317
108,39.496
109,41.991
110,30.350
111,47.811
112,36.170
113,39.496
114,31.181
115,38.249
116,27.855
117,25.777
118,36.586
119,32.013
120,32.013
121,31.181
122,32.013
123,29.934
124,62.363
125,34.923
126,36.586
127,34.507
128,29.934
129,48.643
130,29.934
131,36.586
132,36.170
133,29.103
134,34.092
135,34.092
136,39.912
137,34.923
138,42.822
139,39.496
140,33.676
141,39.081
142,50.722
143,39.081
144,32.844
145,27.855
146,56.542
147,26.192
148,31.181
149,27.024
150,44.485
151,29.103
152,37.833
153,34.923
154,45.317
155,26.608
156,26.192
157,41.991
158,37.002
159,43.654
160,45.317
161,32.429
162,32.429
163,40.328
164,31.181
165,44.070
166,29.518
167,92.712
168,35.339
169,35.755
170,29.103
171,37.418
172,31.597
173,28.687
174,34.507
175,27.440
176,26.192
177,41.159
178,27.855
179,28.271
180,25.361
181,25.361
182,26.192
183,41.991
184,32.013
185,38.249
186,48.227
187,27.024
188,37.002
189,40.744
190,44.485
191,32.013
192,42.407
193,25.777
194,36.170
195,38.249
196,53.632
197,25.777
198,32.844
199,33.676
200,48.227
201,25.777
202,30.350
203,28.271
204,30.766
205,49.474
206,39.081
207,36.586
208,25.777
209,47.396
210,35.339
211,35.339
212,38.665
213,36.586
214,35.339
215,35.339
216,32.429
217,32.429
218,34.507
219,47.811
220,36.586
221,33.260
222,25.777
223,29.518
224,31.597
225,28.687
226,29.518
227,26.192
228,32.013
229,44.070
230,27.440
231,27.440
232,28.271
233,28.271
234,54.463
235,41.159
236,46.148
237,38.665
238,48.643
239,49.474
240,43.238
241,38.249
242,42.822
243,44.901
244,41.575
245,30.350
246,46.564
247,34.507
248,28.271
249,29.934
250,33.676
251,54.879
252,46.564
253,43.238
254,38.249
255,41.159
256,30.350
257,35.339
258,27.024
259,40.744
260,47.811
261,29.934
262,43.654
263,42.407
264,29.934
265,34.923
266,49.890
267,27.855
268,29.518
269,34.092
270,46.148
271,38.249
272,34.923
273,33.260
274,40.744
275,52.800
276,48.227
277,27.855
278,46.148
279,59.868
280,26.192
281,44.901
282,32.013
283,38.665
284,27.855
285,26.608
286,25.777
287,44.485
288,29.103
289,54.463
290,36.586
291,43.654
292,32.013
293,32.013
294,30.350
295,35.755
296,33.260
297,37.002
298,44.901
299,38.249
300,26.192
301,29.934
302,51.553
303,38.665
304,38.665
305,28.687
