 ,Area
1,56.126
2,61.947
3,65.273
4,61.947
5,59.452
6,39.912
7,54.879
8,73.172
9,44.901
10,62.363
11,66.936
12,51.137
13,48.643
14,73.588
15,50.722
16,78.993
17,61.947
18,49.890
19,54.048
20,53.632
21,40.744
22,56.542
23,60.700
24,60.284
25,50.306
26,32.013
27,31.181
28,50.306
29,54.048
30,62.363
31,91.049
32,57.374
33,46.980
34,56.126
35,51.969
36,44.070
37,69.846
38,63.610
39,81.071
40,62.778
41,40.744
42,30.350
43,63.194
44,43.654
45,38.665
46,39.081
47,56.126
48,64.026
49,39.081
50,44.485
51,59.037
52,108.095
53,50.722
54,40.328
55,39.081
56,37.002
57,70.678
58,74.835
59,36.586
60,34.923
61,63.610
62,52.385
63,54.048
64,41.159
65,43.238
66,88.555
67,62.778
68,43.654
69,40.328
70,42.407
71,30.350
72,49.474
73,67.767
74,47.811
75,63.194
76,44.070
77,59.452
78,98.117
79,48.227
80,52.800
81,188.335
82,38.665
83,73.588
84,44.901
85,43.654
86,35.339
87,81.071
88,30.350
89,41.991
90,45.317
91,76.498
92,55.295
93,41.991
94,84.397
95,60.700
96,63.610
97,46.564
98,56.542
99,48.643
100,46.148
101,37.418
102,43.238
103,26.608
104,52.385
105,49.059
106,48.227
107,31.597
108,37.002
109,49.059
110,93.960
111,66.936
112,50.722
113,52.385
114,36.170
115,40.744
116,57.789
117,54.463
118,50.306
119,33.676
120,38.665
121,75.667
122,100.196
123,39.496
124,57.374
125,44.485
126,41.159
127,66.520
128,43.654
129,98.949
130,37.418
131,50.722
132,48.643
133,30.350
134,39.081
135,40.744
136,55.711
137,25.361
