 ,Area
1,59.868
2,65.689
3,64.857
4,68.599
5,77.330
6,61.947
7,50.306
8,110.590
9,87.308
10,77.745
11,58.621
12,115.994
13,69.430
14,92.297
15,91.465
16,78.161
17,63.194
18,81.487
19,90.634
20,134.703
21,123.478
22,96.038
23,63.194
24,91.465
25,66.520
26,40.328
27,124.309
28,80.656
29,85.229
30,56.542
31,43.654
32,54.879
33,43.654
34,69.015
35,45.317
36,99.780
37,69.015
38,54.879
39,85.229
40,67.352
41,68.599
42,76.914
43,78.577
44,114.331
45,73.588
46,145.097
47,126.804
48,47.396
49,55.711
50,81.487
51,119.736
52,113.500
53,76.914
54,69.846
55,118.905
56,44.070
57,69.846
58,91.049
59,65.689
60,100.196
61,73.172
62,54.879
63,45.733
64,134.703
65,53.216
66,46.980
67,50.306
68,87.723
69,51.137
70,34.923
71,79.408
72,100.196
73,61.531
