 ,Area
1,20.788
2,18.709
3,24.114
4,18.709
5,52.800
6,24.114
7,24.529
8,19.125
9,21.203
10,27.855
11,25.777
12,24.945
13,22.866
14,18.293
15,26.608
16,25.361
17,21.203
18,37.418
19,17.877
20,26.608
21,17.462
22,36.170
23,33.260
24,27.024
25,25.361
26,24.114
27,36.586
28,34.923
29,39.496
30,20.788
31,21.203
32,19.540
33,20.788
34,25.777
35,37.002
36,30.350
37,23.282
38,22.451
39,26.192
40,16.214
41,24.529
42,21.203
43,27.024
44,19.956
45,24.114
46,41.575
47,24.114
48,22.866
49,24.945
50,21.203
51,31.597
52,34.923
53,22.866
54,22.451
55,20.372
56,24.945
57,17.877
58,30.350
59,29.518
60,21.619
61,21.203
62,33.260
63,17.046
64,22.035
65,21.203
66,20.372
67,37.002
68,22.866
69,35.339
70,49.890
71,28.271
72,37.833
73,25.361
74,27.024
75,20.372
76,27.024
77,27.440
78,103.106
79,24.529
80,34.092
81,21.619
82,19.956
83,37.833
84,38.249
85,17.877
86,26.192
87,32.429
88,34.923
89,22.866
90,23.698
91,17.046
92,24.945
93,46.148
94,25.777
95,28.687
96,13.304
97,27.855
98,37.833
99,38.249
100,36.586
101,18.709
102,35.339
103,21.203
104,35.755
105,22.866
106,19.540
107,37.002
108,59.452
109,31.597
110,23.282
111,34.092
112,35.755
113,38.665
114,41.159
115,25.777
116,22.035
117,39.496
118,39.496
119,28.271
120,27.440
121,30.350
122,45.733
123,30.766
124,46.564
125,32.013
126,14.967
127,35.339
128,34.092
129,51.137
130,85.229
131,34.507
132,26.608
133,29.934
134,58.621
135,49.474
136,58.621
137,53.632
138,42.822
139,33.260
140,40.744
141,42.407
142,23.698
143,28.271
144,29.934
145,52.385
146,47.396
147,70.678
148,67.767
149,43.238
150,50.722
151,33.676
152,52.800
