 ,Area
1,27.024
2,15.799
3,19.956
4,11.641
5,19.540
6,30.766
7,21.619
8,15.383
9,14.136
10,10.810
11,14.551
12,22.035
13,17.046
14,14.967
15,14.136
16,10.810
17,35.755
18,32.013
19,14.551
20,33.676
21,17.046
22,49.890
23,12.473
24,14.967
25,32.844
26,20.372
27,32.844
28,21.203
29,24.945
30,17.877
31,19.956
32,21.619
33,14.551
34,22.866
35,39.081
36,29.934
37,22.035
38,23.698
39,12.057
40,26.608
41,18.709
42,18.293
43,18.709
44,24.114
45,21.203
46,15.799
47,19.540
48,19.540
49,12.888
50,24.529
51,33.676
52,18.293
53,16.214
54,13.720
55,12.473
56,15.383
57,18.709
58,18.709
59,15.383
60,17.877
61,20.788
62,22.035
63,28.271
64,14.136
65,19.956
66,24.114
67,30.766
68,10.394
69,16.214
70,46.148
71,14.967
72,14.967
73,25.777
74,24.945
75,42.822
76,14.551
77,10.394
78,12.057
79,22.866
80,30.350
81,14.551
82,12.473
83,35.755
84,12.057
85,29.103
86,23.282
87,47.396
88,17.877
89,23.698
90,21.203
91,14.136
92,14.551
93,15.383
94,14.967
95,24.114
96,37.833
97,22.035
98,21.619
99,18.709
100,19.125
101,15.383
102,12.473
103,14.136
104,19.956
105,34.923
106,22.866
107,25.777
108,17.462
109,24.945
110,23.698
111,19.540
112,22.866
113,15.799
114,32.013
115,18.709
116,23.282
117,14.136
118,22.866
119,18.709
120,35.339
121,19.125
122,14.551
123,12.057
124,17.046
125,14.551
126,32.429
127,15.799
128,34.092
129,32.429
130,20.372
131,13.304
132,20.372
133,17.462
134,29.103
135,14.551
136,11.225
137,32.429
138,13.304
139,34.092
140,27.440
141,34.092
142,13.304
143,11.641
144,34.923
145,47.811
146,20.788
147,25.777
148,24.114
149,11.641
150,28.687
151,17.877
152,17.462
153,13.720
154,30.350
155,27.024
156,15.799
157,18.709
158,15.383
159,19.540
160,19.540
161,17.877
162,23.698
163,14.551
164,13.304
165,19.540
166,52.800
167,14.136
168,12.473
169,34.507
170,18.293
171,17.462
172,17.462
173,19.540
174,10.810
175,18.709
176,13.304
177,24.529
178,28.687
179,27.024
180,26.608
181,18.293
182,16.214
183,17.462
184,14.551
185,18.293
186,14.551
187,18.709
188,11.641
189,29.518
190,24.945
191,18.293
192,13.304
193,13.720
194,19.956
195,13.304
196,13.720
197,17.462
198,19.540
199,14.551
200,13.304
201,14.551
202,13.720
203,37.002
204,12.888
205,14.551
206,16.214
207,10.810
208,19.540
209,12.888
210,16.630
211,10.394
212,29.934
213,38.249
214,32.013
215,17.046
216,11.641
217,24.529
218,25.361
219,12.473
220,13.720
221,11.225
222,22.866
223,21.619
224,18.293
225,11.641
226,23.698
227,17.877
228,19.540
229,18.293
230,19.956
231,18.709
232,15.799
233,21.619
234,27.855
235,18.709
236,23.698
237,15.383
238,19.540
239,16.630
240,37.833
241,17.462
242,15.799
243,11.641
244,17.046
245,15.799
246,25.361
247,22.866
248,31.181
249,15.383
250,29.518
251,14.136
252,19.125
253,17.877
254,13.720
255,22.451
256,11.641
257,14.136
258,35.339
259,20.788
260,22.451
261,24.114
262,28.687
263,28.687
264,11.225
265,21.619
266,17.462
267,14.136
268,21.203
269,12.473
270,14.136
271,14.136
272,14.136
273,15.799
274,20.372
275,18.293
276,12.057
277,22.451
278,17.462
279,24.529
280,11.225
281,12.888
282,31.597
283,16.214
284,22.035
285,10.810
286,15.383
287,15.383
288,20.788
289,38.665
290,26.608
291,14.136
292,29.103
293,15.383
294,27.440
295,10.810
296,25.361
297,17.877
298,22.035
299,17.046
300,22.035
301,20.372
302,32.013
303,13.720
304,35.755
305,15.383
306,24.945
307,21.203
308,16.630
309,13.720
310,13.720
311,14.967
312,21.203
313,12.888
314,21.619
315,10.394
316,24.945
317,18.709
318,15.799
319,10.394
320,32.844
321,17.462
322,18.293
323,10.810
324,10.810
325,12.057
326,10.394
327,38.249
328,15.799
329,19.125
330,19.540
331,19.125
332,13.304
333,22.866
334,17.046
335,19.956
336,22.451
337,13.304
338,13.720
339,27.440
340,31.597
341,31.181
342,10.810
343,17.462
344,19.956
345,20.372
346,22.866
347,16.630
348,14.136
349,17.877
350,14.136
351,28.687
352,21.203
353,13.304
354,27.024
355,17.877
356,19.125
357,11.641
358,16.214
359,11.641
360,17.877
361,24.114
362,32.429
363,17.877
364,24.529
365,17.462
366,15.799
367,14.551
368,15.383
369,11.641
370,18.709
371,14.551
372,17.046
373,14.551
374,39.912
375,22.035
376,18.293
377,12.473
378,22.451
379,10.394
380,16.214
381,15.799
382,15.383
383,14.551
384,14.551
385,22.035
386,47.396
387,12.057
388,26.192
389,14.136
390,14.136
391,20.372
392,16.630
393,12.057
394,26.192
395,10.394
396,10.394
397,16.214
398,34.092
399,10.394
400,22.035
401,22.035
402,21.619
403,18.709
404,19.125
405,14.551
406,10.810
407,11.641
408,22.866
409,36.170
410,16.214
411,13.720
412,12.473
413,15.383
414,22.035
