 ,Area
1,39.081
2,28.687
3,33.676
4,36.586
5,25.777
6,35.755
7,20.788
8,28.271
9,63.610
10,31.597
11,37.002
12,51.969
13,33.676
14,36.170
15,42.822
16,30.766
17,24.945
18,24.114
19,22.451
20,49.059
21,35.755
22,22.451
23,31.597
24,34.507
25,18.293
26,29.518
27,32.429
28,35.755
29,31.181
30,27.855
31,49.474
32,34.507
33,34.092
34,35.755
35,25.777
36,40.744
37,26.192
38,27.855
39,26.608
40,33.676
41,57.789
42,28.687
43,24.114
44,17.877
45,37.002
46,22.451
47,41.991
48,26.608
49,16.630
50,39.496
51,29.934
52,53.632
53,27.855
54,51.553
55,26.192
56,43.654
57,47.396
58,36.586
59,48.227
60,51.137
61,39.496
62,39.496
63,20.788
64,25.777
65,37.002
66,27.440
67,26.192
68,23.698
69,46.148
70,73.588
71,54.879
72,48.227
73,37.833
74,36.586
75,22.451
76,27.855
77,45.317
78,29.934
79,32.013
80,19.540
81,28.687
82,32.844
83,23.282
84,35.755
85,46.148
86,29.934
87,26.192
88,68.599
89,42.407
90,44.485
91,43.238
92,27.024
93,39.496
94,50.722
95,46.148
96,20.372
97,19.956
98,26.608
99,21.619
100,29.518
101,22.451
102,25.777
103,24.114
104,38.665
105,23.698
106,41.991
107,38.249
108,66.936
109,25.777
110,15.383
111,38.249
112,41.575
113,25.777
114,25.361
115,53.632
116,24.529
117,20.788
118,17.462
119,66.104
120,30.766
121,26.608
122,37.833
123,33.260
124,38.249
125,46.148
126,25.777
127,34.092
128,40.328
129,30.350
130,25.777
131,41.575
132,45.317
133,31.181
134,24.114
135,33.260
136,27.855
137,20.372
138,52.800
139,31.597
140,21.619
141,21.619
142,37.833
143,24.945
144,20.788
145,32.429
146,53.216
147,11.225
148,31.597
149,20.372
150,37.002
151,45.733
152,29.103
153,14.136
154,29.518
155,41.159
156,21.619
157,36.586
158,29.103
159,52.385
160,19.125
161,35.755
162,36.170
163,37.418
164,23.698
165,40.744
166,39.496
167,32.844
168,52.385
169,30.350
170,19.540
171,16.630
172,29.934
173,22.451
174,32.844
175,45.733
176,31.597
177,25.361
178,36.586
179,39.912
180,35.755
181,28.271
182,24.529
183,15.799
184,46.148
185,36.586
186,40.328
187,18.709
188,17.877
189,28.271
190,36.170
191,12.888
192,34.923
193,23.698
194,22.035
195,25.777
196,34.092
197,19.956
198,24.945
199,24.114
200,24.529
201,32.429
202,20.788
203,38.249
204,30.350
205,26.608
206,19.540
207,21.619
208,26.192
209,32.844
210,28.271
211,30.350
212,33.260
213,25.777
214,50.306
215,22.866
216,47.396
217,37.833
218,22.866
219,22.866
220,14.967
221,38.665
222,15.799
223,25.777
224,21.619
225,17.462
226,16.214
227,19.540
228,34.092
229,37.418
230,39.081
231,27.440
232,13.720
233,18.709
234,38.665
235,32.844
236,39.496
237,29.934
238,16.630
239,49.059
240,23.282
241,34.507
242,27.855
243,41.991
244,14.967
245,20.788
246,38.665
247,26.608
248,39.496
249,33.260
250,40.328
251,19.540
252,22.035
253,37.002
254,17.462
255,27.440
256,34.507
257,21.619
258,24.529
259,16.214
260,19.956
261,12.057
262,39.081
263,36.170
264,37.418
265,54.879
266,52.385
267,18.709
268,38.249
269,13.304
270,37.833
271,34.507
272,34.507
273,19.956
274,24.114
275,24.114
276,34.507
277,21.619
278,40.328
279,28.687
280,30.766
281,46.148
282,24.114
283,28.687
284,35.339
285,15.383
