 ,Area
1,37.833
2,58.621
3,40.328
4,46.980
5,37.002
6,43.238
7,22.035
8,25.777
9,35.755
10,52.385
11,39.081
12,34.923
13,51.137
14,29.934
15,28.271
16,34.923
17,33.260
18,34.507
19,31.597
20,23.698
21,46.980
22,16.214
23,28.687
24,34.092
25,37.002
26,36.170
27,35.755
28,33.260
29,32.844
30,39.912
31,39.496
32,27.855
33,38.665
34,22.035
35,44.070
36,51.553
37,28.687
38,41.575
39,31.597
40,24.529
41,37.002
42,45.733
43,25.777
44,34.507
45,42.407
46,43.654
47,42.407
48,49.474
49,37.833
50,21.203
51,21.203
52,34.923
53,27.440
54,45.317
55,42.822
56,23.282
57,36.170
58,31.181
59,35.339
60,35.755
61,42.822
62,22.451
63,16.630
64,25.361
65,21.203
66,19.125
67,57.789
68,31.181
69,31.597
70,30.766
71,13.720
72,29.934
73,28.687
74,30.766
75,23.282
76,46.980
77,37.833
78,56.542
79,46.148
80,27.024
81,25.361
82,21.203
83,25.777
84,26.192
85,37.833
86,31.597
87,40.744
88,48.643
89,32.844
90,28.271
91,24.529
92,42.822
93,23.282
94,16.214
95,20.788
96,19.540
97,27.855
98,40.744
99,33.676
100,24.114
101,29.934
102,24.114
103,36.170
104,50.306
105,19.125
106,25.777
107,34.923
108,46.980
109,54.879
110,29.103
111,29.934
112,35.339
113,27.440
114,34.092
115,25.777
116,17.877
117,45.317
118,40.744
119,21.619
120,19.540
121,32.013
122,40.328
123,56.958
124,34.923
125,27.440
126,34.507
127,23.698
128,38.249
129,30.766
130,32.429
131,21.619
132,24.945
133,26.192
134,50.722
135,27.024
136,30.350
137,40.744
138,24.114
139,11.225
140,15.383
141,23.282
142,25.361
143,26.192
144,29.934
145,27.024
146,34.507
147,37.418
148,29.934
149,32.844
150,25.361
151,19.956
152,20.788
153,21.203
154,43.238
155,41.159
156,34.092
157,33.676
158,17.462
159,24.529
160,23.282
161,26.192
162,27.024
163,31.597
164,26.608
165,16.630
166,65.689
167,49.474
168,22.866
169,36.586
170,16.630
171,26.192
172,39.081
173,19.125
174,17.877
175,19.540
176,21.203
177,35.755
178,32.013
179,30.766
180,17.046
181,19.956
182,52.385
183,36.586
184,12.888
185,11.641
186,17.462
187,31.597
188,45.317
189,39.496
190,27.024
191,39.912
192,20.788
193,40.328
194,22.866
195,48.227
196,44.070
197,14.136
198,45.317
199,32.844
200,18.709
201,35.755
202,15.799
203,22.866
204,30.350
205,12.473
206,19.540
207,31.597
208,25.361
209,36.586
210,23.282
211,29.934
212,26.192
213,23.282
214,27.855
215,23.282
216,24.945
217,39.912
218,40.328
219,29.934
220,29.103
221,52.385
222,25.777
223,18.709
224,29.103
225,26.608
226,31.597
227,32.429
