 ,Area
1,41.159
2,44.070
3,38.665
4,28.271
5,39.496
6,40.744
7,54.879
8,44.901
9,49.474
10,49.890
11,36.586
12,37.002
13,34.923
14,37.833
15,40.744
16,48.227
17,37.002
18,24.114
19,26.608
20,42.407
21,75.251
22,39.081
23,37.002
24,49.059
25,75.667
26,43.654
27,35.339
28,39.912
29,19.125
30,46.564
31,35.339
32,64.026
33,30.766
34,29.103
35,36.586
36,32.844
37,39.496
38,23.698
39,53.632
40,29.934
41,32.844
42,46.564
43,35.755
44,29.103
45,28.687
46,22.451
47,25.361
48,32.013
49,27.024
50,31.597
51,29.518
52,37.833
53,41.575
54,54.879
55,29.518
56,34.092
57,27.024
58,30.766
59,49.474
60,34.923
61,27.855
62,20.788
63,10.810
64,41.575
65,59.037
66,47.396
67,44.070
68,36.586
69,24.114
70,35.755
71,22.035
72,28.687
73,36.586
74,28.271
75,27.024
76,24.945
77,36.586
78,28.271
79,33.676
80,27.855
81,34.092
82,24.945
83,45.317
84,39.912
85,24.114
86,37.002
87,32.844
88,42.822
89,42.407
90,50.306
91,29.103
92,39.912
93,43.654
94,41.991
95,33.676
96,43.654
97,24.114
98,25.777
99,41.159
100,30.350
101,50.722
102,39.081
103,38.665
104,25.361
105,41.575
106,18.293
107,66.936
108,33.260
109,22.035
110,64.857
111,37.418
112,26.608
113,57.789
114,51.553
115,34.507
116,17.046
117,24.114
118,44.070
119,48.643
120,48.643
121,29.934
122,27.440
123,29.934
124,41.991
125,23.282
126,34.507
127,33.260
128,22.866
129,40.744
130,41.159
131,27.024
132,20.372
133,34.923
134,28.687
135,48.643
136,19.540
137,13.304
138,13.720
139,34.507
140,44.485
141,27.440
142,27.024
143,20.788
144,64.026
145,32.013
146,26.608
147,25.361
148,15.799
149,22.866
150,22.866
151,44.901
152,33.676
153,59.452
154,29.934
155,31.597
156,37.418
157,27.024
158,37.002
159,36.170
160,25.361
161,19.540
162,34.923
163,48.643
164,31.597
165,34.092
166,21.203
167,27.024
168,24.529
169,30.350
170,24.945
171,28.271
172,48.643
173,52.385
174,34.092
175,41.575
176,32.013
177,22.866
178,22.451
179,45.317
180,41.575
181,17.462
182,27.440
183,27.440
184,20.372
185,34.092
186,19.125
187,25.777
188,41.575
189,38.665
190,20.372
191,37.002
192,32.429
193,22.866
194,22.866
195,17.877
196,44.070
197,29.103
198,34.923
199,21.619
200,44.901
201,26.192
202,32.844
203,24.529
204,22.035
205,35.755
206,35.339
207,27.855
208,25.777
209,36.586
210,20.788
211,49.474
212,21.619
213,37.002
214,35.339
215,27.855
216,28.687
217,28.271
218,33.260
219,38.665
220,35.339
221,26.608
222,38.665
223,19.540
224,31.181
225,22.035
226,29.934
227,39.496
228,48.227
229,23.282
230,24.114
231,51.969
232,31.597
233,28.271
234,40.328
235,37.418
236,23.282
237,18.293
238,38.249
239,43.238
240,19.125
241,35.755
242,34.507
243,34.092
244,38.249
245,25.777
246,13.304
247,15.383
248,36.170
249,44.485
250,25.777
251,17.877
252,34.092
253,22.866
254,30.350
255,24.945
256,30.350
257,22.035
258,31.181
259,29.518
260,28.271
261,43.238
262,32.429
263,16.630
264,24.114
265,41.991
266,48.227
267,15.799
268,29.518
269,19.125
270,22.035
271,30.350
272,29.518
273,14.967
274,38.665
275,34.923
276,14.967
277,26.608
278,19.540
279,46.980
280,16.630
281,25.361
282,41.159
283,43.238
284,21.203
285,32.013
286,32.429
287,25.361
288,18.293
289,38.665
290,17.462
291,46.980
292,18.709
293,35.755
294,39.081
295,34.923
296,72.341
297,10.394
298,16.630
299,35.339
300,23.698
301,27.440
302,49.890
303,35.339
304,20.788
305,27.024
306,26.192
307,27.440
308,17.046
309,19.540
310,21.203
311,25.777
312,22.451
313,22.866
314,41.159
315,13.720
316,22.035
317,13.304
318,29.518
319,31.597
320,44.485
321,41.159
322,32.844
323,42.822
324,29.103
325,33.676
326,27.024
327,20.372
328,33.676
329,28.687
330,24.529
331,43.238
332,26.192
333,24.945
334,27.855
335,21.203
336,29.934
337,20.788
338,13.304
339,22.451
340,38.249
341,27.440
342,23.698
343,24.529
344,27.024
345,23.698
346,24.114
347,18.709
348,37.833
349,30.350
350,45.733
351,32.844
352,26.608
353,26.192
354,23.282
355,29.103
356,36.170
357,41.991
358,36.170
359,14.967
360,17.877
361,25.777
362,18.293
363,13.304
364,31.597
365,43.654
366,24.114
367,32.429
368,48.227
369,41.991
370,17.877
371,14.967
372,31.597
373,25.777
374,37.418
375,25.777
376,20.788
377,38.665
378,30.350
379,33.260
380,29.518
