 ,Area
1,42.407
2,25.777
3,54.048
4,49.890
5,46.148
6,53.216
7,29.103
8,32.429
9,28.687
10,27.440
11,49.474
12,45.317
13,36.170
14,43.654
15,47.396
16,29.934
17,34.092
18,46.564
19,46.564
20,32.429
21,34.092
22,44.485
23,45.317
24,29.518
25,18.709
26,21.619
27,85.229
28,23.698
29,33.260
30,27.855
31,37.833
32,33.676
33,42.407
34,25.361
35,27.440
36,38.249
37,40.744
38,21.203
39,33.260
40,30.766
41,30.766
42,30.350
43,22.451
44,42.407
45,34.092
46,28.271
47,34.507
48,28.687
49,44.485
50,30.350
51,29.934
52,37.833
53,19.956
54,41.575
55,25.777
56,38.665
57,23.282
58,57.374
59,21.619
60,34.923
61,54.879
62,31.181
63,34.092
64,20.372
65,21.619
66,26.192
67,32.844
68,29.518
69,28.687
70,43.654
71,51.969
72,35.339
73,38.665
74,26.192
75,45.317
76,41.575
77,29.103
78,42.822
79,19.125
80,29.518
81,38.249
82,25.361
83,35.755
84,32.013
85,27.024
86,29.934
87,24.945
88,34.507
89,25.361
90,45.317
91,55.711
92,27.855
93,19.956
94,27.024
95,37.418
96,24.529
97,56.542
98,38.665
99,25.361
100,54.879
101,33.676
102,47.396
103,19.956
104,45.733
105,26.608
106,32.013
107,34.092
108,27.440
109,24.945
110,41.991
111,27.024
112,31.597
113,38.665
114,49.059
115,34.092
116,43.238
117,24.945
118,32.013
119,28.271
120,32.429
121,41.991
122,28.271
123,44.070
124,13.720
125,35.339
126,37.833
127,39.912
128,30.766
129,24.529
130,16.630
131,35.755
132,28.271
133,25.361
134,34.507
135,39.912
136,39.081
137,29.518
138,33.260
139,35.339
140,44.070
141,14.136
142,35.755
143,39.496
144,25.361
145,36.170
146,37.002
147,48.227
148,19.956
149,24.945
150,24.529
151,20.372
152,26.608
153,14.551
154,35.339
155,11.225
156,27.024
157,20.372
158,35.755
159,15.383
160,24.529
161,29.934
162,29.518
163,29.934
164,41.991
165,39.081
166,28.687
167,33.260
168,18.293
169,34.092
170,27.024
171,21.619
172,30.766
173,22.866
174,31.597
175,37.418
176,12.057
177,27.440
178,52.800
179,14.967
180,19.125
181,22.866
182,40.744
183,36.586
184,25.361
185,27.440
186,21.619
187,52.385
188,42.407
189,40.328
190,15.383
191,46.980
192,21.619
193,35.755
194,29.518
195,30.766
196,45.317
197,21.203
198,20.788
199,37.418
200,44.485
201,22.866
202,37.418
203,27.440
204,33.260
205,22.451
206,40.328
207,52.800
208,47.811
209,42.822
210,39.496
211,29.934
212,34.092
213,55.295
214,36.170
215,26.192
216,38.665
217,13.720
218,27.024
219,20.372
220,30.766
221,25.777
222,42.407
223,19.125
224,19.125
225,26.608
226,29.103
227,53.632
228,24.945
229,40.328
230,31.181
231,22.866
232,35.339
233,52.800
234,23.698
235,25.361
236,12.473
237,31.181
238,15.383
239,44.901
240,28.687
241,21.203
242,41.575
243,29.103
244,30.350
245,28.271
246,37.418
247,32.013
248,14.136
249,30.350
250,29.934
251,29.103
252,24.945
253,31.597
254,20.788
255,47.396
256,42.407
257,38.665
258,44.485
259,33.676
260,50.722
261,24.114
262,44.070
263,39.081
264,26.608
265,17.877
266,41.991
267,34.092
268,29.518
269,39.912
270,46.564
271,36.170
272,24.945
273,36.586
274,38.665
275,34.507
276,19.956
277,21.203
278,31.181
279,22.866
280,34.507
