 ,Area
1,15.799
2,14.136
3,19.540
4,36.170
5,76.082
6,33.676
7,51.553
8,35.339
9,12.888
10,23.698
11,22.451
12,30.766
13,59.452
14,58.205
15,53.216
16,23.282
17,40.328
18,34.923
19,31.597
20,38.665
21,34.923
22,27.440
23,22.035
24,54.463
25,32.429
26,29.518
27,34.092
28,17.877
29,23.282
30,22.451
31,48.227
32,41.991
33,51.969
34,44.901
35,19.956
36,34.507
37,36.586
38,39.081
39,24.114
40,28.687
41,103.522
42,47.396
43,22.866
44,28.687
45,34.507
46,25.361
47,34.092
48,38.249
49,42.407
50,19.540
51,41.991
52,19.956
53,34.923
54,78.161
55,32.844
56,22.451
57,34.923
58,21.203
59,20.788
60,27.440
61,40.744
62,31.597
63,42.407
64,20.788
65,42.407
66,26.608
67,26.608
68,49.474
69,32.429
70,27.024
71,21.619
72,37.418
73,24.114
74,24.114
75,17.046
76,26.192
77,39.496
78,27.440
79,40.328
80,38.249
81,22.035
82,32.844
83,18.709
84,27.024
85,25.777
86,36.586
87,29.103
88,20.372
89,22.035
90,29.103
91,38.665
92,20.788
93,32.429
94,27.024
95,21.619
96,28.687
97,39.496
98,19.956
99,21.203
100,36.586
101,39.496
102,33.260
103,27.855
104,22.451
105,21.619
106,44.485
107,25.777
108,46.980
109,16.630
110,36.586
111,24.945
112,25.361
113,24.114
114,32.013
115,24.945
116,51.553
117,41.575
118,26.192
119,17.877
120,29.103
121,22.035
122,24.945
123,19.125
124,30.350
125,42.407
126,26.608
127,34.507
128,23.698
129,35.339
130,25.361
131,13.720
132,19.540
133,26.192
134,34.923
135,50.722
136,19.540
137,33.676
138,33.260
139,17.877
140,13.304
141,25.361
142,22.451
143,34.092
144,23.698
145,22.866
146,21.203
147,28.687
148,21.203
149,21.619
150,25.777
151,25.361
152,38.249
153,61.115
154,19.956
155,17.877
156,19.125
157,29.103
158,47.396
159,25.777
160,42.407
161,25.777
162,19.540
163,26.608
164,27.024
165,32.429
166,17.462
167,33.676
168,21.203
169,30.350
170,39.912
171,34.092
172,25.777
173,20.372
174,21.203
175,15.383
176,36.170
177,38.665
178,30.766
179,30.766
180,14.136
181,28.687
182,25.361
183,16.630
184,17.046
185,19.125
186,20.372
187,24.114
188,21.619
189,20.372
190,17.462
191,14.136
192,37.418
193,31.181
194,25.777
195,39.496
196,22.035
197,19.956
198,20.372
199,28.687
200,17.046
201,16.214
202,23.282
203,30.766
204,21.619
205,35.339
206,22.866
207,17.877
208,24.529
209,29.934
210,33.676
211,27.440
212,19.956
213,19.540
214,15.799
215,26.192
216,14.967
217,16.630
218,34.507
219,15.383
220,27.024
221,12.473
222,25.361
223,36.170
224,28.687
225,21.203
226,39.081
227,88.555
228,22.866
229,34.507
230,34.923
231,16.630
232,48.227
233,20.788
234,24.114
235,32.013
236,27.855
237,19.540
238,32.013
239,34.923
240,42.822
241,21.203
242,37.418
243,29.934
244,32.429
245,15.799
246,34.092
247,15.383
248,25.361
249,17.046
250,17.046
251,30.350
252,48.227
253,19.956
254,19.125
255,39.912
256,22.866
257,28.271
258,39.912
259,22.451
260,17.462
261,31.597
262,15.799
263,44.485
264,25.361
265,17.046
266,10.394
267,17.046
268,28.687
269,29.103
270,20.372
271,26.192
272,19.540
273,22.451
274,27.024
275,27.855
276,12.888
277,22.451
278,42.822
279,17.462
280,33.260
281,33.676
282,19.540
283,29.103
284,34.507
285,25.777
286,12.888
287,36.586
288,25.361
289,30.766
290,17.046
291,18.293
292,41.991
293,32.013
294,32.429
295,23.282
296,14.136
297,19.125
298,33.260
299,15.799
300,15.799
301,28.271
302,25.361
303,18.293
304,18.293
305,17.046
306,27.440
307,23.698
308,13.304
309,30.350
310,39.081
311,14.551
312,49.474
313,20.788
314,16.214
315,30.766
316,19.125
317,28.687
318,21.619
319,18.293
320,12.057
321,23.698
322,22.035
323,21.203
324,32.013
325,30.766
326,39.081
327,34.092
328,27.024
329,42.407
330,27.440
331,27.855
332,38.249
333,28.271
334,14.136
335,24.114
336,15.383
337,22.035
338,17.877
339,20.372
340,17.462
341,16.214
342,21.203
343,10.810
344,14.967
345,24.529
346,12.057
347,12.057
348,34.092
349,30.350
350,17.046
351,19.540
352,28.687
353,27.440
354,40.744
355,33.676
356,24.529
357,22.451
358,25.777
359,14.136
360,27.024
361,16.630
362,27.440
363,21.619
364,31.597
365,29.103
366,20.372
367,23.282
368,19.540
369,25.361
370,22.035
371,19.956
372,21.619
373,15.799
374,35.755
375,13.720
376,11.641
377,25.361
378,19.540
379,22.866
380,17.877
381,28.687
382,48.227
383,12.057
384,22.035
385,27.024
386,22.866
387,22.866
388,19.540
389,19.125
390,14.967
391,21.203
392,12.473
393,31.181
394,46.564
395,19.540
396,22.451
397,25.361
398,23.698
399,29.103
400,15.383
401,12.473
402,32.013
403,31.597
404,34.507
405,29.103
406,17.046
407,22.451
408,28.687
409,20.372
410,20.788
411,22.451
412,39.081
413,40.328
414,28.687
415,19.125
416,22.035
417,43.238
418,23.282
419,17.877
420,21.619
421,15.799
422,36.170
423,16.630
424,19.540
425,22.035
426,14.967
427,16.214
428,23.698
429,11.641
430,30.350
431,18.709
432,31.597
433,11.641
434,14.136
435,26.608
436,19.125
437,42.822
438,27.024
439,19.540
440,31.597
441,17.046
442,21.619
443,25.361
444,19.956
445,22.451
446,29.103
447,25.777
448,18.293
449,25.777
450,24.945
451,14.967
452,19.125
453,22.451
454,29.103
455,17.046
456,23.282
457,17.046
458,30.350
459,26.192
460,22.866
461,18.709
462,14.967
463,24.945
464,37.418
465,14.967
466,14.551
467,27.440
468,24.114
469,22.866
470,21.619
471,34.092
472,31.597
473,22.035
474,27.855
475,25.777
476,20.788
477,27.855
478,20.788
479,28.687
480,19.956
481,30.350
482,16.214
483,25.361
484,19.540
485,31.597
486,22.035
487,26.192
488,26.192
489,16.214
490,20.372
